"","Source","total_area","date","pd_or_md"
"1","B_2009_045.jpg.txt",12.839,"2022-03-30","pd"
"2","B_2010_052.jpg.txt",41.9,"2022-03-30","pd"
"3","B_2343_044.jpg.txt",42.326,"2022-03-30","pd"
"4","B_2346_033.jpg.txt",10.643,"2022-03-30","pd"
"5","B_2347_039.jpg.txt",12.347,"2022-03-30","pd"
"6","B_2360_049.jpg.txt",61.221,"2022-03-30","pd"
"7","B_2365_054.jpg.txt",31.312,"2022-03-30","pd"
"8","B_2367_041.jpg.txt",37.439,"2022-03-30","pd"
"9","B_2369_043.jpg.txt",29.999,"2022-03-30","pd"
"10","B_2370_050.jpg.txt",1.553,"2022-03-30","pd"
"11","B_2371_030.jpg.txt",6.401,"2022-03-30","pd"
"12","B_2372_040.jpg.txt",12.449,"2022-03-30","pd"
"13","B_2375_042.jpg.txt",11.647,"2022-03-30","pd"
"14","B_2378_038.jpg.txt",46.621,"2022-03-30","pd"
"15","B_2379_031.jpg.txt",52.87,"2022-03-30","pd"
"16","B_2381_034.jpg.txt",58.382,"2022-03-30","pd"
"17","B_2383_035.jpg.txt",75.582,"2022-03-30","pd"
"18","B_2384_053.jpg.txt",40.339,"2022-03-30","pd"
"19","L_2301_048.jpg.txt",51.664,"2022-03-30","pd"
"20","L_2331_029.jpg.txt",32.377,"2022-03-30","pd"
"21","L_2345_036.jpg.txt",10.074,"2022-03-30","pd"
"22","L_2352_032.jpg.txt",50.383,"2022-03-30","pd"
"23","L_2354_051.jpg.txt",33.3,"2022-03-30","pd"
"24","L_2376_046.jpg.txt",86.376,"2022-03-30","pd"
"25","L_2377_047.jpg.txt",44.132,"2022-03-30","pd"
"26","L_2380_055.jpg.txt",46.861,"2022-03-30","pd"
"27","B_2009_074.jpg.txt",73.64,"2022-04-25","pd"
"28","B_2010_079.jpg.txt",54.092,"2022-04-25","pd"
"29","B_2011_076.jpg.txt",52.387,"2022-04-25","pd"
"30","B_2343_080.jpg.txt",69.666,"2022-04-25","pd"
"31","B_2346_059.jpg.txt",50.299,"2022-04-25","pd"
"32","B_2347_062.jpg.txt",50.079,"2022-04-25","pd"
"33","B_2360_064.jpg.txt",69.636,"2022-04-25","pd"
"34","B_2365_073.jpg.txt",34.051,"2022-04-25","pd"
"35","B_2367_068.jpg.txt",80.641,"2022-04-25","pd"
"36","B_2369_065.jpg.txt",48.817,"2022-04-25","pd"
"37","B_2371_058.jpg.txt",61.777,"2022-04-25","pd"
"38","B_2372_070.jpg.txt",45.995,"2022-04-25","pd"
"39","B_2375_071.jpg.txt",34.121,"2022-04-25","pd"
"40","B_2378_078.jpg.txt",57.616,"2022-04-25","pd"
"41","B_2379_060.jpg.txt",37.182,"2022-04-25","pd"
"42","B_2381_067.jpg.txt",51.38,"2022-04-25","pd"
"43","B_2382_057.jpg.txt",50.202,"2022-04-25","pd"
"44","B_2383_072.jpg.txt",58.023,"2022-04-25","pd"
"45","B_2384_061.jpg.txt",25.217,"2022-04-25","pd"
"46","L_2345_077.jpg.txt",61.325,"2022-04-25","pd"
"47","L_2352_066.jpg.txt",72.245,"2022-04-25","pd"
"48","L_2354_063.jpg.txt",66.055,"2022-04-25","pd"
"49","L_2376_075.jpg.txt",164.119,"2022-04-25","pd"
"50","L_2377_069.jpg.txt",35.206,"2022-04-25","pd"
"51","L_2380_056.jpg.txt",64.166,"2022-04-25","pd"
"52","B_2009_082.jpg.txt",45.522,"2022-04-25","md"
"53","B_2010_100.jpg.txt",50.751,"2022-04-25","md"
"54","B_2011_081.jpg.txt",38.996,"2022-04-25","md"
"55","B_2343_106.jpg.txt",46.898,"2022-04-25","md"
"56","B_2346_087.jpg.txt",32.07,"2022-04-25","md"
"57","B_2347_102.jpg.txt",46.354,"2022-04-25","md"
"58","B_2360_093.jpg.txt",37.099,"2022-04-25","md"
"59","B_2365_090.jpg.txt",35.77,"2022-04-25","md"
"60","B_2367_105.jpg.txt",29.05,"2022-04-25","md"
"61","B_2370_088.jpg.txt",18.779,"2022-04-25","md"
"62","B_2371_089.jpg.txt",35.287,"2022-04-25","md"
"63","B_2372_085.jpg.txt",56.577,"2022-04-25","md"
"64","B_2378_098.jpg.txt",81.358,"2022-04-25","md"
"65","B_2379_101.jpg.txt",37.713,"2022-04-25","md"
"66","B_2381_104.jpg.txt",54.23,"2022-04-25","md"
"67","B_2382_096.jpg.txt",55.678,"2022-04-25","md"
"68","B_2383_094.jpg.txt",57.769,"2022-04-25","md"
"69","B_2384_099.jpg.txt",59.104,"2022-04-25","md"
"70","L_2301_095.jpg.txt",49.414,"2022-04-25","md"
"71","L_2331_097.jpg.txt",29.923,"2022-04-25","md"
"72","L_2345_092.jpg.txt",36.383,"2022-04-25","md"
"73","L_2352_086.jpg.txt",70.324,"2022-04-25","md"
"74","L_2376_083.jpg.txt",50.244,"2022-04-25","md"
"75","L_2377_084.jpg.txt",37.089,"2022-04-25","md"
"76","L_2380_103.jpg.txt",45.248,"2022-04-25","md"
"77","B_2009_027.jpg.txt",69.704,"2022-05-04","md"
"78","B_2010_026.jpg.txt",106.802,"2022-05-04","md"
"79","B_2011_020.jpg.txt",66.556,"2022-05-04","md"
"80","B_2343_016.jpg.txt",78.867,"2022-05-04","md"
"81","B_2346_011.jpg.txt",46.48,"2022-05-04","md"
"82","B_2347_019.jpg.txt",78.301,"2022-05-04","md"
"83","B_2360_024.jpg.txt",78.283,"2022-05-04","md"
"84","B_2365_007.jpg.txt",62.266,"2022-05-04","md"
"85","B_2367_004.jpg.txt",37.673,"2022-05-04","md"
"86","B_2369_021.jpg.txt",70.135,"2022-05-04","md"
