 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	9.963	7.049	3.895	7.049	3.895	15.727	5.639	1.034	2.739	6.101	5.401	2.349	86.145	0.506	6.106	827	849	87.555	2.643	2.299	0.435	0.906
2	7.454	14.639	5.070	14.639	5.070	13.042	13.538	2.597	2.235	4.849	4.646	2.043	85.479	0.551	4.850	1741	309	91.489	2.114	2.274	0.440	0.919
3	7.321	3.018	5.376	3.018	5.376	12.421	1.782	3.042	2.412	4.580	4.361	2.137	100.387	0.596	4.766	284	362	106.070	2.241	2.041	0.490	0.939
4	0.896	9.937	6.725	9.937	6.725	4.338	9.395	6.042	1.076	1.529	1.576	0.724	124.677	0.598	1.755	1129	720	120.493	0.756	2.177	0.459	0.925
5	10.899	17.785	9.568	17.785	9.568	16.017	16.294	7.000	2.908	5.655	5.145	2.697	96.581	0.534	5.807	2073	833	103.131	2.900	1.907	0.524	0.898
6	11.779	8.556	11.266	8.556	11.266	16.980	7.202	8.277	2.966	6.319	5.878	2.551	77.138	0.513	6.459	919	1737	78.061	2.912	2.304	0.434	0.910
7	6.831	2.787	11.308	2.787	11.308	12.346	1.471	9.454	2.521	4.109	3.810	2.282	102.012	0.563	4.346	266	1129	110.958	2.520	1.669	0.599	0.882
8	7.743	13.709	13.535	13.709	13.535	14.197	12.571	11.126	2.328	5.118	4.732	2.084	92.016	0.483	5.121	1580	1933	87.931	2.306	2.271	0.440	0.888
