 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.273	9.533	5.830	9.533	5.830	11.222	8.895	4.127	1.316	3.139	2.488	1.163	89.681	0.227	3.148	1111	489	94.304	1.314	2.140	0.467	0.813
2	4.664	5.877	8.092	5.877	8.092	14.266	4.810	6.059	2.186	3.451	2.931	2.026	106.421	0.288	3.665	631	718	109.645	2.095	1.447	0.691	0.851
3	6.449	16.583	8.918	16.583	8.918	21.551	15.274	6.321	2.591	4.759	3.722	2.206	91.458	0.174	4.765	1907	1313	87.361	2.480	1.687	0.593	0.812
4	7.569	12.257	10.101	12.257	10.101	24.903	11.046	7.232	2.624	5.392	4.354	2.213	89.426	0.153	5.398	1437	857	92.688	2.513	1.968	0.508	0.804
5	6.130	4.205	13.947	4.205	13.947	17.441	2.979	11.468	2.557	4.371	3.470	2.249	73.039	0.253	4.455	429	1877	78.860	2.496	1.543	0.648	0.817
6	4.211	8.970	13.740	8.970	13.740	14.264	8.059	11.679	1.831	3.857	3.165	1.694	94.250	0.260	3.885	1031	1384	96.986	1.819	1.869	0.535	0.862
7	5.574	16.296	16.338	16.296	16.338	16.059	15.274	13.789	2.101	4.700	3.862	1.838	80.784	0.272	4.759	1873	2191	81.022	2.033	2.102	0.476	0.809
8	5.998	6.696	20.500	6.696	20.500	16.961	5.536	18.051	2.380	4.532	3.445	2.217	89.419	0.262	4.535	781	2676	87.867	2.310	1.554	0.643	0.804
9	4.505	14.915	20.287	14.915	20.287	12.739	13.831	18.203	2.084	3.586	2.929	1.958	99.112	0.349	3.606	1752	2157	97.125	2.060	1.496	0.669	0.850
10	2.878	10.997	20.599	10.997	20.599	10.573	10.186	18.928	1.772	2.970	2.591	1.414	113.002	0.324	3.323	1208	2246	120.016	1.509	1.832	0.546	0.826
