 	Area	Mean	Min	Max
1	2.913	255	255	255
2	0.966	255	255	255
3	2.869	255	255	255
4	3.478	255	255	255
5	2.674	255	255	255
6	0.594	255	255	255
7	0.675	255	255	255
8	3.231	255	255	255
9	2.359	255	255	255
10	2.411	255	255	255
11	1.430	255	255	255
12	0.326	255	255	255
13	2.751	255	255	255
14	3.593	255	255	255
15	1.246	255	255	255
16	3.076	255	255	255
17	1.889	255	255	255
