 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	6.234	255	255	255	8.257	3.796	8.257	3.796	14.750	7.008	1.345	2.529	4.345	3.368	2.357	95.700	0.360	4.394	934	160	98.580	2.408	1.429	0.700	0.840
2	8.195	255	255	255	3.451	4.263	3.451	4.263	16.530	1.882	1.555	3.084	4.857	3.702	2.819	84.644	0.377	4.857	378	185	90.694	2.947	1.313	0.761	0.852
3	6.742	255	255	255	13.399	4.092	13.399	4.092	14.620	12.025	1.647	2.714	4.345	3.438	2.497	94.443	0.396	4.470	1537	196	103.592	2.646	1.377	0.726	0.846
4	10.021	255	255	255	8.648	9.872	8.648	9.872	17.363	7.000	6.756	3.202	5.546	4.454	2.865	94.307	0.418	5.607	980	804	98.446	3.129	1.555	0.643	0.856
5	7.551	255	255	255	3.915	9.810	3.915	9.810	14.210	2.496	7.941	2.941	4.672	3.654	2.631	85.895	0.470	4.686	411	945	94.320	2.832	1.389	0.720	0.871
6	8.699	255	255	255	15.085	10.507	15.085	10.507	17.238	13.824	8.160	2.756	5.513	4.444	2.492	93.799	0.368	5.579	1716	971	98.838	2.670	1.783	0.561	0.863
7	8.402	255	255	255	3.781	15.707	3.781	15.707	17.113	2.336	12.798	2.874	5.202	4.703	2.275	110.322	0.361	5.580	308	1524	111.465	2.424	2.068	0.484	0.889
8	5.449	255	255	255	12.817	14.536	12.817	14.536	12.270	11.538	12.882	2.479	3.429	3.083	2.250	80.682	0.455	3.436	1481	1533	93.786	2.356	1.370	0.730	0.895
9	7.829	255	255	255	8.200	15.837	8.200	15.837	15.113	6.815	13.067	2.664	4.916	4.100	2.431	95.471	0.431	4.984	911	1555	99.510	2.557	1.686	0.593	0.862
10	0.079	255	255	255	0.338	29.278	0.338	29.278	1.487	0.126	29.109	0.471	0.328	0.487	0.207	23.524	0.449	0.490	16	3496	22.166	0.242	2.356	0.424	0.831
