 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.016	9.703	3.289	9.703	3.289	6.381	9.102	2.076	1.280	2.449	2.236	1.148	85.566	0.622	2.468	1114	534	82.899	1.239	1.948	0.513	0.956
2	2.259	1.869	4.326	1.869	4.326	7.683	1.271	2.864	1.136	2.975	2.756	1.043	94.850	0.481	3.010	219	338	98.746	1.091	2.642	0.379	0.948
3	2.805	5.383	4.746	5.383	4.746	8.260	4.695	3.102	1.331	3.178	3.111	1.148	102.421	0.517	3.285	585	366	104.646	1.176	2.709	0.369	0.974
4	2.503	12.984	6.735	12.984	6.735	7.712	12.364	5.381	1.212	2.864	2.809	1.134	94.263	0.529	2.880	1500	635	95.912	1.192	2.476	0.404	0.962
5	2.913	3.001	9.530	3.001	9.530	7.776	2.347	7.949	1.331	3.169	2.996	1.238	94.952	0.605	3.188	322	938	96.105	1.249	2.419	0.413	0.977
6	1.334	5.862	9.640	5.862	9.640	6.077	5.407	8.483	0.958	2.263	2.164	0.785	101.343	0.454	2.288	670	1001	98.520	0.813	2.759	0.362	0.949
7	0.999	8.751	9.534	8.751	9.534	5.078	8.347	8.653	0.881	1.729	1.700	0.748	99.770	0.487	1.843	1011	1022	111.019	0.789	2.272	0.440	0.903
8	2.265	14.102	11.696	14.102	11.696	7.446	13.508	10.288	1.220	2.949	2.777	1.039	104.356	0.513	3.059	1634	1214	105.422	1.079	2.674	0.374	0.961
9	0.673	10.850	12.911	10.850	12.911	3.916	10.534	12.136	0.602	1.602	1.544	0.555	97.741	0.552	1.617	1272	1432	97.833	0.581	2.781	0.360	0.970
10	3.229	7.179	13.985	7.179	13.985	9.071	6.347	12.339	1.619	3.136	3.087	1.332	107.567	0.493	3.225	818	1456	103.525	1.442	2.318	0.431	0.950
11	2.073	3.792	14.109	3.792	14.109	7.426	3.246	12.458	1.144	2.915	2.665	0.991	100.608	0.472	2.972	427	1470	101.182	1.013	2.690	0.372	0.935
