 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.416	255	255	255	6.555	3.679	6.555	3.679	11.403	5.607	2.000	1.874	3.900	3.184	1.766	92.972	0.427	3.901	757	239	91.475	1.825	1.803	0.555	0.866
2	6.739	255	255	255	10.345	5.159	10.345	5.159	17.240	9.205	2.335	2.251	5.121	4.150	2.068	98.345	0.285	5.163	1196	279	97.263	2.251	2.007	0.498	0.824
3	8.504	255	255	255	2.875	5.636	2.875	5.636	18.612	1.523	2.594	2.778	5.431	4.371	2.477	110.821	0.308	5.740	233	310	108.884	2.745	1.765	0.567	0.813
4	3.626	255	255	255	7.312	8.596	7.312	8.596	11.552	6.460	6.745	1.766	3.582	3.001	1.538	90.468	0.341	3.583	857	1234	88.394	1.755	1.951	0.512	0.818
5	8.702	255	255	255	12.191	10.962	12.191	10.962	21.745	10.728	7.665	3.054	5.623	4.736	2.339	102.646	0.231	5.708	1444	916	106.788	2.722	2.024	0.494	0.782
6	9.624	255	255	255	4.599	12.838	4.599	12.838	20.795	3.272	9.640	2.761	5.816	4.710	2.601	91.773	0.280	5.837	464	1152	94.934	2.756	1.811	0.552	0.817
7	4.678	255	255	255	8.758	13.889	8.758	13.889	12.595	7.749	11.975	1.933	4.343	3.652	1.631	97.528	0.371	4.367	991	1431	95.940	1.823	2.239	0.447	0.859
8	11.512	255	255	255	3.495	18.764	3.495	18.764	20.625	2.100	15.598	2.812	7.012	5.815	2.521	87.883	0.340	7.020	402	1864	92.733	2.740	2.307	0.433	0.861
9	8.666	255	255	255	11.128	18.350	11.128	18.350	17.359	9.791	15.740	2.510	5.883	4.975	2.218	91.465	0.361	5.942	1323	1881	98.096	2.408	2.243	0.446	0.857
