 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.870	10.375	11.848	10.375	11.848	8.842	9.630	10.193	1.462	3.252	2.895	1.262	88.807	0.461	3.261	1242	1600	85.862	1.368	2.293	0.436	0.864
2	2.038	8.790	11.510	8.790	11.510	7.344	8.101	10.227	1.361	2.529	2.201	1.179	86.519	0.475	2.554	1038	1518	82.057	1.332	1.867	0.536	0.877
3	2.934	13.712	11.220	13.712	11.220	9.678	11.857	10.504	3.311	1.479	2.972	1.257	176.073	0.394	3.329	1411	1317	174.059	1.475	2.364	0.423	0.856
4	3.000	5.268	12.365	5.268	12.365	8.840	3.664	11.521	3.101	1.655	2.757	1.386	177.329	0.482	3.103	436	1473	177.827	1.629	1.990	0.503	0.855
5	2.624	13.754	13.089	13.754	13.089	8.698	12.378	12.361	3.210	1.412	2.872	1.163	172.359	0.436	3.249	1473	1546	171.074	1.391	2.468	0.405	0.873
6	2.562	8.206	14.780	8.206	14.780	8.385	7.580	13.235	1.277	3.185	2.826	1.154	87.889	0.458	3.194	959	1954	85.624	1.277	2.449	0.408	0.879
7	2.186	10.758	15.362	10.758	15.362	7.350	10.126	13.924	1.303	2.782	2.504	1.111	85.070	0.508	2.801	1255	1988	83.280	1.272	2.253	0.444	0.865
8	1.726	13.988	14.707	13.988	14.707	6.999	12.807	14.193	2.706	1.025	2.325	0.946	1.926	0.443	2.707	1524	1770	178.577	0.999	2.458	0.407	0.864
9	3.725	6.676	17.659	6.676	17.659	10.845	4.681	16.849	3.664	1.647	3.257	1.456	176.231	0.398	3.683	557	2067	174.107	1.647	2.236	0.447	0.850
10	0.967	14.308	17.578	14.308	17.578	4.758	13.429	17.126	1.647	0.916	1.455	0.846	175.983	0.537	1.661	1598	2074	172.444	0.915	1.720	0.582	0.876
11	2.598	10.611	18.183	10.611	18.183	8.417	8.790	17.412	3.210	1.462	2.632	1.257	177.310	0.461	3.219	1046	2153	175.808	1.449	2.093	0.478	0.866
12	3.103	10.477	20.259	10.477	20.259	9.360	8.681	19.462	3.353	1.513	3.055	1.293	9.061	0.445	3.392	1033	2459	8.692	1.486	2.363	0.423	0.876
13	3.232	10.082	22.164	10.082	22.164	10.186	8.588	21.319	3.403	1.613	3.215	1.280	165.197	0.391	3.551	1023	2569	162.937	1.481	2.512	0.398	0.846
