 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1.651	14.982	7.543	14.982	7.543	5.944	14.378	6.387	1.244	2.210	2.175	0.966	111.196	0.587	2.331	1754	761	109.154	1.058	2.250	0.444	0.926
2	3.010	9.819	7.390	9.819	7.390	8.261	8.529	6.437	2.487	1.958	2.669	1.436	34.016	0.554	2.862	1016	977	32.897	1.589	1.858	0.538	0.915
3	3.705	6.232	9.219	6.232	9.219	8.799	4.723	8.185	2.941	1.983	2.704	1.744	16.587	0.601	3.031	562	1142	15.269	1.918	1.550	0.645	0.920
4	4.955	14.230	10.450	14.230	10.450	10.073	12.269	9.387	3.664	2.193	3.356	1.880	165.877	0.614	3.798	1460	1183	164.734	2.014	1.786	0.560	0.927
5	2.279	8.983	11.536	8.983	11.536	6.234	8.210	10.563	1.513	1.992	2.146	1.352	112.197	0.737	2.256	982	1260	124.223	1.371	1.587	0.630	0.974
6	2.444	6.178	12.047	6.178	12.047	6.902	4.975	11.319	2.277	1.513	2.137	1.456	173.108	0.645	2.334	593	1402	165.613	1.509	1.468	0.681	0.953
7	2.486	11.841	13.383	11.841	13.383	7.090	10.756	12.538	2.286	1.714	2.199	1.439	27.322	0.621	2.627	1284	1657	30.995	1.473	1.528	0.655	0.921
8	1.936	8.988	14.405	8.988	14.405	6.459	8.134	13.286	1.555	2.067	2.229	1.106	56.525	0.583	2.440	982	1825	56.091	1.210	2.016	0.496	0.927
9	3.280	14.747	15.225	14.747	15.225	8.310	13.891	13.723	1.706	2.933	2.716	1.538	89.188	0.597	2.935	1756	1633	92.461	1.681	1.766	0.566	0.909
10	2.397	6.125	15.179	6.125	15.179	6.906	5.395	13.958	1.445	2.571	2.468	1.237	98.305	0.632	2.576	689	1661	93.366	1.313	1.996	0.501	0.911
11	0.421	11.071	16.264	11.071	16.264	2.787	10.748	15.824	0.655	0.908	0.945	0.567	114.949	0.681	1.027	1293	1884	118.872	0.579	1.666	0.600	0.954
12	1.359	12.747	17.119	12.747	17.119	5.069	11.975	16.546	1.773	1.193	1.754	0.986	23.676	0.664	1.871	1430	2098	22.996	1.001	1.778	0.562	0.952
13	4.400	9.228	18.762	9.228	18.762	8.723	7.597	17.756	3.034	1.992	2.876	1.947	2.113	0.727	3.098	904	2259	11.737	1.992	1.477	0.677	0.962
14	2.125	13.403	19.565	13.403	19.565	5.865	12.387	18.773	1.958	1.647	1.955	1.384	30.834	0.776	2.141	1474	2377	23.848	1.402	1.413	0.708	0.964
