 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	3.788	14.176	9.216	14.176	9.216	9.144	13.168	7.731	2.118	2.748	2.776	1.737	118.347	0.569	3.170	1589	920	126.809	1.807	1.598	0.626	0.936
2	0.328	11.629	9.626	11.629	9.626	2.578	11.176	9.303	0.756	0.723	0.757	0.551	135.275	0.619	0.862	1331	1122	146.929	0.584	1.372	0.729	0.895
3	4.400	5.754	10.941	5.754	10.941	9.904	4.529	9.622	2.412	2.639	2.821	1.986	117.133	0.564	3.083	542	1178	139.754	2.059	1.420	0.704	0.912
4	1.012	9.812	10.629	9.812	10.629	5.122	9.244	9.950	1.176	1.538	1.428	0.902	68.771	0.485	1.538	1170	1367	88.435	0.931	1.584	0.631	0.871
5	1.172	10.738	13.166	10.738	13.166	4.669	10.134	12.454	1.151	1.521	1.369	1.091	102.662	0.676	1.537	1265	1663	81.826	1.148	1.255	0.797	0.918
6	0.625	7.411	14.006	7.411	14.006	3.621	6.916	13.563	0.966	0.966	1.027	0.775	125.798	0.599	1.129	827	1620	126.529	0.854	1.326	0.754	0.917
7	3.929	13.538	14.959	13.538	14.959	10.001	12.076	13.924	3.059	2.101	3.069	1.630	152.809	0.494	3.155	1444	1676	160.551	1.710	1.883	0.531	0.925
8	0.419	10.979	16.115	10.979	16.115	2.860	10.580	15.756	0.941	0.672	0.883	0.604	168.880	0.643	0.973	1261	1890	161.878	0.660	1.463	0.683	0.909
9	2.074	4.492	16.994	4.492	16.994	7.263	3.395	16.176	2.126	1.555	1.968	1.342	152.321	0.494	2.128	404	2010	177.510	1.467	1.467	0.682	0.885
10	0.337	6.275	17.243	6.275	17.243	2.648	5.908	16.832	0.672	0.832	0.779	0.550	115.367	0.603	0.890	720	2003	123.840	0.609	1.416	0.706	0.871
11	0.295	9.479	17.712	9.479	17.712	2.409	9.134	17.353	0.655	0.689	0.714	0.525	55.580	0.638	0.738	1088	2129	37.131	0.556	1.361	0.735	0.910
12	0.569	5.887	18.182	5.887	18.182	4.007	5.563	17.571	0.748	1.252	1.242	0.583	88.368	0.445	1.270	679	2240	76.608	0.730	2.131	0.469	0.833
13	2.492	12.724	19.005	12.724	19.005	9.225	11.983	17.916	1.647	2.412	2.439	1.301	68.120	0.368	2.609	1473	2416	65.251	1.585	1.875	0.533	0.791
