 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.364	255	255	255	8.507	2.928	8.507	2.928	13.624	7.406	0.770	2.243	3.724	2.844	1.954	93.181	0.295	3.733	982	92	94.113	2.224	1.456	0.687	0.812
2	4.659	255	255	255	3.054	3.914	3.054	3.914	14.077	1.992	1.406	2.167	4.234	3.353	1.769	80.845	0.295	4.268	319	674	82.791	2.059	1.895	0.528	0.812
3	3.217	255	255	255	14.160	4.339	14.160	4.339	11.455	13.431	2.033	1.640	4.042	3.418	1.199	82.026	0.308	4.055	1682	726	85.384	1.469	2.852	0.351	0.725
4	5.709	255	255	255	10.995	7.663	10.995	7.663	15.231	9.891	4.920	2.318	4.895	3.609	2.014	94.082	0.309	4.912	1282	588	94.788	2.215	1.792	0.558	0.811
5	3.945	255	255	255	6.197	7.513	6.197	7.513	13.234	5.038	5.088	2.067	4.243	3.237	1.552	79.975	0.283	4.266	722	1115	84.032	1.881	2.087	0.479	0.709
6	4.100	255	255	255	2.903	9.404	2.903	9.404	12.902	1.816	7.180	2.075	3.908	2.993	1.744	74.654	0.309	4.102	272	1325	72.304	1.929	1.716	0.583	0.808
7	6.682	255	255	255	9.072	12.264	9.072	12.264	15.264	7.741	9.381	2.602	5.105	3.869	2.199	84.944	0.360	5.105	1093	1731	89.155	2.485	1.760	0.568	0.808
8	3.483	255	255	255	4.455	13.108	4.455	13.108	10.685	3.540	10.971	1.732	3.732	2.811	1.577	95.567	0.383	3.775	483	1311	98.669	1.723	1.782	0.561	0.802
