 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	7.127	255	255	255	7.129	4.800	7.129	4.800	19.012	5.841	1.414	2.602	5.715	3.920	2.315	91.333	0.248	5.763	760	852	82.658	2.579	1.693	0.591	0.736
2	6.954	255	255	255	3.300	5.718	3.300	5.718	19.472	1.849	2.134	2.360	6.284	4.709	1.880	90.526	0.230	6.291	393	1006	87.484	2.346	2.505	0.399	0.788
3	5.119	255	255	255	11.680	5.075	11.680	5.075	15.836	10.720	2.335	2.234	4.778	3.544	1.839	92.798	0.256	4.845	1314	279	99.544	2.207	1.928	0.519	0.786
4	5.777	255	255	255	15.025	7.575	15.025	7.575	15.477	13.891	4.569	2.159	5.138	3.939	1.867	90.530	0.303	5.139	1803	1160	88.974	2.149	2.110	0.474	0.833
5	5.999	255	255	255	11.041	10.633	11.041	10.633	16.824	9.941	7.900	2.418	4.720	3.414	2.238	95.224	0.266	4.763	1198	944	97.774	2.412	1.526	0.655	0.743
6	5.178	255	255	255	7.161	10.681	7.161	10.681	14.451	6.243	7.933	1.925	4.920	3.860	1.708	87.191	0.312	4.921	816	1536	89.221	1.821	2.260	0.442	0.828
7	3.753	255	255	255	3.507	11.049	3.507	11.049	14.196	2.653	8.887	1.816	3.916	2.891	1.653	99.599	0.234	4.045	358	1063	104.985	1.815	1.749	0.572	0.781
8	3.526	255	255	255	14.020	13.857	14.020	13.857	10.943	12.971	11.816	2.075	3.515	2.697	1.665	105.383	0.370	3.653	1560	1412	105.819	1.899	1.620	0.617	0.795
9	7.695	255	255	255	8.651	16.417	8.651	16.417	18.271	7.615	12.920	2.251	6.176	4.973	1.970	99.513	0.290	6.407	924	1544	105.452	2.214	2.524	0.396	0.811
10	5.815	255	255	255	5.023	16.282	5.023	16.282	16.066	3.782	13.130	2.184	5.548	4.305	1.720	75.998	0.283	5.666	557	2232	77.893	1.979	2.503	0.399	0.818
