 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	10.269	10.225	5.297	10.225	5.297	18.948	8.244	2.966	3.697	5.790	4.506	2.902	107.720	0.359	5.806	1180	353	94.316	3.310	1.553	0.644	0.814
2	13.341	4.937	8.616	4.937	8.616	24.069	3.000	5.781	3.840	6.781	5.323	3.191	83.434	0.289	6.799	570	1495	85.889	3.631	1.668	0.600	0.826
3	13.002	16.823	10.448	16.823	10.448	25.337	14.849	6.975	4.017	5.773	5.009	3.305	112.306	0.255	5.919	1925	831	109.747	3.601	1.515	0.660	0.841
4	11.032	12.378	11.523	12.378	11.523	25.197	10.857	8.950	3.008	6.067	5.206	2.698	96.286	0.218	6.107	1406	1787	83.442	2.923	1.930	0.518	0.843
5	1.710	8.045	10.329	8.045	10.329	9.423	7.462	9.235	1.311	2.723	2.322	0.938	69.922	0.242	2.833	897	1423	73.985	1.142	2.475	0.404	0.822
6	14.608	6.961	16.604	6.961	16.604	31.849	4.437	13.781	4.723	6.555	5.154	3.609	87.782	0.181	6.714	761	2420	76.833	4.399	1.428	0.700	0.766
7	10.735	16.865	16.958	16.865	16.958	29.083	14.823	14.437	3.908	5.874	4.093	3.339	95.116	0.159	5.898	2008	2417	84.769	3.647	1.226	0.816	0.764
8	4.117	11.912	18.038	11.912	18.038	13.869	10.857	16.714	2.361	3.546	3.191	1.643	58.992	0.269	3.667	1395	2411	73.766	1.914	1.942	0.515	0.779
