 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.424	6.976	4.076	6.976	4.076	8.283	6.227	2.370	1.496	2.815	2.306	1.338	88.647	0.444	2.837	761	617	82.854	1.456	1.724	0.580	0.830
2	4.854	3.451	4.419	3.451	4.419	13.467	2.168	2.605	2.723	3.521	2.695	2.293	103.335	0.336	3.551	339	310	103.411	2.408	1.175	0.851	0.818
3	1.316	13.318	3.837	13.318	3.837	6.199	12.714	2.706	1.168	2.143	1.726	0.971	105.451	0.430	2.180	1554	322	100.660	1.070	1.778	0.562	0.827
4	4.991	10.437	4.796	10.437	4.796	13.953	9.126	2.899	2.580	3.681	2.874	2.211	107.324	0.322	3.685	1209	783	87.255	2.498	1.300	0.769	0.807
5	1.908	16.644	5.902	16.644	5.902	8.786	15.966	4.319	1.471	2.815	2.235	1.087	94.524	0.311	2.819	1963	849	86.924	1.327	2.056	0.486	0.765
6	3.149	13.353	8.047	13.353	8.047	11.290	12.420	6.269	1.866	3.345	2.557	1.568	92.258	0.310	3.359	1534	746	95.311	1.731	1.631	0.613	0.777
7	5.837	2.915	9.122	2.915	9.122	15.508	1.706	6.849	2.487	4.134	3.333	2.230	85.367	0.305	4.147	298	1307	85.583	2.418	1.495	0.669	0.808
8	4.942	6.648	9.196	6.648	9.196	12.926	5.538	7.202	2.210	3.840	3.086	2.039	97.983	0.372	3.843	736	857	92.256	2.166	1.514	0.661	0.840
9	3.238	9.586	9.210	9.586	9.210	11.388	8.630	7.328	1.790	3.462	2.805	1.470	81.998	0.314	3.498	1105	1284	81.850	1.765	1.908	0.524	0.744
10	5.116	12.577	12.969	12.577	12.969	14.801	11.328	10.899	2.529	3.849	2.949	2.209	89.724	0.293	3.858	1446	1755	86.128	2.384	1.335	0.749	0.795
11	1.756	4.920	12.853	4.920	12.853	7.506	4.042	11.454	1.563	2.286	1.812	1.234	96.588	0.392	2.289	582	1635	86.844	1.482	1.468	0.681	0.813
12	3.809	8.543	13.286	8.543	13.286	11.957	7.378	11.496	2.101	3.454	2.929	1.656	110.129	0.335	3.674	934	1368	109.927	1.955	1.769	0.565	0.823
