 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	8.294	12.823	4.351	12.823	4.351	19.488	11.483	1.737	2.517	6.127	4.860	2.173	87.791	0.274	6.128	1556	928	88.891	2.488	2.236	0.447	0.819
2	10.225	3.527	5.455	3.527	5.455	21.365	2.042	2.737	3.008	6.178	5.447	2.390	82.359	0.282	6.238	374	1052	82.035	2.741	2.279	0.439	0.841
3	7.729	8.134	4.961	8.134	4.961	17.765	6.508	2.797	3.186	4.203	3.662	2.687	104.302	0.308	4.208	924	330	92.540	2.813	1.363	0.734	0.842
4	8.797	16.478	5.370	16.478	5.370	20.232	14.975	2.890	2.992	5.373	4.504	2.487	96.044	0.270	5.373	1974	975	89.819	2.863	1.811	0.552	0.834
5	4.901	17.219	11.055	17.219	11.055	16.627	16.136	8.941	3.034	4.339	4.184	1.491	106.492	0.223	5.181	1922	1055	123.118	1.858	2.805	0.356	0.709
6	7.624	8.661	11.656	8.661	11.656	18.731	7.212	9.364	2.975	4.636	3.922	2.475	72.891	0.273	4.637	1018	1652	88.848	2.911	1.585	0.631	0.802
7	4.141	3.393	12.064	3.393	12.064	16.205	2.271	10.525	2.364	3.636	3.096	1.703	91.627	0.198	3.643	354	1242	93.601	2.301	1.818	0.550	0.722
8	6.428	13.981	15.062	13.981	15.062	16.961	12.720	12.915	2.483	4.407	4.110	1.991	74.234	0.281	4.712	1501	2044	69.251	2.198	2.064	0.484	0.832
9	10.560	8.930	18.101	8.930	18.101	25.291	7.153	15.144	3.364	6.644	5.122	2.625	103.641	0.207	6.846	1020	1787	103.967	2.777	1.951	0.512	0.773
10	10.554	16.828	18.278	16.828	18.278	28.005	15.381	15.153	2.780	6.407	5.737	2.342	97.892	0.169	6.454	1988	1788	96.938	2.722	2.450	0.408	0.821
11	9.025	3.487	18.645	3.487	18.645	22.181	2.153	15.653	2.712	5.475	5.112	2.248	103.108	0.231	5.663	383	1847	104.826	2.484	2.274	0.440	0.880
