 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.294	255	255	255	12.358	3.555	12.358	3.555	9.724	11.238	1.699	2.142	3.314	2.930	1.866	96.642	0.571	3.327	1445	203	95.194	2.092	1.570	0.637	0.882
2	4.562	255	255	255	3.806	3.750	3.806	3.750	9.614	2.686	1.908	2.293	3.331	3.107	1.869	62.322	0.620	3.533	369	624	69.333	1.898	1.662	0.602	0.930
3	3.282	255	255	255	7.816	3.662	7.816	3.662	8.076	6.962	2.201	1.816	2.728	2.452	1.704	88.202	0.632	2.730	911	263	91.933	1.816	1.439	0.695	0.931
4	0.840	255	255	255	6.744	5.944	6.744	5.944	3.936	6.293	5.339	0.971	1.356	1.295	0.826	64.906	0.682	1.421	785	800	71.458	0.878	1.568	0.638	0.920
5	2.259	255	255	255	12.043	7.441	12.043	7.441	6.991	11.180	6.494	1.774	1.849	1.927	1.493	120.348	0.581	1.961	1380	795	132.060	1.744	1.291	0.775	0.874
6	5.969	255	255	255	4.415	8.734	4.415	8.734	10.787	3.046	7.155	2.770	3.255	3.412	2.228	126.085	0.645	3.697	382	880	125.417	2.310	1.532	0.653	0.939
7	5.868	255	255	255	8.876	10.529	8.876	10.529	11.462	7.707	8.678	2.360	3.816	3.632	2.057	107.061	0.561	4.007	1005	1040	109.267	2.321	1.766	0.566	0.895
8	3.616	255	255	255	12.901	11.809	12.901	11.809	9.334	12.025	10.435	1.816	3.255	3.047	1.511	73.731	0.522	3.380	1472	1636	72.866	1.681	2.017	0.496	0.905
