 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.090	3.011	3.064	3.011	3.064	12.138	1.873	1.686	2.288	2.975	2.445	2.130	106.437	0.349	3.001	324	199	97.627	2.272	1.148	0.871	0.865
2	5.507	7.864	3.930	7.864	3.930	14.625	6.695	1.907	2.161	3.907	3.499	2.004	91.099	0.324	3.919	919	225	94.589	2.140	1.746	0.573	0.861
3	5.027	16.722	4.698	16.722	4.698	15.979	15.669	2.585	2.195	4.712	3.508	1.824	98.723	0.247	4.732	1973	305	95.343	1.996	1.923	0.520	0.781
4	7.115	12.840	4.591	12.840	4.591	18.319	11.203	2.636	3.237	3.932	3.481	2.603	70.325	0.266	3.979	1458	775	81.180	2.905	1.337	0.748	0.840
5	3.088	6.223	8.675	6.223	8.675	11.300	5.271	6.653	1.856	3.220	2.438	1.613	91.938	0.304	3.275	658	1162	77.294	1.751	1.512	0.661	0.763
6	2.929	2.285	9.360	2.285	9.360	11.136	1.475	7.381	1.602	3.585	2.752	1.355	92.209	0.297	3.585	289	871	90.813	1.602	2.030	0.493	0.803
7	6.849	11.906	9.990	11.906	9.990	17.783	10.686	7.822	2.475	5.195	3.869	2.254	103.881	0.272	5.367	1275	923	104.914	2.395	1.716	0.583	0.779
8	3.047	16.337	10.904	16.337	10.904	9.728	15.466	9.644	1.644	2.771	2.480	1.564	97.483	0.405	2.806	1921	1139	100.088	1.644	1.585	0.631	0.914
9	3.582	3.437	14.129	3.437	14.129	13.865	2.347	11.932	2.398	3.534	2.237	2.039	117.504	0.234	3.566	337	1825	82.351	2.279	1.097	0.911	0.668
10	5.380	7.313	14.116	7.313	14.116	16.685	6.127	12.136	2.263	4.703	3.269	2.095	91.606	0.243	4.706	887	1432	91.858	2.263	1.560	0.641	0.759
