 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.631	255	255	255	6.919	3.914	6.919	3.914	13.507	5.874	1.699	2.117	4.033	3.351	1.759	81.527	0.319	4.186	814	685	74.464	2.009	1.905	0.525	0.790
2	7.139	255	255	255	1.815	4.864	1.815	4.864	18.498	0.368	1.950	2.720	5.222	4.029	2.256	77.621	0.262	5.275	201	857	81.883	2.527	1.786	0.560	0.814
3	6.155	255	255	255	11.913	4.007	11.913	4.007	17.821	10.502	2.151	2.669	4.586	3.571	2.195	92.480	0.244	4.586	1435	257	90.941	2.600	1.627	0.615	0.765
4	12.319	255	255	255	15.821	7.607	15.821	7.607	25.024	14.167	3.791	3.397	7.038	5.716	2.744	106.882	0.247	7.221	1772	453	102.925	3.082	2.083	0.480	0.822
5	7.596	255	255	255	8.952	9.876	8.952	9.876	20.803	6.803	7.565	3.414	5.255	4.800	2.015	113.291	0.221	5.876	825	906	116.930	2.773	2.382	0.420	0.745
6	8.529	255	255	255	12.503	11.672	12.503	11.672	19.395	11.297	8.912	2.527	6.201	5.134	2.115	91.320	0.285	6.222	1495	1065	94.783	2.418	2.427	0.412	0.813
7	5.716	255	255	255	3.481	11.121	3.481	11.121	15.036	2.527	9.113	2.000	4.795	3.968	1.834	91.892	0.318	4.795	379	1089	90.700	1.969	2.164	0.462	0.853
8	10.222	255	255	255	8.451	15.978	8.451	15.978	20.915	6.628	13.397	3.473	6.151	4.983	2.612	107.817	0.294	6.177	989	1601	95.286	2.965	1.908	0.524	0.806
9	4.678	255	255	255	16.961	15.296	16.961	15.296	14.564	14.828	13.899	3.364	3.230	3.107	1.917	121.584	0.277	3.810	1780	1709	132.062	2.353	1.621	0.617	0.721
10	12.226	255	255	255	3.714	18.893	3.714	18.893	28.060	1.808	14.945	4.234	7.255	5.038	3.090	105.163	0.195	7.261	379	2653	87.754	3.520	1.631	0.613	0.701
