 	Area	Mean	Min	Max
1	6.638	255	255	255
2	4.911	255	255	255
3	3.658	255	255	255
4	2.709	255	255	255
5	2.016	255	255	255
6	6.466	255	255	255
7	5.732	255	255	255
8	3.124	255	255	255
9	4.153	255	255	255
10	0.500	255	255	255
11	3.734	255	255	255
12	5.174	255	255	255
13	4.985	255	255	255
14	1.462	255	255	255
15	1.686	255	255	255
16	7.310	255	255	255
17	0.489	255	255	255
18	3.254	255	255	255
19	0.702	255	255	255
