 	Area	Mean	Min	Max
1	4.151	255	255	255
2	4.460	255	255	255
3	5.611	255	255	255
4	4.076	255	255	255
5	0.368	255	255	255
6	3.552	255	255	255
7	3.006	255	255	255
8	3.628	255	255	255
9	6.468	255	255	255
10	4.006	255	255	255
11	2.296	255	255	255
12	4.567	255	255	255
13	5.432	255	255	255
14	4.866	255	255	255
