 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	6.050	14.096	7.147	14.096	7.147	14.087	12.996	5.325	2.591	4.549	3.508	2.196	78.816	0.383	4.656	1566	1170	77.651	2.427	1.598	0.626	0.857
2	8.069	7.005	8.733	7.005	8.733	14.969	5.637	6.608	2.793	4.878	3.948	2.603	84.410	0.453	4.900	793	1361	84.466	2.762	1.517	0.659	0.903
3	2.902	13.191	11.549	13.191	11.549	10.003	12.034	10.523	2.388	2.523	2.569	1.438	46.741	0.364	3.186	1432	1546	49.942	1.631	1.787	0.560	0.832
4	5.635	15.948	14.759	15.948	14.759	17.744	14.895	12.000	2.270	4.810	3.848	1.864	82.827	0.225	4.824	1858	1422	94.414	2.040	2.064	0.485	0.736
5	5.455	6.868	15.791	6.868	15.791	13.849	5.713	13.544	2.405	3.958	3.115	2.230	104.104	0.357	4.011	791	1605	99.324	2.405	1.397	0.716	0.845
6	3.868	9.713	15.048	9.713	15.048	12.991	8.667	13.781	2.186	3.148	2.669	1.846	107.078	0.288	3.544	1080	1640	119.373	2.035	1.446	0.692	0.821
7	5.736	14.589	19.765	14.589	19.765	15.498	13.409	17.696	2.414	3.764	3.086	2.367	101.316	0.300	3.855	1677	2097	102.515	2.414	1.304	0.767	0.899
8	5.956	9.869	20.945	9.869	20.945	15.016	8.650	18.633	2.422	4.203	3.361	2.256	85.688	0.332	4.204	1172	2706	88.620	2.411	1.490	0.671	0.902
9	5.918	6.468	21.097	6.468	21.097	15.035	5.274	18.743	2.439	4.219	3.440	2.190	101.832	0.329	4.273	674	2221	99.090	2.303	1.571	0.637	0.870
