 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.736	3.275	4.454	3.275	4.454	11.026	2.367	2.771	1.836	3.849	3.332	1.810	89.636	0.490	3.853	364	329	92.506	1.812	1.841	0.543	0.928
2	4.448	7.627	4.357	7.627	4.357	9.776	6.544	2.838	2.105	3.377	3.027	1.871	109.273	0.585	3.492	839	338	105.243	1.952	1.618	0.618	0.940
3	3.462	12.836	5.559	12.836	5.559	9.518	12.001	3.664	1.769	3.242	3.029	1.455	110.912	0.480	3.484	1428	436	113.962	1.533	2.082	0.480	0.928
4	5.507	17.529	6.954	17.529	6.954	10.390	16.558	4.893	2.030	3.899	3.593	1.951	84.159	0.641	3.904	2047	1044	87.156	1.989	1.841	0.543	0.971
5	2.628	9.976	8.558	9.976	8.558	7.462	9.273	7.175	1.348	2.729	2.582	1.296	94.981	0.593	2.744	1210	1176	84.009	1.326	1.992	0.502	0.933
6	3.575	7.451	10.944	7.451	10.944	8.667	6.460	9.449	1.903	3.091	3.121	1.459	113.310	0.598	3.367	820	1123	113.744	1.504	2.139	0.467	0.954
7	4.322	3.286	11.401	3.286	11.401	9.032	2.392	9.660	1.811	3.461	3.188	1.726	86.243	0.666	3.506	352	1558	80.877	1.772	1.847	0.541	0.967
8	4.472	14.379	11.998	14.379	11.998	10.712	13.088	9.929	2.324	3.655	3.455	1.648	111.618	0.490	4.049	1560	1179	117.364	1.698	2.097	0.477	0.906
9	0.343	11.095	12.129	11.095	12.129	3.409	10.805	11.504	0.581	1.179	1.053	0.414	100.038	0.370	1.215	1309	1366	104.036	0.500	2.540	0.394	0.791
