 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	6.504	9.055	3.582	9.055	3.582	12.252	7.756	1.395	2.655	3.966	3.379	2.451	74.871	0.544	4.054	1028	638	78.038	2.551	1.379	0.725	0.879
2	3.961	13.030	3.990	13.030	3.990	10.420	11.983	2.042	2.042	3.496	2.766	1.823	97.613	0.458	3.546	1527	243	99.686	2.042	1.517	0.659	0.850
3	7.901	4.210	4.323	4.210	4.323	14.775	2.739	2.252	2.832	4.773	3.827	2.629	92.517	0.455	4.773	493	836	89.294	2.746	1.456	0.687	0.868
4	2.722	17.278	4.336	17.278	4.336	8.392	16.387	2.916	1.731	2.765	2.318	1.496	67.338	0.486	2.958	2007	676	69.196	1.654	1.550	0.645	0.851
5	8.456	7.391	9.972	7.391	9.972	14.112	5.950	7.479	2.924	4.504	3.845	2.800	91.937	0.534	4.582	826	890	100.568	2.920	1.373	0.728	0.894
6	2.136	11.737	9.152	11.737	9.152	8.179	10.950	7.849	1.555	2.538	2.001	1.359	100.009	0.401	2.561	1353	934	97.731	1.553	1.472	0.680	0.819
7	6.857	14.978	10.726	14.978	10.726	13.139	13.714	8.235	2.597	4.479	3.687	2.368	91.024	0.499	4.525	1718	1513	81.780	2.568	1.557	0.642	0.854
8	3.774	2.863	10.190	2.863	10.190	10.497	1.824	8.370	1.983	3.445	2.722	1.765	96.724	0.430	3.492	306	996	99.417	1.978	1.542	0.648	0.806
9	4.792	4.866	15.059	4.866	15.059	11.648	3.739	13.059	2.277	3.706	3.050	2.000	81.370	0.444	3.721	535	1554	95.183	2.123	1.525	0.656	0.850
10	7.081	10.285	15.603	10.285	15.603	13.263	8.807	13.176	2.882	4.042	3.442	2.619	85.320	0.506	4.158	1091	2031	69.037	2.804	1.314	0.761	0.863
