week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
21,5029.904904716154,-756.1597602754089,17592.167753269612,"hydration, ind. trees",NA,NA,5029.904904716154,-756.1597602754089,17592.167753269612
29,5859.045327822785,1341.702057791681,14591.95825105331,"hydration, ind. trees",NA,NA,5859.045327822785,1341.702057791681,14591.95825105331
17,3056.5923050196484,63.735758759587725,7031.959241864288,"hydration, ind. trees",NA,NA,3056.5923050196484,63.735758759587725,7031.959241864288
19,-506.55061168578163,-1192.2643878295949,-6.147072398246951,"hydration, ind. trees",NA,NA,-506.55061168578163,-1192.2643878295949,-6.147072398246951
37,1830.7326900683752,998.7626544021886,3165.611731222739,"hydration, ind. trees",NA,NA,1830.7326900683752,998.7626544021886,3165.611731222739
10,-1981.0821081444174,-5427.034633709865,2089.712875384984,"hydration, ind. trees",NA,NA,-1981.0821081444174,-5427.034633709865,2089.712875384984
21,1.8984901051664016,-4.139794820886708,8.152806203734055,space,NA,NA,1.8984901051664016,-4.139794820886708,8.152806203734055
10,0.4839406616225833,-0.46026261694163734,1.761363252293828,space,NA,NA,0.4839406616225833,-0.46026261694163734,1.761363252293828
29,1.5533552038787597,-9.56964197779103,11.41232730383488,space,NA,NA,1.5533552038787597,-9.56964197779103,11.41232730383488
17,1.0646638200072411,0.7138354637746193,1.4499498720787478,space,NA,NA,1.0646638200072411,0.7138354637746193,1.4499498720787478
19,1.7949057071427779,0.7081933219545226,4.383365562390972,space,NA,NA,1.7949057071427779,0.7081933219545226,4.383365562390972
37,7.970724905870379,0.49615032604183423,30.973085997504437,space,NA,NA,7.970724905870379,0.49615032604183423,30.973085997504437
0,758.6482187667095,-172.4236154330995,1795.477994786854,"time, ind. tree",before leafout,before leafout,758.6482187667095,-172.4236154330995,1795.477994786854
0,169.8021961605592,-2.570250294854473,318.7241705527883,"time, ind. tree",after leafout,after leafout,169.8021961605592,-2.570250294854473,318.7241705527883
