week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
37,-535.3410921331237,-5569.137201487067,1427.7850393174776,"hydration, ind. trees",NA,NA,-535.3410921331237,-5569.137201487067,1427.7850393174776
17,2775.6757038786777,-1037.6444649492362,8320.809001935118,"hydration, ind. trees",NA,NA,2775.6757038786777,-1037.6444649492362,8320.809001935118
14,164.79515087581282,-6033.524519885739,5031.258495217015,"hydration, ind. trees",NA,NA,164.79515087581282,-6033.524519885739,5031.258495217015
33,-10175.188357176563,-34443.64698766939,372.30035069552036,"hydration, ind. trees",NA,NA,-10175.188357176563,-34443.64698766939,372.30035069552036
15,779.1798757891413,-3137.3113845635257,3615.135457545988,"hydration, ind. trees",NA,NA,779.1798757891413,-3137.3113845635257,3615.135457545988
19,70.4206998299788,-0.5690129144410937,106.97027671069468,"hydration, ind. trees",NA,NA,70.4206998299788,-0.5690129144410937,106.97027671069468
12,2920.5855801881166,-603.8726033289857,11057.112638331168,"hydration, ind. trees",NA,NA,2920.5855801881166,-603.8726033289857,11057.112638331168
10,-457.366951949894,-998.1599077174972,299.06791390026905,"hydration, ind. trees",NA,NA,-457.366951949894,-998.1599077174972,299.06791390026905
21,-34.08736896937622,-42.49274831130944,-21.7801563832737,space,NA,NA,-34.08736896937622,-42.49274831130944,-21.7801563832737
37,135.58344423267775,41.68066536790326,273.740747746975,space,NA,NA,135.58344423267775,41.68066536790326,273.740747746975
17,103.11157612656675,71.7636905592168,137.9627307069801,space,NA,NA,103.11157612656675,71.7636905592168,137.9627307069801
15,-46.180594493603145,-66.89333355070119,-18.08516274391981,space,NA,NA,-46.180594493603145,-66.89333355070119,-18.08516274391981
14,-7.944754711372089,-36.38643604135023,14.002743109132409,space,NA,NA,-7.944754711372089,-36.38643604135023,14.002743109132409
19,-41.91916877400707,-66.3598985572684,-19.0156257169958,space,NA,NA,-41.91916877400707,-66.3598985572684,-19.0156257169958
33,260.9369107155796,140.4588164902584,392.00671457654363,space,NA,NA,260.9369107155796,140.4588164902584,392.00671457654363
12,120.01563869253988,86.76097123311332,140.6247434634755,space,NA,NA,120.01563869253988,86.76097123311332,140.6247434634755
10,42.707756294004184,-11.40127300150446,105.03172581997677,space,NA,NA,42.707756294004184,-11.40127300150446,105.03172581997677
0,860.6322548224734,-126.32400780585183,2524.3694233067645,"time, ind. tree",before leafout,before leafout,860.6322548224734,-126.32400780585183,2524.3694233067645
0,479.27719796961145,244.3199971852429,641.6419135398631,"time, ind. tree",after leafout,after leafout,479.27719796961145,244.3199971852429,641.6419135398631
