week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
21,57.44017451190734,-91.07057316834201,165.9510033568791,"hydration, ind. trees",NA,NA,57.44017451190734,-91.07057316834201,165.9510033568791
29,45.41204038758971,-4914.653908317535,2796.6513250402922,"hydration, ind. trees",NA,NA,45.41204038758971,-4914.653908317535,2796.6513250402922
17,1735.7783563259247,-77.29220355157051,3703.3879670222154,"hydration, ind. trees",NA,NA,1735.7783563259247,-77.29220355157051,3703.3879670222154
37,-173.291019141851,-1340.2075649503222,947.3717981541888,"hydration, ind. trees",NA,NA,-173.291019141851,-1340.2075649503222,947.3717981541888
14,213.49034067238074,-191.75705490049268,545.4132463255775,"hydration, ind. trees",NA,NA,213.49034067238074,-191.75705490049268,545.4132463255775
19,263.24883073099153,-471.8691008699606,667.1140001320169,"hydration, ind. trees",NA,NA,263.24883073099153,-471.8691008699606,667.1140001320169
15,116.75981786476926,54.11251640203826,201.9242821504435,space,NA,NA,116.75981786476926,54.11251640203826,201.9242821504435
17,99.84022826907785,22.45177069773101,188.95056039510078,space,NA,NA,99.84022826907785,22.45177069773101,188.95056039510078
19,58.93097412491653,13.030107775156702,168.74639964436497,space,NA,NA,58.93097412491653,13.030107775156702,168.74639964436497
21,67.95457849912047,-34.67724280483585,210.1118512753488,space,NA,NA,67.95457849912047,-34.67724280483585,210.1118512753488
29,37.94892961001937,-77.36449800426264,177.04048197674604,space,NA,NA,37.94892961001937,-77.36449800426264,177.04048197674604
14,36.662994173406794,-1.8115003339424356,100.85056634559832,space,NA,NA,36.662994173406794,-1.8115003339424356,100.85056634559832
37,104.05730460937458,-111.08802770492692,315.2398532983818,space,NA,NA,104.05730460937458,-111.08802770492692,315.2398532983818
10,83.13156648318967,20.53397276606655,134.51259783581597,space,NA,NA,83.13156648318967,20.53397276606655,134.51259783581597
0,302.83219547492314,86.14051421378085,557.4111214049823,"time, ind. tree",before leafout,before leafout,302.83219547492314,86.14051421378085,557.4111214049823
0,26.021672378362013,-94.06349553529132,154.67288570702934,"time, ind. tree",after leafout,after leafout,26.021672378362013,-94.06349553529132,154.67288570702934
