week,week_rwc_link,date_wp,time,tree,plot,site,species,year,type,water_potential,mean_swc_per_dry_g,max_swc_per_dry_g,rwc_week,collection_type,lwc_wet_per_dry,rwc_percent,rwc_max_percent
37,37,2022-09-15,md,2015,Low,Cucu Mesa,blue oak,0,leaf,4.4435,0.874059313298696,0.874059313298696,yes,lfm,0.592994161801501,67.84369810826037,67.84369810826037
37,37,2022-09-15,md,2015,Low,Cucu Mesa,blue oak,0,leaf,4.4435,0.874059313298696,0.874059313298696,yes,lwc,0.702747989276139,80.4004921158006,80.4004921158006
37,37,2022-09-15,md,2015,Low,Cucu Mesa,blue oak,0,stem,4.4435,0.90196047213278,0.90196047213278,yes,lfm,0.455940875497442,50.549984127278,50.549984127278
37,37,2022-09-15,md,2015,Low,Cucu Mesa,blue oak,0,stem,4.4435,0.90196047213278,0.90196047213278,yes,lwc,0.702747989276139,77.91339099533019,77.91339099533019
37,37,2022-09-15,md,2015,Low,Cucu Mesa,blue oak,1,stem,4.4435,0.905755769412948,0.905755769412948,yes,lfm,0.525094021527688,57.97302531873684,57.97302531873684
37,37,2022-09-15,md,2015,Low,Cucu Mesa,blue oak,1,stem,4.4435,0.905755769412948,0.905755769412948,yes,lwc,0.702747989276139,77.58691835124766,77.58691835124766
10,11,2022-03-08,md,2020,Chamise,Chamise,blue oak,0,leaf,2.17333333333333,1.39786856127886,1.39786856127886,no,lfm,1.30653336595938,93.46610991551877,93.46610991551877
10,11,2022-03-08,md,2020,Chamise,Chamise,blue oak,0,leaf,2.17333333333333,1.39786856127886,1.39786856127886,no,lwc,1.12870514147688,80.74472613106543,80.74472613106543
11,11,2022-03-15,pd,2020,Chamise,Chamise,blue oak,0,leaf,1.58275,1.39786856127886,1.39786856127886,yes,lfm,1.37315906917437,98.23234510103839,98.23234510103839
11,11,2022-03-15,pd,2020,Chamise,Chamise,blue oak,0,leaf,1.58275,1.39786856127886,1.39786856127886,yes,lwc,1.09438585579682,78.28961077682479,78.28961077682479
14,15,2022-04-04,md,2020,Chamise,Chamise,blue oak,0,leaf,2.43333333333333,1.06664683130021,1.39786856127886,no,lfm,1.0637868574311,99.7318724637635,76.10063541724405
14,15,2022-04-04,md,2020,Chamise,Chamise,blue oak,0,leaf,2.43333333333333,1.06664683130021,1.39786856127886,no,lwc,0.801378362377712,75.1306185760526,57.32859187022273
14,15,2022-04-04,md,2020,Chamise,Chamise,blue oak,0,stem,2.43333333333333,1.45208914095293,1.45208914095293,no,lfm,1.35651381718797,93.41808150274859,93.41808150274859
14,15,2022-04-04,md,2020,Chamise,Chamise,blue oak,0,stem,2.43333333333333,1.45208914095293,1.45208914095293,no,lwc,0.801378362377712,55.187959180784816,55.187959180784816
14,15,2022-04-04,pd,2020,Chamise,Chamise,blue oak,0,leaf,0.68625,1.06664683130021,1.39786856127886,no,lfm,1.31675311737831,123.44790034891193,94.19720522032914
14,15,2022-04-04,pd,2020,Chamise,Chamise,blue oak,0,leaf,0.68625,1.06664683130021,1.39786856127886,no,lwc,1.0582889376371,99.21643289813913,75.70732806730479
14,15,2022-04-04,pd,2020,Chamise,Chamise,blue oak,0,stem,0.68625,1.45208914095293,1.45208914095293,no,lfm,2.55111111111111,175.68557185387047,175.68557185387047
14,15,2022-04-04,pd,2020,Chamise,Chamise,blue oak,0,stem,0.68625,1.45208914095293,1.45208914095293,no,lwc,1.0582889376371,72.8804387961059,72.8804387961059
