tree,week_rwc_link,week,time,date,bulk_or_individual_leaf,date_wc,date_wp,dm_bulk_g,lma_g_cm2_new,lwa_g_cm2_new,lwc_mean,lwc_new,mean_mpa,plot,sd_mpa,site,species,sum_area_cm2,sum_dm_g,sum_water_wt_g,timing,type,week_alas_link,wm_bulk_g,mean_swc_per_dry_g,mean_swc_g,date_rwc,year_rwc,type_rwc,week_wp
1478,15,14,pd,2022-04-04,bulk,2022-04-04,2022-04-04,0.8328,0.011918810365414197,0.020783497133350745,1.74375600384246,1.7437560038424593,0.5714,Low,0.24661873408157786,Cucu Mesa,blue oak,69.87274522099999,0.8328,1.4522000000000002,early,leaf,14,2.285,1.33818589025756,0.1195,2022-04-12,0,stem,14
1478,15,14,pd,2022-04-04,bulk,2022-04-04,2022-04-04,0.8328,0.011918810365414197,0.020783497133350745,1.74375600384246,1.7437560038424593,0.5714,Low,0.24661873408157786,Cucu Mesa,blue oak,69.87274522099999,0.8328,1.4522000000000002,early,leaf,14,2.285,1.3074871404077,0.6863,2022-04-12,0,leaf,14
1478,15,14,pd,2022-04-04,bulk,2022-04-04,2022-04-04,0.8328,0.011918810365414197,0.020783497133350745,1.74375600384246,1.7437560038424593,0.5714,Low,0.24661873408157786,Cucu Mesa,blue oak,69.87274522099999,0.8328,1.4522000000000002,early,leaf,14,2.285,1.84531590413943,0.1694,2022-04-12,0,stem,14
1478,15,15,md,2022-04-13,bulk,2022-04-13,2022-04-13,1.2356,0.011806309719129366,0.012758518100323852,1.0442743893887854,1.0806524988626762,1.6904000000000001,Low,0.25734471045661694,Cucu Mesa,blue oak,130.328615512,1.5387,1.6627999999999998,early,leaf,14,2.6018,1.33818589025756,0.1195,2022-04-12,0,stem,15
1478,15,15,md,2022-04-13,bulk,2022-04-13,2022-04-13,1.2356,0.011806309719129366,0.012758518100323852,1.0442743893887854,1.0806524988626762,1.6904000000000001,Low,0.25734471045661694,Cucu Mesa,blue oak,130.328615512,1.5387,1.6627999999999998,early,leaf,14,2.6018,1.3074871404077,0.6863,2022-04-12,0,leaf,15
1478,15,15,md,2022-04-13,bulk,2022-04-13,2022-04-13,1.2356,0.011806309719129366,0.012758518100323852,1.0442743893887854,1.0806524988626762,1.6904000000000001,Low,0.25734471045661694,Cucu Mesa,blue oak,130.328615512,1.5387,1.6627999999999998,early,leaf,14,2.6018,1.84531590413943,0.1694,2022-04-12,0,stem,15
1478,17,17,md,2022-04-25,bulk,2022-04-27,2022-04-25,0.859,0.01219924626615536,0.012440674888419205,1.0197904540163,1.019790454016298,2.221,Low,0.2095232683975695,Cucu Mesa,blue oak,70.414186357,0.859,0.8760000000000001,late,leaf,17,1.735,NA,NA,NA,0,NA,17
1478,17,17,pd,2022-04-25,bulk,2022-04-27,2022-04-25,0.847,0.013202412758900687,0.014215584930481024,1.0767414403778,1.076741440377804,0.903,Low,0.027404379212089467,Cucu Mesa,blue oak,64.154940121,0.847,0.9119999999999999,late,leaf,17,1.759,NA,NA,NA,0,NA,17
1478,19,19,md,2022-05-09,bulk,2022-05-09,2022-05-09,0.9793,0.015425176976065503,0.013579133126790637,0.880322679464924,0.8803226794649239,2.535,Low,0.04101219330881995,Cucu Mesa,blue oak,63.48711600000001,0.9793,0.8621,late,leaf,21,1.8414,1.6273602286179534,0.14663333333333334,2022-05-03,0,stem,19
1478,19,19,md,2022-05-09,bulk,2022-05-09,2022-05-09,0.9793,0.015425176976065503,0.013579133126790637,0.880322679464924,0.8803226794649239,2.535,Low,0.04101219330881995,Cucu Mesa,blue oak,63.48711600000001,0.9793,0.8621,late,leaf,21,1.8414,1.11212055194809,0.2477,2022-05-03,0,leaf,19
1478,19,19,md,2022-05-09,bulk,2022-05-09,2022-05-09,0.9793,0.015425176976065503,0.013579133126790637,0.880322679464924,0.8803226794649239,2.535,Low,0.04101219330881995,Cucu Mesa,blue oak,63.48711600000001,0.9793,0.8621,late,leaf,21,1.8414,1.214219654335055,0.24395,2022-05-03,0,stem,19
1478,21,21,md,2022-05-23,bulk,2022-05-23,2022-05-23,0.584,0.01575332276505221,0.010520198421867057,0.667808219178082,0.6678082191780823,3.9875,Low,0.379418414594407,Cucu Mesa,blue oak,37.071544125,0.584,0.39,late,leaf,21,0.974,0.9201039556300094,0.39499999999999996,2022-05-25,0,leaf,21
1478,21,21,md,2022-05-23,bulk,2022-05-23,2022-05-23,0.584,0.01575332276505221,0.010520198421867057,0.667808219178082,0.6678082191780823,3.9875,Low,0.379418414594407,Cucu Mesa,blue oak,37.071544125,0.584,0.39,late,leaf,21,0.974,1.23704910908301,0.102,2022-05-25,0,stem,21
1478,21,21,pd,2022-05-23,bulk,2022-05-23,2022-05-23,0.6283,0.01555339419981984,0.013162087690664027,0.846251790545917,0.8462517905459175,1.5526666666666666,Low,0.10640175437150157,Cucu Mesa,blue oak,40.396327125000006,0.6283,0.5317,late,leaf,21,1.16,0.9201039556300094,0.39499999999999996,2022-05-25,0,leaf,21
1478,21,21,pd,2022-05-23,bulk,2022-05-23,2022-05-23,0.6283,0.01555339419981984,0.013162087690664027,0.846251790545917,0.8462517905459175,1.5526666666666666,Low,0.10640175437150157,Cucu Mesa,blue oak,40.396327125000006,0.6283,0.5317,late,leaf,21,1.16,1.23704910908301,0.102,2022-05-25,0,stem,21
1478,30,29,md,2022-07-19,bulk,2022-07-19,2022-07-19,0.26,0.017024151336848085,0.009972224033084473,0.585769230769231,0.5857692307692307,4.133333333333333,Low,0.1527525231651946,Cucu Mesa,blue oak,15.272420625,0.26,0.1523,late,leaf,29,0.4123,NA,NA,NA,0,NA,29
1478,37,37,md,2022-09-15,bulk,2022-09-15,2022-09-15,0.468,0.016292202106908096,0.010022489287561626,0.61517094017094,0.6151709401709401,4.073,Low,0.3157958201116667,Cucu Mesa,blue oak,28.725398625000004,0.468,0.2879,late,leaf,37,0.7559,1.1167902501837206,0.2654333333333333,2022-09-15,0,stem,37
1478,37,37,md,2022-09-15,bulk,2022-09-15,2022-09-15,0.468,0.016292202106908096,0.010022489287561626,0.61517094017094,0.6151709401709401,4.073,Low,0.3157958201116667,Cucu Mesa,blue oak,28.725398625000004,0.468,0.2879,late,leaf,37,0.7559,1.0116172767197478,0.17406666666666668,2022-09-15,0,stem,37
1478,37,37,md,2022-09-15,bulk,2022-09-15,2022-09-15,0.468,0.016292202106908096,0.010022489287561626,0.61517094017094,0.6151709401709401,4.073,Low,0.3157958201116667,Cucu Mesa,blue oak,28.725398625000004,0.468,0.2879,late,leaf,37,0.7559,0.9059972603620253,0.6773333333333333,2022-09-15,0,leaf,37
1478,37,37,pd,2022-09-15,bulk,2022-09-15,2022-09-15,0.5751,NA,0.0023117354904721365,0.725960702486524,0.7259607024865243,1.695,Low,0.039597979746446695,Cucu Mesa,blue oak,180.60024675,0.5751,0.4175000000000001,late,leaf,37,0.9926,1.1167902501837206,0.2654333333333333,2022-09-15,0,stem,37
1478,37,37,pd,2022-09-15,bulk,2022-09-15,2022-09-15,0.5751,NA,0.0023117354904721365,0.725960702486524,0.7259607024865243,1.695,Low,0.039597979746446695,Cucu Mesa,blue oak,180.60024675,0.5751,0.4175000000000001,late,leaf,37,0.9926,1.0116172767197478,0.17406666666666668,2022-09-15,0,stem,37
