week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
10,-155.56217146434022,-586.8362593631124,20.104678202357096,"hydration, ind. trees",NA,NA,-155.56217146434022,-586.8362593631124,20.104678202357096
21,100.25069307740259,-2.851880281455445,301.5188836159516,"hydration, ind. trees",NA,NA,100.25069307740259,-2.851880281455445,301.5188836159516
29,120.80564930237803,25.636714377788742,295.8015041286521,"hydration, ind. trees",NA,NA,120.80564930237803,25.636714377788742,295.8015041286521
17,91.04937335684252,20.186877287931285,169.47224685638923,"hydration, ind. trees",NA,NA,91.04937335684252,20.186877287931285,169.47224685638923
37,35.14824287699966,18.812157914763045,56.16336628199043,"hydration, ind. trees",NA,NA,35.14824287699966,18.812157914763045,56.16336628199043
10,0.5002175181298761,0.061587287330013035,0.8271588564559569,space,NA,NA,0.5002175181298761,0.061587287330013035,0.8271588564559569
21,1.9606870298625636,-1.9626559015459324,5.934538223425283,space,NA,NA,1.9606870298625636,-1.9626559015459324,5.934538223425283
29,2.6240639787573534,-13.010181912002054,15.38126186898385,space,NA,NA,2.6240639787573534,-13.010181912002054,15.38126186898385
17,3.7419517160102673,0.6017290166340865,11.610825839738059,space,NA,NA,3.7419517160102673,0.6017290166340865,11.610825839738059
37,7.422593867706886,5.20458912687983,10.644597524332738,space,NA,NA,7.422593867706886,5.20458912687983,10.644597524332738
19,1.7663137532674515,-0.698419892054976,4.501823860272556,space,NA,NA,1.7663137532674515,-0.698419892054976,4.501823860272556
33,-13.906633525643365,-13.90663352564339,-13.906633525643329,space,NA,NA,-13.906633525643365,-13.90663352564339,-13.906633525643329
15,0.5469765329760752,0.5469765329760745,0.5469765329760757,space,NA,NA,0.5469765329760752,0.5469765329760745,0.5469765329760757
0,2.5415728359241294,1.1928617926167024,4.643651516578923,"time, ind. tree",before leafout,before leafout,2.5415728359241294,1.1928617926167024,4.643651516578923
0,5.691600197160681,3.545116219536759,7.421109587428328,"time, ind. tree",after leafout,after leafout,5.691600197160681,3.545116219536759,7.421109587428328
