"","tree","week","time","plot","site","species","date_wp","mpa_mean","timing","lwc_mean_combined","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc","date_lfm","type","X.x","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","X.y","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","X","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent_y0"
"1",11,15,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-12","leaf",527,NA,7.0288,2.16998150904253,2.2173,216.998150904253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",11,15,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-12","leaf",534,NA,10.4698,2.44786932753738,3.0366,244.786932753738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",11,15,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-12","leaf",542,NA,10.4567,1.69641567818463,3.878,169.641567818463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",11,16,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-19","leaf",554,NA,3.9553,2.04675704822061,1.2982,204.675704822061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",11,16,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-19","leaf",555,NA,5.8393,1.65845663555657,2.1965,165.845663555657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",11,16,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-19","leaf",561,NA,5.7577,1.79581431484898,2.0594,179.581431484899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,17,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-26","leaf",702,NA,6.6026,2.31405912764142,1.9923,231.405912764142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",11,17,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-26","leaf",705,NA,3.3915,1.48661925361097,1.3639,148.661925361097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",11,17,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-26","leaf",703,NA,4.0334,1.90989106125099,1.3861,190.989106125099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",11,17,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-26","leaf",704,NA,4.7655,2.30226595523526,1.4431,230.226595523526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,18,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-03","leaf",901,NA,2.7103,1.68452852614897,1.0096,168.452852614897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",11,18,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-03","leaf",902,NA,1.977,1.71156219997257,0.7291,171.156219997257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",11,18,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-03","leaf",900,NA,2.4269,1.47592328096307,0.9802,147.592328096307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
