week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
21,126.28679901881559,-15.13246706087484,330.90473293712154,"hydration, ind. trees",NA,NA,126.28679901881559,-15.13246706087484,330.90473293712154
29,-338.1729036172843,-1235.20002249423,541.3379227170722,"hydration, ind. trees",NA,NA,-338.1729036172843,-1235.20002249423,541.3379227170722
37,-61.46289077923302,-747.7640508797653,947.3717981541868,"hydration, ind. trees",NA,NA,-61.46289077923302,-747.7640508797653,947.3717981541868
14,972.5897408348793,515.7064950783072,1407.5173980626234,"hydration, ind. trees",NA,NA,972.5897408348793,515.7064950783072,1407.5173980626234
19,277.48259378603433,-432.49589905309824,1066.672804266104,"hydration, ind. trees",NA,NA,277.48259378603433,-432.49589905309824,1066.672804266104
21,0.7374648363690455,-26.28302016239795,73.06179990715893,space,NA,NA,0.7374648363690455,-26.28302016239795,73.06179990715893
29,-32.34697700535624,-256.3805152330844,87.59859742063783,space,NA,NA,-32.34697700535624,-256.3805152330844,87.59859742063783
17,NA,NA,NA,space,NA,NA,NA,NA,NA
37,46.118500231649584,-57.267669256637944,130.59366034493948,space,NA,NA,46.118500231649584,-57.267669256637944,130.59366034493948
19,127.60625154591374,8.995581943926759,175.15870645133253,space,NA,NA,127.60625154591374,8.995581943926759,175.15870645133253
10,42.621911863335576,11.936591749347391,92.62253181688504,space,NA,NA,42.621911863335576,11.936591749347391,92.62253181688504
14,51.701478593864614,3.629623314291215,149.76579834300753,space,NA,NA,51.701478593864614,3.629623314291215,149.76579834300753
15,NA,160.766928467152,160.76692846715244,space,NA,NA,NA,160.766928467152,160.76692846715244
0,360.3854267384915,242.01911212628153,555.3136952639842,"time, ind. tree",before leafout,before leafout,360.3854267384915,242.01911212628153,555.3136952639842
0,103.12905157691831,-174.45432852312652,292.6274265838795,"time, ind. tree",after leafout,after leafout,103.12905157691831,-174.45432852312652,292.6274265838795
