week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
14,69.65253432821672,69.65253432821672,69.65253432821672,"hydration, ind. trees",NA,NA,69.65253432821672,69.65253432821672,69.65253432821672
29,81.68984899517699,81.68984899517699,81.68984899517699,"hydration, ind. trees",NA,NA,81.68984899517699,81.68984899517699,81.68984899517699
19,-57.05915783844381,-61.45975199207579,-52.710570706627486,"hydration, ind. trees",NA,NA,-57.05915783844381,-61.45975199207579,-52.710570706627486
14,69.65253432821672,69.65253432821672,69.65253432821672,NA,NA,NA,69.65253432821672,69.65253432821672,69.65253432821672
29,81.68984899517699,81.68984899517699,81.68984899517699,NA,NA,NA,81.68984899517699,81.68984899517699,81.68984899517699
19,-57.05915783844381,-61.45975199207579,-52.710570706627486,NA,NA,NA,-57.05915783844381,-61.45975199207579,-52.710570706627486
15,-9.329628441707552,-89.44085984993382,31.39057654846852,space,NA,NA,-9.329628441707552,-89.44085984993382,31.39057654846852
17,103.27520854068105,6.003613886751792,192.3362199780993,space,NA,NA,103.27520854068105,6.003613886751792,192.3362199780993
37,57.572792160835775,-113.21347235467681,288.41988104929015,space,NA,NA,57.572792160835775,-113.21347235467681,288.41988104929015
29,-17.669607092979213,-138.44063760220993,99.72143521296074,space,NA,NA,-17.669607092979213,-138.44063760220993,99.72143521296074
10,66.46596633589188,18.116741700087875,107.36565207083063,space,NA,NA,66.46596633589188,18.116741700087875,107.36565207083063
14,96.88509937171783,-243.35255247828076,245.10533478610745,space,NA,NA,96.88509937171783,-243.35255247828076,245.10533478610745
21,104.08425243764421,-51.182796706413136,246.97534273260607,space,NA,NA,104.08425243764421,-51.182796706413136,246.97534273260607
12,41.17307131286053,-189.505723954093,400.432199237174,space,NA,NA,41.17307131286053,-189.505723954093,400.432199237174
19,47.242527148126115,-67.73722860886087,190.7590479386159,space,NA,NA,47.242527148126115,-67.73722860886087,190.7590479386159
33,30.45634072525911,-29.919317998897213,297.1731116520922,space,NA,NA,30.45634072525911,-29.919317998897213,297.1731116520922
0,1.299834958879461,-0.8764418621232026,3.6657188005159225,time,NA,before leafout,1.299834958879461,-0.8764418621232026,3.6657188005159225
0,14.867654978513075,7.059496912161162,24.93137221578623,time,NA,after leafout,14.867654978513075,7.059496912161162,24.93137221578623
0,58.42695573495112,-150.43637592824786,262.5953386225079,"time, ind. tree",before leafout,before leafout,58.42695573495112,-150.43637592824786,262.5953386225079
0,353.57982728643697,-145.8351607733292,807.7317930762664,"time, ind. tree",after leafout,after leafout,353.57982728643697,-145.8351607733292,807.7317930762664
