"","species","tree_id","branch","sub_branch","year","week","area_cm2","area_stem_mm2","alas_cm2_per_mm2","sla_cm_g","lma_g_cm2","ldm_g","lma_old"
"1","B","1478","1",NA,0,14,32.537,0.870029724242045,37.397572856888,118.316363636364,0.00845191627992747,0.275,0.00845191627992747
"2","B","1478","1",NA,0,17,32.684,2.45362804110032,13.3206824557413,70.759904741286,0.0141322971484518,0.4619,0.0141322971484518
"3","B","1478","1",NA,0,29,34.708,2.85771539616831,12.145366206354,60.0484429065744,0.0166532211593869,0.578,0.0166532211593869
"4","B","1478","1",NA,0,37,18.128,1.42080491254007,12.7589648937737,60.1260364842454,0.0166317299205649,0.3015,0.0166317299205649
"5","B","1478","2",NA,0,14,28.114,0.781476081318982,35.9755092600517,112.907630522088,0.00885679732517607,0.249,0.00885679732517607
"6","B","1478","2",NA,0,17,31.034,2.11885207395216,14.6466100118609,75.1974800096923,0.0132983179738352,0.4127,0.0132983179738352
"7","B","1478","2",NA,0,29,33.483,2.77591126871194,12.0619849695472,64.3903846153846,0.0155302690917779,0.52,0.0155302690917779
"8","B","1478","2",NA,0,37,32.528,1.33755270721994,24.3190416530265,63.4321372854914,0.0157648794884407,0.5128,0.0157648794884407
"9","B","1478","3",NA,0,14,23.834,1.09358840271461,21.7943057377319,106.878923766816,0.00935638163967441,0.223,0.00935638163967441
"10","B","1478","3",NA,0,17,15.746,1.34782178820636,11.6825533893129,70.9598918431726,0.0140924679283628,0.2219,0.0140924679283628
"11","B","1478","3",NA,0,29,18.659,1.99181392102262,9.36784295112279,63.9006849315069,0.0156492845275738,0.292,0.0156492845275738
"12","B","1478","3",NA,0,37,43.333,3.01718558450764,14.362059868807,59.3684066310453,0.0168439757228902,0.7299,0.0168439757228902
"13","B","2004","1",NA,0,10,4.89747388967736,NA,NA,75.3457521488825,0.0132721483491732,0.065,0.0132721483491732
"14","B","2004","1",NA,0,11,16.126540184737,1.1499014510302,14.0242802287875,67.7585722047773,0.0147582802804321,0.238,0.0147582802804321
"15","B","2004","1",NA,0,14,36.481,1.90522377350805,19.1478820006682,62.3606837606838,0.0160357446341931,0.585,0.0160357446341931
"16","B","2004","1",NA,0,17,33.565,1.65699868396629,20.2565037165008,64.2761394101877,0.0155578727841502,0.5222,0.0155578727841502
"17","B","2004","1",NA,0,29,17.625,1.46337349299621,12.0440885968991,58.9464882943144,0.0169645390070922,0.299,0.0169645390070922
"18","L","2004","1",NA,0,37,13.311,1.56699205444094,8.49461869463595,55.7645580226225,0.0179325369994741,0.2387,0.0179325369994741
"19","B","2004","2",NA,0,10,5.7014671014924,NA,NA,126.699268922053,0.00789270536845173,0.045,0.00789270536845173
"20","B","2004","2",NA,0,11,12.0202236210547,1.09358840271461,10.991542696701,63.5990667780672,0.0157235011559141,0.189,0.0157235011559141
"21","B","2004","2",NA,0,14,31.795,1.16420060634256,27.3105853293505,63.3366533864542,0.0157886460135241,0.502,0.0157886460135241
"22","B","2004","2",NA,0,17,13.381,0.899202357273739,14.8809663272785,72.0959051724138,0.0138704132725506,0.1856,0.0138704132725506
"23","B","2004","2",NA,0,29,11.508,1.16898662640076,9.84442399947074,58.1212121212121,0.0172054223149114,0.198,0.0172054223149114
"24","B","2004","2",NA,0,37,23.251,1.7612602901573,13.2013423171674,55.7177090821951,0.0179476151563374,0.4173,0.0179476151563374
"25","B","2004","3",NA,0,10,5.92667855269748,NA,NA,71.4057656951504,0.0140044713513648,0.083,0.0140044713513648
"26","B","2004","3",NA,0,11,15.0716637500769,0.865901475145687,17.4057490172783,78.0915220211238,0.0128054873835024,0.193,0.0128054873835024
"27","B","2004","3",NA,0,14,19.457,0.773661369593178,25.1492458648042,63.7934426229508,0.0156755923318086,0.305,0.0156755923318086
"28","B","2004","3",NA,0,17,14.838,0.750452853864783,19.7720615273635,70.0897496457251,0.0142674214853754,0.2117,0.0142674214853754
"29","B","2004","3",NA,0,29,19.433,1.20276365616537,16.156956439768,59.9783950617284,0.016672670200175,0.324,0.016672670200175
"30","B","2004","3",NA,0,37,23.236,1.6913991235231,13.7377391751278,58.1481481481481,0.0171974522292994,0.3996,0.0171974522292994
"31","B","2004","4",NA,0,10,7.83922553987432,NA,NA,69.9930851774493,0.0142871256134054,0.112,0.0142871256134054
"32","B","2005","1",NA,0,10,14.1428123761948,NA,NA,67.3467256009276,0.0148485318488331,0.21,0.0148485318488331
"33","B","2005","1",NA,0,11,66.943812146033,1.75538453014738,38.1362664398167,81.7384763687827,0.0122341404492085,0.819,0.0122341404492085
"34","B","2005","1",NA,0,14,32.996,0.829189019745377,39.7930980925582,71.2656587473002,0.0140320038792581,0.463,0.0140320038792581
"35","B","2005","1",NA,0,17,39.518,1.66842622724372,23.6857940463359,68.8227098571926,0.0145300875550382,0.5742,0.0145300875550382
"36","B","2005","1",NA,0,29,62.886,2.17076689255273,28.9694854918525,59.3264150943396,0.0168558979741119,1.06,0.0168558979741119
"37","B","2005","1",NA,0,37,25.994,0.765885927775543,33.9397801386658,65.4101660795169,0.0152881434177118,0.3974,0.0152881434177118
"38","B","2005","2",NA,0,10,37.493622480158,NA,NA,86.1922355865701,0.0116019731150333,0.435,0.0116019731150333
"39","B","2005","2",NA,0,11,70.6067071995706,2.22331002968402,31.7574725327917,79.0668613657005,0.0126475236619649,0.893,0.0126475236619649
"40","B","2005","2",NA,0,14,41.111,1.39451861775886,29.4804239086243,66.6304700162075,0.0150081486706721,0.617,0.0150081486706721
"41","B","2005","2",NA,0,17,36.447,1.26676869774374,28.7716297891763,70.2254335260116,0.0142398551321096,0.519,0.0142398551321096
"42","B","2005","2",NA,0,29,59.853,1.539380400259,38.8812277913437,63.0031578947368,0.0158722202730022,0.95,0.0158722202730022
"43","B","2005","2",NA,0,37,34.285,1.71452909943515,19.9967443021499,56.8479522467252,0.0175907831413154,0.6031,0.0175907831413154
"44","B","2005","3",NA,0,10,62.0930142047919,NA,NA,90.1204850577531,0.0110962562990995,0.689,0.0110962562990995
"45","B","2005","3",NA,0,11,50.8534458213341,1.47411381288067,34.4976387691245,81.4959067649585,0.0122705549235017,0.624,0.0122705549235017
"46","B","2005","3",NA,0,14,35.35,0.682947881720772,51.7609043766726,68.6407766990291,0.0145685997171146,0.515,0.0145685997171146
"47","B","2005","3",NA,0,17,55.495,2.43976576351635,22.7460360456968,63.5535959688502,0.0157347508784575,0.8732,0.0157347508784575
"48","B","2005","3",NA,0,29,37.19,1.82654160375119,20.3608830609839,58.9381933438986,0.0169669265931702,0.631,0.0169669265931702
"49","B","2005","3",NA,0,37,52.334,1.74951858761451,29.9133718101036,56.5406222990493,0.0176863988993771,0.9256,0.0176863988993771
"50","B","2005","4",NA,0,10,20.789467433522,NA,NA,82.8265634801673,0.0120734213515867,0.251,0.0120734213515867
"51","B","2006","1",NA,0,10,10.0026557498962,NA,NA,73.0120857656657,0.0136963625886477,0.137,0.0136963625886477
"52","B","2006","1",NA,0,11,12.2209301993307,0.55417694409324,22.0523973968765,74.0662436323073,0.0135014272488879,0.165,0.0135014272488879
"53","B","2006","1",NA,0,14,NA,0.937416886661546,NA,NA,NA,0.362,NA
"54","B","2006","1",NA,0,17,50.411,2.90283652065549,17.3661174652084,67.9485105809408,0.0147170260459027,0.7419,0.0147170260459027
"55","B","2006","1",NA,0,29,17.479,1.04774078492628,16.6825614230812,65.4644194756554,0.0152754734252532,0.267,0.0152754734252532
"56","B","2006","1",NA,0,37,13.628,1.07054187535741,12.7300017997429,65.9951573849879,0.015152626944526,0.2065,0.015152626944526
"57","B","2006","2",NA,0,10,5.81815697258311,NA,NA,72.7269621572889,0.0137500587173883,0.08,0.0137500587173883
"58","B","2006","2",NA,0,11,29.7815888997726,2.13177187374005,13.9703451699655,91.3545671772166,0.0109463602192994,0.326,0.0109463602192994
"59","B","2006","2",NA,0,14,NA,NA,NA,NA,NA,0.274,NA
"60","B","2006","2",NA,0,17,41.002,1.73197966487814,23.673488108121,69.1083768751053,0.0144700258523974,0.5933,0.0144700258523974
"61","B","2006","2",NA,0,29,20.755,1.25681377602268,16.513981940651,58.7960339943343,0.0170079498915924,0.353,0.0170079498915924
"62","B","2006","2",NA,0,37,5.978,1.12156821228564,5.33003693802756,68.7917146144994,0.0145366343258615,0.0869,0.0145366343258615
"63","B","2006","3",NA,0,10,12.0844030501546,NA,NA,71.505343492039,0.0139849688311942,0.169,0.0139849688311942
"64","B","2006","3",NA,0,11,7.35612947355875,NA,NA,90.8164132538117,0.0110112254401109,0.081,0.0110112254401109
"65","B","2006","3",NA,0,14,NA,NA,NA,NA,NA,0.216,NA
"66","B","2006","3",NA,0,17,15.059,0.878315674865888,17.1453162353039,65.7311217808817,0.015213493591872,0.2291,0.015213493591872
"67","B","2006","3",NA,0,29,21.595,1.4366944991333,15.0310313104333,66.2423312883435,0.0150960870571892,0.326,0.0150960870571892
"68","B","2006","3",NA,0,37,5.568,1.59484914554894,3.49123929090077,60,0.0166666666666667,0.0928,0.0166666666666667
"69","B","2006","4",NA,0,10,5.555604762629,NA,NA,70.3241109193544,0.0142198740506904,0.079,0.0142198740506904
"70","B","2007","1",NA,0,11,22.2655943028196,0.393135959427114,56.6358629092732,94.7472097992324,0.0105544005160572,0.235,0.0105544005160572
"71","B","2007","1",NA,0,14,21.548,0.629123563835441,34.2508232701268,65.8960244648318,0.0151754223129757,0.327,0.0151754223129757
"72","B","2007","1",NA,0,17,29.795,0.998442323957527,29.8414833637075,70.6880189798339,0.0141466689041786,0.4215,0.0141466689041786
"73","B","2007","1",NA,0,29,32.303,1.03417794039211,31.2354370929168,63.091796875,0.0158499210599635,0.512,0.0158499210599635
"74","B","2007","1",NA,0,37,6.725,0.754296396126909,8.91559343850892,67.9979777553084,0.0147063197026022,0.0989,0.0147063197026022
"75","B","2007","2",NA,0,11,20.5012434519279,0.287475362757551,71.314784179325,83.6785447017465,0.0119504946407024,0.245,0.0119504946407024
"76","B","2007","2",NA,0,14,13.072,0.282743338823081,46.232742579939,67.3814432989691,0.0148408812729498,0.194,0.0148408812729498
"77","B","2007","2",NA,0,17,29.003,0.916088417786784,31.6596077811676,73.3510369246333,0.013633072440782,0.3954,0.013633072440782
"78","B","2007","2",NA,0,29,19.703,0.861783043526372,22.8630629808825,66.3400673400673,0.0150738466223418,0.297,0.0150738466223418
"79","B","2007","2",NA,0,37,15.278,0.474778098512279,32.1792434147105,67.8720568636162,0.0147336038748527,0.2251,0.0147336038748527
"80","B","2007","3",NA,0,11,11.8720274847695,NA,NA,89.2633645471391,0.0112028042531593,0.133,0.0112028042531593
"81","B","2007","3",NA,0,14,36.239,1.41552801862974,25.6010474699611,67.1092592592592,0.0149010734291785,0.54,0.0149010734291785
"82","B","2007","3",NA,0,17,16.573,0.608212337734984,27.2487073539461,78.9190476190476,0.012671212212635,0.21,0.012671212212635
"83","B","2007","3",NA,0,29,17.857,1.02518513142121,17.4183173874605,64.9345454545454,0.0154001232009856,0.275,0.0154001232009856
"84","B","2007","3",NA,0,37,9.234,0.941712032867625,9.80554530229519,3.96768787865767,0.0252035954082738,2.3273,0.252035954082738
"85","B","2008","1",NA,0,11,13.3271501772707,NA,NA,77.0355501576341,0.0129810197753342,0.173,0.0129810197753342
"86","B","2008","1",NA,0,14,26.426,0.544325105881123,48.5481924579302,68.8177083333333,0.0145311435707258,0.384,0.0145311435707258
"87","B","2008","2",NA,0,11,23.5398476951302,NA,NA,80.8929474059457,0.0123620171111048,0.291,0.0123620171111048
"88","B","2008","2",NA,0,14,30.991,0.742795221771658,41.7221316072587,64.5645833333333,0.0154883675905908,0.48,0.0154883675905908
"89","B","2008","3",NA,0,11,26.7464853527031,NA,NA,84.3737708287164,0.0118520245116229,0.317,0.0118520245116229
"90","B","2008","3",NA,0,14,24.088,0.502654824574367,47.9215533649697,67.4733893557423,0.0148206575888409,0.357,0.0148206575888409
"91","B","2009","1",NA,0,13,20.239,0.587654540808056,34.4403022431688,103.789743589744,0.00963486338257819,0.195,0.00963486338257819
"92","B","2009","1",NA,0,13,19.8804533377253,0.587654540808056,33.8301705460978,101.951042757566,0.00980862944558545,0.195,0.00980862944558545
"93","B","2009","1",NA,0,17,35.268,1.39975624176102,25.1958154911528,64.4753199268739,0.0155098105931723,0.547,0.0155098105931723
"94","B","2009","1",NA,0,21,26.321,1.02070345315132,25.7871176184782,72.5096418732782,0.0137912693286729,0.363,0.0137912693286729
"95","B","2009","1",NA,0,29,15.585,0.950331777710913,16.3995357890062,60.6420233463035,0.0164902149502727,0.257,0.0164902149502727
"96","L","2009","1",NA,0,37,25.006,1.32732289614169,18.8394248849985,75.8217101273499,0.0131888346796769,0.3298,0.0131888346796769
"97",NA,"2009","1","1",1,37,7.641,NA,NA,NA,NA,NA,NA
"98","B","2009","2",NA,0,13,26.665,0.531326766276895,50.1856892827865,98.3948339483395,0.0101631351959497,0.271,0.0101631351959497
"99","B","2009","2",NA,0,13,24.3251705275707,0.531326766276895,45.781940740576,89.7607768545044,0.0111407235436579,0.271,0.0111407235436579
"100","B","2009","2",NA,0,17,32.056,0.980810135189255,32.6831859193773,68.2042553191489,0.0146618417768904,0.47,0.0146618417768904
"101","B","2009","2",NA,0,21,21.758,0.95465637634812,22.7914467855247,73.2592592592593,0.0136501516683519,0.297,0.0136501516683519
"102","B","2009","2",NA,0,29,25.335,1.21738678822013,20.8109700591057,61.0481927710843,0.0163805012828103,0.415,0.0163805012828103
"103","B","2009","3",NA,0,13,23.959,0.882473376393373,27.1498275652454,96.2208835341365,0.0103927542885763,0.249,0.0103927542885763
"104","B","2009","3",NA,0,13,23.9716002181658,0.882473376393373,27.1641058636087,96.271486819943,0.0103872915338921,0.249,0.0103872915338921
"105","B","2009","3",NA,0,17,24.25,1.24195502451891,19.5256668085816,64.1534391534392,0.0155876288659794,0.378,0.0155876288659794
"106","B","2009","3",NA,0,21,13.715,1.27176088481984,10.7842599687621,70.3333333333333,0.014218009478673,0.195,0.014218009478673
"107","B","2009","3",NA,0,29,23.4,1.47949869903846,15.816168013671,60.3092783505155,0.0165811965811966,0.388,0.0165811965811966
"108","B","2009","4",NA,0,13,32.3207604947066,1.24689812420979,25.9209312029318,96.7687439961275,0.0103339152571828,0.334,0.0103339152571828
"109","B","2009","4",NA,0,13,33.638,1.24689812420979,26.9773442969271,100.712574850299,0.00992924668529639,0.334,0.00992924668529639
"110","B","2009","5",NA,0,13,22.994,1.50113641844006,15.3177284339652,137.688622754491,0.00726276419935635,0.167,0.00726276419935635
"111","B","2009","5",NA,0,13,17.1860842142407,1.50113641844006,11.4487157883359,102.910683917609,0.00971716406821868,0.167,0.00971716406821868
"112","B","2009","6",NA,0,13,17.116,0.438846132536846,39.0022805967487,176.453608247423,0.00566721196541248,0.097,0.00566721196541248
"113","B","2009","6",NA,0,13,14.6889209728994,0.438846132536846,33.4716883295448,151.432174978344,0.00660361643846828,0.097,0.00660361643846828
"114","L","2009","7",NA,0,37,30.664,0.793271779985507,38.6551000220381,77.6303797468354,0.0128815549178189,0.395,0.0128815549178189
"115","B","2010","1",NA,0,17,32.976,1.60045001620167,20.6042048587444,71.3766233766234,0.0140101892285298,0.462,0.0140101892285298
"116","B","2010","1",NA,0,21,31.499,2.35741676608413,13.3616594457002,69.2285714285714,0.0144449030127941,0.455,0.0144449030127941
"117","B","2010","1",NA,0,29,41.416,1.59484914554894,25.9686003002777,61.5393759286776,0.0162497585474213,0.673,0.0162497585474213
"118","B","2010","1",NA,0,37,18.253,2.25646855839495,8.08918871574418,71.749213836478,0.0139374349422013,0.2544,0.0139374349422013
"119","B","2010","2",NA,0,17,26.048,1.33243289294229,19.5492021684338,72.1551246537396,0.0138590294840295,0.361,0.0138590294840295
"120","B","2010","2",NA,0,21,47.289,2.92552961883916,16.1642526862415,65.3162983425414,0.0153101144029267,0.724,0.0153101144029267
"121","B","2010","2",NA,0,29,32.972,1.99807256263719,16.5019031923852,56.0748299319728,0.0178333131141575,0.588,0.0178333131141575
