mod,var,df,AIC,R2m,R2c
space,cwc,11.32658557062636,280.05346586452396,0.02055322499503114,0.8517282961700308
space,lwc,5.392349982282701,498.6669971995868,0.11557784511603822,0.8409955048592523
space,lwa,10.86436135988714,329.4991944452854,0.0024304136560221,0.900402310088606
time,cwc,7.717580813701109,241.87593373458407,0.24509391070935185,0.7961200785296717
time,lwc,7.717580813701109,347.58716516206636,0.49510697211240184,0.8671464028822661
time,lwa,7.717580813701109,247.4237410578022,0.5040516286027854,0.8690896269403419
hyd,lwc,7.717580813701109,1363.0764086790118,0.3570981577709775,0.8090462298372075
