"","tree","plot","site","species","week","time","mpa_mean","date_wp","lwc_mean_combined","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc","swc_dw_g_y0","swc_ww_g_y0","date_lfm","type","X.x","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","X.y","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","X","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent_y0"
"20",2004,"High","Cucu Mesa","blue oak",21,"pd",1.81766666666667,2022-05-25,0.795422935895815,NA,NA,NA,NA,NA,"2022-05-25","leaf",1246,NA,3.23,0.77990852482504,1.8147,77.990852482504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2004,"High","Cucu Mesa","blue oak",21,"md",2.6858,2022-05-25,0.709677419354839,NA,NA,NA,NA,NA,"2022-05-25","leaf",1208,NA,1.9078,0.788674292143259,1.0666,78.8674292143259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2004,"High","Cucu Mesa","blue oak",10,"md",1.65333333333333,2022-03-08,1.78337099060783,NA,NA,NA,NA,NA,"2022-03-08","leaf",116,NA,8.5289,1.81342569684974,3.0315,181.342569684974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2004,"High","Cucu Mesa","blue oak",29,"pd",2.138,2022-07-19,0.57945945945946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2004,"High","Cucu Mesa","blue oak",33,"pd",2.138,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2005,"High","Cucu Mesa","blue oak",14,"pd",0.4295,2022-04-04,1.03670053795577,NA,NA,NA,NA,NA,"2022-04-04","leaf",463,NA,7.1653,1.31804212092783,3.0911,131.804212092783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2005,"High","Cucu Mesa","blue oak",15,"md",1.61666666666667,2022-04-13,0.920980879746515,1.10154433742943,1.3267,"2022-04-14",2.5311,2.5311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.6081534308207
"27",2005,"High","Cucu Mesa","blue oak",17,"md",2.733,2022-04-27,0.915650406504065,NA,NA,NA,NA,NA,"2022-04-27","leaf",815,NA,2.25,0.72149961744453,1.307,72.149961744453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2005,"High","Cucu Mesa","blue oak",17,"pd",0.917666666666667,2022-04-27,1.00491883915396,NA,NA,NA,NA,NA,"2022-04-27","leaf",849,NA,8.7716,1.01789781223401,4.3469,101.789781223401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2005,"High","Cucu Mesa","blue oak",19,"md",2.49,2022-05-09,NA,0.852600160170121,0.4218,"2022-05-09",1.0888,1.0888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2005,"High","Cucu Mesa","blue oak",17,"md",2.733,2022-04-27,0.915650406504065,NA,NA,NA,NA,NA,"2022-04-27","leaf",783,"check, were switched around",8.86,0.846602751146311,4.798,84.6602751146311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2005,"High","Cucu Mesa","blue oak",19,"md",2.49,2022-05-09,NA,0.852600160170121,0.4218,"2022-05-09",0.8216,0.8216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2005,"High","Cucu Mesa","blue oak",14,"md",2.13333333333333,2022-04-04,0.8526937359215,NA,NA,NA,NA,NA,"2022-04-04","leaf",426,NA,3.5555,1.08362634786685,1.7064,108.362634786685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2005,"High","Cucu Mesa","blue oak",21,"md",3,2022-05-25,0.755717255717256,NA,NA,NA,NA,NA,"2022-05-25","leaf",1171,NA,4.6959,1.06703935205564,2.2718,106.703935205564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2005,"High","Cucu Mesa","blue oak",19,"md",2.49,2022-05-09,NA,0.852600160170121,0.4218,"2022-05-09",0.853,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2005,"High","Cucu Mesa","blue oak",10,"pd",1.045,2022-03-08,2.06130156027669,NA,NA,NA,NA,NA,"2022-03-08","leaf",101,NA,8.8478,2.16456239493544,2.7959,216.456239493544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2005,"High","Cucu Mesa","blue oak",29,"md",4.33333333333333,2022-07-19,0.634094616639478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2005,"High","Cucu Mesa","blue oak",33,"md",4.33333333333333,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2005,"High","Cucu Mesa","blue oak",10,"md",1.46666666666667,2022-03-08,1.62323826973427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2005,"High","Cucu Mesa","blue oak",21,"pd",1.72933333333333,2022-05-25,0.896278003175163,NA,NA,NA,NA,NA,"2022-05-25","leaf",1242,NA,5.11,0.85743884264476,2.7511,85.743884264476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2005,"High","Cucu Mesa","blue oak",21,"md",3,2022-05-25,0.755717255717256,NA,NA,NA,NA,NA,"2022-05-23","leaf",1086,NA,2.01,0.749499521281225,1.1489,74.9499521281225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2006,"High","Cucu Mesa","blue oak",10,"md",1.40666666666667,2022-03-08,1.68979659386345,NA,NA,NA,NA,NA,"2022-03-08","leaf",119,NA,8.4658,1.60109994776784,3.2547,160.109994776784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2006,"High","Cucu Mesa","blue oak",10,"pd",0.9475,2022-03-08,2.05004467984377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2006,"High","Cucu Mesa","blue oak",14,"md",2.13333333333333,2022-04-04,0.818537386246364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2006,"High","Cucu Mesa","blue oak",14,"pd",0.540666666666667,2022-04-04,0.956377604714797,NA,NA,NA,NA,NA,"2022-04-04","leaf",268,NA,9.2222,1.06285509774974,4.4706,106.285509774974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2006,"High","Cucu Mesa","blue oak",15,"md",1.727,2022-04-13,0.817053291275715,NA,NA,NA,NA,NA,"2022-04-12","leaf",531,NA,4.8886,1.01309504200297,2.4284,101.309504200297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2006,"High","Cucu Mesa","blue oak",17,"md",2.717,2022-04-27,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",768,NA,6.339,0.793058580601364,3.5353,79.3058580601364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2006,"High","Cucu Mesa","blue oak",17,"pd",0.991333333333333,2022-04-27,0.93878954607978,NA,NA,NA,NA,NA,"2022-04-27","leaf",875,NA,4.6406,1.15962397617275,2.1488,115.962397617275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2006,"High","Cucu Mesa","blue oak",19,"md",2.36066666666667,2022-05-09,NA,1.02403614991339,0.550833333333333,"2022-05-09",1.2379,1.2379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2006,"High","Cucu Mesa","blue oak",19,"md",2.36066666666667,2022-05-09,NA,1.02403614991339,0.550833333333333,"2022-05-09",1.2377,1.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
