"","tree","site","plot","species","week","date_md","md_sd_mpa","md_mpa","date_pd","pd_sd_mpa","pd_mpa","longitude","latitude","name","description","species_2","e_drop","lat_utm","lon_utm"
"1","2009","LL","Hobbiton","blue oak",15,"2022-04-13",0.198517001790779,2.088,"2022-04-11",0.0644541180479055,1.32666666666667,-120.046920589542,34.6918005547079,"B2009","Sapflow probe 3 (?)
Previously SapflowNew1 or SapNew1 or New Sapflow 1","B",0.761333333333333,-369401.943417464,-4296.75808856466
"2","2009","LL","Hobbiton","blue oak",29,"2022-07-19",0.0577350269189626,3.93333333333333,NA,NA,NA,-120.046920589542,34.6918005547079,"B2009","Sapflow probe 3 (?)
Previously SapflowNew1 or SapNew1 or New Sapflow 1","B",NA,-369401.943417464,-4296.75808856466
"3","2010","LL","Weathertop","blue oak",15,"2022-04-13",0.0919238815542511,2.616,"2022-04-11",0.112828409542987,1.34525,-120.048047506639,34.690021270183,"B2010","previously New Saplfow 2 or SapNew2","B",1.27075,-369599.392806721,-4400.05572603249
"4","2010","LL","Weathertop","blue oak",29,"2022-07-19",0.642910050732864,3.73333333333333,"2022-07-19",0.0577350269189626,3.43333333333333,-120.048047506639,34.690021270183,"B2010","previously New Saplfow 2 or SapNew2","B",0.3,-369599.392806721,-4400.05572603249
"5","2011","LL","Weathertop","blue oak",15,"2022-04-13",0.148964201516114,1.78133333333333,"2022-04-11",0.173205080756888,1.5,-120.047518820103,34.6898336059174,"B2011","","B",0.281333333333333,-369620.247974619,-4351.65054240702
"6","2011","LL","Weathertop","blue oak",29,"2022-07-19",0.298607881119482,4.875,"2022-07-19",0.0577350269189629,4.13333333333333,-120.047518820103,34.6898336059174,"B2011","","B",0.741666666666667,-369620.247974619,-4351.65054240702
"7","2301","LL","Hobbiton","live oak",15,"2022-04-13",0.183192749128707,1.62425,"2022-04-11",0.0128582010146572,1.37466666666667,-120.04640902641,34.6910339983901,"L2301","","L",0.249583333333333,-369487.054479314,-4249.95329370559
"8","2301","LL","Hobbiton","live oak",29,"2022-07-19",0.125830573921179,4.38333333333333,"2022-07-19",0.0321455025366432,2.11333333333333,-120.04640902641,34.6910339983901,"L2301","","L",2.27,-369487.054479314,-4249.95329370559
"9","2331","LL","Ridge","live oak",15,"2022-04-13",0.977940540114786,3.0458,"2022-04-11",0.160979294734861,1.30333333333333,-120.046170409824,34.6909633885311,"L2331","","L",1.74246666666667,-369494.902862818,-4228.10555831521
"10","2331","LL","Ridge","live oak",29,"2022-07-19",0.152752523165195,3.63333333333333,"2022-07-19",0.609125055578354,3.19666666666667,-120.046170409824,34.6909633885311,"L2331","","L",0.436666666666667,-369494.902862818,-4228.10555831521
"11","2343","LL","Hobbiton","blue oak",15,"2022-04-13",0.114268689208082,1.88633333333333,"2022-04-11",0.173205080756888,1.5,-120.046836107381,34.6915075565108,"B2343","Sapflow probe 4","B",0.386333333333333,-369434.470146291,-4289.03769266995
"12","2343","LL","Hobbiton","blue oak",29,"2022-07-19",0.0957427107756337,3.175,"2022-07-19",0.217944947177034,3.15,-120.046836107381,34.6915075565108,"B2343","Sapflow probe 4","B",0.0249999999999999,-369434.470146291,-4289.03769266995
"13","2345","LL","Hobbiton","live oak",15,"2022-04-13",0.28672794887605,2.46625,"2022-04-11",0.0577350269189626,0.533333333333333,-120.046605582862,34.6916462021151,"L2345","","L",1.93291666666667,-369419.090839276,-4267.91974219402
"14","2345","LL","Hobbiton","live oak",29,"2022-07-19",0.264575131106459,3.45,"2022-07-19",0.125830573921179,1.11666666666667,-120.046605582862,34.6916462021151,"L2345","","L",2.33333333333333,-369419.090839276,-4267.91974219402
"15","2346","LL","Hobbiton","blue oak",15,"2022-04-13",0.113231326642998,1.98133333333333,"2022-04-11",0.147192334492437,1.77575,-120.046819222663,34.6916913716066,"B2346","sapflow probe 2","B",0.205583333333333,-369414.067370378,-4287.48139125289
"16","2346","LL","Hobbiton","blue oak",29,"2022-07-19",0.14142135623731,4.7,"2022-07-19",0.2,3.8,-120.046819222663,34.6916913716066,"B2346","sapflow probe 2","B",0.899999999999999,-369414.067370378,-4287.48139125289
"17","2347","LL","Hobbiton","blue oak",15,"2022-04-13",0.149522573546605,1.559,"2022-04-11",0.173205080756888,1.6,-120.046757645207,34.6917281112039,"B2347","sapflow probe 1","B",-0.0410000000000001,-369409.992044727,-4281.84041036946
"18","2347","LL","Hobbiton","blue oak",29,"2022-07-19",0.294392028877595,4.2,"2022-07-19",0.23629078131263,3.375,-120.046757645207,34.6917281112039,"B2347","sapflow probe 1","B",0.825,-369409.992044727,-4281.84041036946
"19","2352","LL","MiddleEarth","live oak",15,"2022-04-13",0.660141588348035,2.82125,"2022-04-11",0.443099085984162,1.4284,-120.047688056843,34.6905351492581,"L2352","","L",1.39285,-369542.368739948,-4367.109634859
"20","2352","LL","MiddleEarth","live oak",29,"2022-07-19",0.1,5.6,"2022-07-19",0.240606871611487,2.5425,-120.047688056843,34.6905351492581,"L2352","","L",3.0575,-369542.368739948,-4367.109634859
"21","2354","LL","MiddleEarth","live oak",15,"2022-04-13",0.209834061423148,1.63733333333333,"2022-04-11",0.560204605479105,1.5902,-120.047607340709,34.6906142262884,"L2354","","L",0.0471333333333332,-369533.594885225,-4359.71351957474
"22","2354","LL","MiddleEarth","live oak",29,"2022-07-19",0.637704215656966,4.1,"2022-07-19",0.0577350269189626,2.63333333333333,-120.047607340709,34.6906142262884,"L2354","","L",1.46666666666667,-369533.594885225,-4359.71351957474
"23","2360","LL","MiddleEarth","blue oak",15,"2022-04-13",0.218542711309864,2.52025,"2022-04-11",0.0577350269189625,1.36666666666667,-120.047308630924,34.6904659908019,"B2360","Sapflow probe 4
Logger ED02","B",1.15358333333333,-369550.0627526,-4332.36693644934
"24","2360","LL","MiddleEarth","blue oak",29,"2022-07-19",0.0577350269189624,4.56666666666667,"2022-07-19",0.321455025366432,3.83333333333333,-120.047308630924,34.6904659908019,"B2360","Sapflow probe 4
Logger ED02","B",0.733333333333333,-369550.0627526,-4332.36693644934
"25","2365","LL","MiddleEarth","blue oak",15,"2022-04-13",0.327934546314759,1.80033333333333,"2022-04-11",0,1.4,-120.047265106008,34.6904582153947,"B2365","Sapflow Probe 3?","B",0.400333333333333,-369550.927812596,-4328.38150013084
"26","2365","LL","MiddleEarth","blue oak",29,"2022-07-19",0.288675134594813,3.93333333333333,"2022-07-19",0.1,3.9,-120.047265106008,34.6904582153947,"B2365","Sapflow Probe 3?","B",0.0333333333333332,-369550.927812596,-4328.38150013084
"27","2367","LL","MiddleEarth","blue oak",15,"2022-04-13",0.438408770441468,2.07175,"2022-04-11",0.270801280154532,1.2,-120.047217672111,34.6904425353276,"B2367","Sapflow probe 2?","B",0.87175,-369552.670468112,-4324.03852849125
"28","2367","LL","MiddleEarth","blue oak",29,"2022-07-19",0.104083299973307,3.88333333333333,"2022-07-19",0.115470053837925,3.26666666666667,-120.047217672111,34.6904425353276,"B2367","Sapflow probe 2?","B",0.616666666666667,-369552.670468112,-4324.03852849125
"29","2369","LL","MiddleEarth","blue oak",15,"2022-04-13",0.223571576905473,2.66675,"2022-04-11",0.152752523165195,1.46666666666667,-120.04721414717,34.6904701766938,"B2369","Sapflow probe 1?","B",1.20008333333333,-369549.602430844,-4323.71419811224
"30","2370","LL","Hobbiton","blue oak",15,"2022-04-13",0.0776745346515404,1.40433333333333,"2022-04-11",0.0240416305603426,1.433,-120.046224454953,34.6916821361229,"B2370","","B",-0.0286666666666664,-369415.119238427,-4233.01590166404
"31","2370","LL","Hobbiton","blue oak",29,"2022-07-19",0.30550504633039,4.43333333333333,"2022-07-19",0.208166599946613,3.53333333333333,-120.046224454953,34.6916821361229,"B2370","","B",0.9,-369415.119238427,-4233.01590166404
"32","2371","LL","Hobbiton","blue oak",15,"2022-04-13",0.127526467840994,1.413,"2022-04-11",0.125047990787537,1.002,-120.046108389464,34.6915529718917,"B2371","","B",0.411,-369429.461688934,-4222.39414929639
"33","2371","LL","Hobbiton","blue oak",29,"2022-07-19",0.0866025403784438,3.45,"2022-07-19",0.115470053837925,3.13333333333333,-120.046108389464,34.6915529718917,"B2371","","B",0.316666666666666,-369429.461688934,-4222.39414929639
"34","2372","LL","Hobbiton","blue oak",29,"2022-07-19",0.258843582110896,3.92,"2022-07-19",0.115470053837925,2.76666666666667,-120.046098962622,34.6914375954751,"B2372","","B",1.15333333333333,-369442.268929953,-4221.53710963938
"35","2374","LL","Ridge","blue oak",15,"2022-04-13",0.0360624458405139,1.6905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2375","LL","Hobbiton","blue oak",15,"2022-04-13",0.148969795596289,1.929,"2022-04-11",0.152752523165195,1.33333333333333,-120.046658622116,34.6918532119107,"B2375","","B",0.595666666666667,-369396.110287708,-4272.76551847393
"37","2375","LL","Hobbiton","blue oak",29,"2022-07-19",0.0999999999999996,4.5,"2022-07-19",0.0115470053837925,2.18666666666667,-120.046658622116,34.6918532119107,"B2375","","B",2.31333333333333,-369396.110287708,-4272.76551847393
"38","2376","LL","MiddleEarth","live oak",15,"2022-04-13",0.130416001063264,1.55933333333333,"2022-04-11",0.130235683794163,0.828333333333333,-120.046978867477,34.6905500755393,"L2376","","L",0.731,-369540.744343229,-4302.16367535388
"39","2376","LL","MiddleEarth","live oak",29,"2022-07-19",0.173205080756888,5,"2022-07-19",0.1802775637732,2.05,-120.046978867477,34.6905500755393,"L2376","","L",2.95,-369540.744343229,-4302.16367535388
"40","2377","LL","Rohan","live oak",15,"2022-04-13",0.208183650609149,1.90322857142857,"2022-04-11",0.35939764421413,0.825,-120.04776091098,34.6908125983886,"L2377","","L",1.07822857142857,-369511.568457941,-4373.76585342344
"41","2378","LL","Rohan","blue oak",15,"2022-04-13",0.0424264068711929,1.621,"2022-04-11",0.026229754097208,1.305,-120.047983347193,34.6906712944872,"B2378","","B",0.316,-369527.242942213,-4394.14366752099
"42","2378","LL","Rohan","blue oak",29,"2022-07-19",0.0478713553878167,3.7375,"2022-07-19",0.23783747952471,2.005,-120.047983347193,34.6906712944872,"B2378","","B",1.7325,-369527.242942213,-4394.14366752099
"43","2379","LL","Rohan","blue oak",15,"2022-04-13",0.479195680281031,2.443,"2022-04-11",0.0597745765355138,1.179,-120.04803309146,34.6907882976132,"B2379","","B",1.264,-369514.253258285,-4398.69248972141
"44","2379","LL","Rohan","blue oak",29,"2022-07-19",0.0577350269189629,4.63333333333333,"2022-07-19",0.115470053837925,4.06666666666667,-120.04803309146,34.6907882976132,"B2379","","B",0.566666666666666,-369514.253258285,-4398.69248972141
