"","tree","week","date_lfm","time","type_lfm","plot","site","species","mpa_mean","lfm_percent","ilfm"
"1","1478",14,2022-04-04,"md","leaf","Low","Cucu Mesa","blue oak",NA,173.412347426145,0.576660206059371
"2","1478",14,2022-04-04,"pd","leaf","Low","Cucu Mesa","blue oak",0.5714,175.311648402621,0.570412753009657
"3","1478",21,2022-05-25,"md","leaf","Low","Cucu Mesa","blue oak",NA,72.9859719438878,1.37012630422845
"4","1478",21,2022-05-25,"pd","leaf","Low","Cucu Mesa","blue oak",NA,73.1793960923624,1.36650485436893
"5","1478",37,2022-09-16,"md","leaf","Low","Cucu Mesa","blue oak",4.073,67.7816816672282,1.47532485975999
"6","1478",37,2022-09-16,"pd","leaf","Low","Cucu Mesa","blue oak",1.695,71.3964856652134,1.40062916358253
"7","2004",10,2022-03-08,"md","leaf","High","Cucu Mesa","blue oak",1.65333333333333,175.405358241543,0.570108011536881
"8","2004",10,2022-03-08,"pd","leaf","High","Cucu Mesa","blue oak",0.3335,229.321081409478,0.436069808259098
"9","2004",14,2022-04-04,"pd","leaf","High","Cucu Mesa","blue oak",0.38925,118.124654304096,0.84656332405057
"10","2004",15,2022-04-12,"md","leaf","High","Cucu Mesa","blue oak",2.2,99.4408431886783,1.00562300955414
"11","2004",17,2022-04-27,"md","leaf","High","Cucu Mesa","blue oak",2.62066666666667,80.8619901035386,1.23667498007354
"12","2004",17,2022-04-27,"pd","leaf","High","Cucu Mesa","blue oak",0.9345,81.010180109632,1.23441275978734
"13","2004",21,2022-05-25,"md","leaf","High","Cucu Mesa","blue oak",NA,78.8674292143259,1.26795054683785
"14","2004",21,2022-05-25,"pd","leaf","High","Cucu Mesa","blue oak",NA,77.990852482504,1.28220165335971
"15","2004",37,2022-09-15,"md","leaf","High","Cucu Mesa","blue oak",3.59033333333333,60.3137458831687,1.65799683862624
"16","2004",37,2022-09-12,"pd","leaf","High","Cucu Mesa","blue oak",1.6205,66.02656425028,1.51454192922928
"17","2005",10,2022-03-08,"pd","leaf","High","Cucu Mesa","blue oak",1.045,216.456239493544,0.461987144533122
"18","2005",14,2022-04-04,"md","leaf","High","Cucu Mesa","blue oak",2.125,108.362634786685,0.922827321399603
"19","2005",14,2022-04-04,"pd","leaf","High","Cucu Mesa","blue oak",0.4295,131.804212092783,0.758701094693434
"20","2005",17,2022-04-27,"md","leaf","High","Cucu Mesa","blue oak",2.733,78.4051184295421,1.27542693644247
"21","2005",17,2022-04-27,"pd","leaf","High","Cucu Mesa","blue oak",0.917666666666667,101.789781223401,0.982416887020585
"22","2005",21,2022-05-23,"md","leaf","High","Cucu Mesa","blue oak",NA,74.9499521281225,1.33422366740216
"23","2005",21,2022-05-25,"md","leaf","High","Cucu Mesa","blue oak",NA,106.703935205564,0.937172558887833
"24","2005",21,2022-05-25,"pd","leaf","High","Cucu Mesa","blue oak",NA,85.743884264476,1.16626393658061
"25","2005",29,2022-07-19,"md","leaf","High","Cucu Mesa","blue oak",4.3,64.0625,1.5609756097561
"26","2005",29,2022-07-19,"pd","leaf","High","Cucu Mesa","blue oak",NA,67.5611413043478,1.48014077425842
"27","2005",37,2022-09-15,"md","leaf","High","Cucu Mesa","blue oak",3.5775,63.1027638929727,1.58471664045664
"28","2005",37,2022-09-12,"pd","leaf","High","Cucu Mesa","blue oak",1.687,88.5314583409232,1.12954199415662
"29","2005",37,2022-09-16,"pd","leaf","High","Cucu Mesa","blue oak",1.687,71.4519618735746,1.39954169735658
"30","2006",10,2022-03-08,"md","leaf","High","Cucu Mesa","blue oak",1.40666666666667,160.109994776784,0.624570628082364
"31","2006",14,2022-04-04,"pd","leaf","High","Cucu Mesa","blue oak",0.540666666666667,106.285509774974,0.940862025423018
"32","2006",15,2022-04-12,"md","leaf","High","Cucu Mesa","blue oak",1.727,101.309504200297,0.987074221607994
"33","2006",17,2022-04-27,"md","leaf","High","Cucu Mesa","blue oak",2.717,79.3058580601364,1.26094089952563
"34","2006",17,2022-04-27,"pd","leaf","High","Cucu Mesa","blue oak",0.991333333333333,115.962397617275,0.862348503090134
"35","2006",21,2022-05-25,"md","leaf","High","Cucu Mesa","blue oak",NA,87.3489630297566,1.14483328171777
"36","2006",21,2022-05-25,"pd","leaf","High","Cucu Mesa","blue oak",NA,84.0819730727987,1.18931557318974
"37","2006",29,2022-07-19,"md","leaf","High","Cucu Mesa","blue oak",4.46666666666667,63.816054860831,1.56700379266751
"38","2006",37,2022-09-15,"md","leaf","High","Cucu Mesa","blue oak",2.566,58.031939877877,1.7231889923108
"39","2006",37,2022-09-12,"pd","leaf","High","Cucu Mesa","blue oak",1.90766666666667,89.9223724169206,1.11207030366542
"40","2006",37,2022-09-16,"pd","leaf","High","Cucu Mesa","blue oak",1.90766666666667,85.4016006171054,1.17093824093937
"41","2007",10,2022-03-08,"md","leaf","High","Cucu Mesa","blue oak",NA,135.32197656088,0.738978269024995
"42","2007",10,2022-03-08,"pd","leaf","High","Cucu Mesa","blue oak",NA,181.348536615486,0.551424355918738
"43","2007",14,2022-04-04,"md","leaf","High","Cucu Mesa","blue oak",2.1,93.7573356807512,1.06658320945153
"44","2007",14,2022-04-04,"pd","leaf","High","Cucu Mesa","blue oak",0.36675,94.5303620018599,1.05786117689925
"45","2007",17,2022-04-27,"md","leaf","High","Cucu Mesa","blue oak",2.42633333333333,78.9125471742068,1.26722560075574
"46","2007",17,2022-04-27,"pd","leaf","High","Cucu Mesa","blue oak",0.989,86.0114404576183,1.16263603385732
"47","2007",21,2022-05-25,"md","leaf","High","Cucu Mesa","blue oak",NA,82.8391226583827,1.20715909090909
"48","2007",21,2022-05-25,"pd","leaf","High","Cucu Mesa","blue oak",NA,87.8685762426285,1.13806327900288
"49","2007",37,2022-09-16,"md","leaf","High","Cucu Mesa","blue oak",3.4215,58.3933213357328,1.71252461261878
"50","2007",37,2022-09-15,"md","leaf","High","Cucu Mesa","blue oak",3.4215,50.1430292080699,1.99429515087824
"51","2007",37,2022-09-12,"pd","leaf","High","Cucu Mesa","blue oak",1.29416666666667,72.8373702422145,1.3729216152019
"52","2007",37,2022-09-16,"pd","leaf","High","Cucu Mesa","blue oak",1.29416666666667,70.3349796006012,1.42176766905816
"53","2008",14,2022-04-04,"md","leaf","High","Cucu Mesa","blue oak",1.88333333333333,103.546052631579,0.965753859838617
"54","2008",14,2022-04-04,"pd","leaf","High","Cucu Mesa","blue oak",0.6765,127.854226284008,0.782140746586398
"55","2008",21,2022-05-25,"md","leaf","High","Cucu Mesa","blue oak",NA,70.1880437833286,1.4247440818938
"56","2008",21,2022-05-25,"pd","leaf","High","Cucu Mesa","blue oak",NA,80.1554012239566,1.24757656343828
"57","2009",13,2022-03-30,"pd","leaf","Hobbiton","LL","blue oak",NA,152.939657954179,0.653852645792893
"58","2009",14,2022-04-04,"pd","leaf","Hobbiton","LL","blue oak",1.12333333333333,104.901616303584,0.953274158432423
"59","2009",17,2022-04-25,"md","leaf","Hobbiton","LL","blue oak",3.03333333333333,91.171686578047,1.09683174407874
"60","2009",17,2022-04-25,"pd","leaf","Hobbiton","LL","blue oak",1.276,116.770968080271,0.856377245508984
"61","2009",21,2022-05-23,"md","leaf","Hobbiton","LL","blue oak",3.276,61.4859437751004,1.6263879817113
"62","2009",29,2022-07-19,"md","leaf","Hobbiton","LL","blue oak",3.95,60.2637614678899,1.65937202664129
"63","2009",29,2022-07-19,"pd","leaf","Hobbiton","LL","blue oak",NA,59.9818511796733,1.66717095310136
"64","2009",33,2022-08-18,"md","leaf","Hobbiton","LL","blue oak",4.0635,60.2371633857118,1.66010473235066
"65","2009",33,2022-08-18,"pd","leaf","Hobbiton","LL","blue oak",2.851,55.0387596899225,1.8169014084507
"66","2009",37,2022-09-15,"md","leaf","Hobbiton","LL","blue oak",NA,49.7013034033309,2.01201966854853
"67","2009",37,2022-09-12,"pd","leaf","Hobbiton","LL","blue oak",1.60833333333333,86.4146598867888,1.15721105806595
"68","2009",37,2022-09-16,"pd","leaf","Hobbiton","LL","blue oak",1.60833333333333,60.3912409518072,1.65586926885309
"69","2010",13,2022-03-30,"pd","leaf","Weathertop","LL","blue oak",NA,142.831938289841,0.700123524173393
"70","2010",17,2022-04-25,"md","leaf","Weathertop","LL","blue oak",2.62666666666667,128.309768637532,0.779363886801904
"71","2010",17,2022-04-25,"pd","leaf","Weathertop","LL","blue oak",1.171,98.0646617389832,1.01973532796318
"72","2010",21,2022-05-23,"md","leaf","Weathertop","LL","blue oak",3.56833333333333,89.495026778883,1.11738052492092
"73","2010",29,2022-07-19,"pd","leaf","Weathertop","LL","blue oak",3.45,66.7702936096719,1.49767201241593
"74","2010",33,2022-08-18,"md","leaf","Weathertop","LL","blue oak",4.2655,64.3712330998534,1.55348896058708
"75","2010",37,2022-09-15,"md","leaf","Weathertop","LL","blue oak",NA,52.1442495126706,1.91775700934579
"76","2010",37,2022-09-12,"pd","leaf","Weathertop","LL","blue oak",1.91666666666667,57.6066997980911,1.73590919720268
"77","2011",14,2022-04-04,"pd","leaf","Weathertop","LL","blue oak",NA,142.023782813552,0.704107424960504
"78","2011",17,2022-04-25,"md","leaf","Weathertop","LL","blue oak",1.695,93.6826783114993,1.06743318831572
"79","2011",17,2022-04-25,"pd","leaf","Weathertop","LL","blue oak",1.253,99.1880547718984,1.0081859174471
"80","2011",21,2022-05-23,"md","leaf","Weathertop","LL","blue oak",2.22,71.8262886971652,1.39224790552135
"81","2011",29,2022-07-19,"md","leaf","Weathertop","LL","blue oak",4.875,56.6019417475728,1.76672384219554
"82","2011",29,2022-07-19,"pd","leaf","Weathertop","LL","blue oak",4.15,64.5306122448979,1.54965211891208
"83","2011",33,2022-08-18,"md","leaf","Weathertop","LL","blue oak",4.2785,59.3693460842595,1.68437091858946
"84","2011",33,2022-08-18,"pd","leaf","Weathertop","LL","blue oak",3.60766666666667,44.01977076143,2.27170651437421
"85","2011",37,2022-09-15,"md","leaf","Weathertop","LL","blue oak",3.836,56.9183673469388,1.75690211545357
"86","2011",37,2022-09-12,"pd","leaf","Weathertop","LL","blue oak",1.57,71.9415100414262,1.3900180847249
"87","2012",14,2022-04-04,"md","leaf","Low","Cucu Mesa","blue oak",NA,158.381231671554,0.631387942527034
"88","2012",14,2022-04-04,"pd","leaf","Low","Cucu Mesa","blue oak",0.505,185.393258426966,0.53939393939394
"89","2012",17,2022-04-27,"md","leaf","Low","Cucu Mesa","blue oak",2.50333333333333,82.860852629301,1.20684251762862
"90","2012",17,2022-04-27,"pd","leaf","Low","Cucu Mesa","blue oak",1.2195,124.268100592037,0.804711744394425
"91","2012",21,2022-05-25,"md","leaf","Low","Cucu Mesa","blue oak",NA,86.7345013041923,1.15294373630262
"92","2012",21,2022-05-25,"pd","leaf","Low","Cucu Mesa","blue oak",NA,74.3375174337518,1.34521575984991
"93","2012",37,2022-09-15,"md","leaf","Low","Cucu Mesa","blue oak",4.1735,63.12952410288,1.58404488899732
"94","2012",37,2022-09-16,"pd","leaf","Low","Cucu Mesa","blue oak",2.4035,70.1974784219802,1.42455259430926
"95","2013",14,2022-04-04,"md","leaf","Low","Cucu Mesa","blue oak",1.6,188.848894967965,0.529523882133191
