"","tree","species","week","time","type_lfm","year","lfm_wet_wt_g","lfm_dry_wt_g","lfm_percent","date_lfm","mpa_mean","notes"
"1",2004,"blue oak",10,"md","leaf",0,13.011,4.8284,169.468146798111,2022-03-08,1.65333333333333,NA
"2",2004,"blue oak",10,"md","leaf",0,8.5289,3.0315,181.342569684974,2022-03-08,1.65333333333333,NA
"3",2005,"blue oak",17,"md","leaf",0,2.25,1.307,72.149961744453,2022-04-27,2.733,NA
"4",2005,"blue oak",17,"md","leaf",0,8.86,4.798,84.6602751146311,2022-04-27,2.733,"check, were switched around"
"5",2006,"blue oak",37,"pd","leaf",0,2.3028,1.1249,104.71152991377,2022-09-12,1.90766666666667,NA
"6",2006,"blue oak",37,"pd","leaf",0,1.972,1.126,75.1332149200711,2022-09-12,1.90766666666667,NA
"7",2007,"blue oak",10,"md","leaf",0,8.78,3.5569,146.844162051224,2022-03-08,1.77,NA
"8",2007,"blue oak",10,"md","leaf",0,9.8548,4.4034,123.799791070536,2022-03-08,1.77,NA
"9",2008,"blue oak",14,"pd","leaf",0,5.5536,2.1689,156.056065286551,2022-04-04,0.6765,NA
"10",2008,"blue oak",14,"pd","leaf",0,7.8112,3.9124,99.6523872814641,2022-04-04,0.6765,NA
"11",2009,"blue oak",14,"pd","leaf",0,5.8315,2.846,104.901616303584,2022-04-04,1.26666666666667,NA
"12",2009,"blue oak",14,"pd","leaf",0,5.8315,2.846,104.901616303584,2022-04-04,1.12333333333333,NA
"13",2010,"blue oak",37,"pd","leaf",0,1.7288,1.0946,57.9389731408734,2022-09-12,1.91666666666667,NA
"14",2010,"blue oak",37,"pd","leaf",0,2.2707,1.4702,54.4483743708339,2022-09-12,1.91666666666667,NA
"15",2011,"blue oak",37,"pd","leaf",0,2.2668,1.3906,63.0087731914281,2022-09-12,1.57,NA
"16",2011,"blue oak",37,"pd","leaf",0,5.644,3.1204,80.8742468914242,2022-09-12,1.57,"rehydrated, accidentally pealed off"
"17",2012,"blue oak",21,"md","leaf",0,3.8233,1.9377,97.3112452908087,2022-05-25,3.00471428571429,NA
"18",2012,"blue oak",21,"md","leaf",0,1.2819,0.7277,76.1577573175759,2022-05-25,3.00471428571429,NA
"19",2021,"blue oak",37,"pd","leaf",0,2.5989,1.4178,83.3051206093948,2022-09-12,1.96833333333333,NA
"20",2021,"blue oak",37,"pd","leaf",0,3.6594,2.0533,78.2204256562606,2022-09-12,1.96833333333333,NA
"21",2022,"live oak",17,"pd","leaf",0,6.699,4.0706,64.5703336117526,2022-04-27,0.887333333333333,NA
"22",2022,"live oak",17,"pd","leaf",0,4.5543,2.2472,102.665539337843,2022-04-27,0.887333333333333,NA
"23",2024,"blue oak",37,"pd","leaf",0,1.5572,0.957,62.7168234064786,2022-09-12,2.03666666666667,NA
"24",2024,"blue oak",37,"pd","leaf",0,3.3979,1.921,76.8818323789693,2022-09-12,2.03666666666667,NA
"25",2025,"blue oak",37,"pd","leaf",0,0.3977,0.2316,71.7184801381693,2022-09-12,NA,NA
"26",2025,"blue oak",37,"pd","leaf",0,2.79129,1.5787,76.8094001393552,2022-09-12,NA,NA
"27",2025,"blue oak",37,"pd","leaf",0,4.529,2.5708,76.1708417613194,2022-09-12,NA,NA
"28",2026,"blue oak",14,"pd","leaf",0,2.2519,1.0516,114.140357550399,2022-04-04,0.4384,NA
"29",2026,"blue oak",14,"pd","leaf",0,6.5692,3.0269,117.027321682249,2022-04-04,0.4384,NA
"30",2030,"live oak",37,"pd","leaf",0,5.6236,3.5014,60.6100416976067,2022-09-12,2,"*No Y1 leaves"
"31",2030,"live oak",37,"pd","leaf",0,0.315,0.1982,58.9303733602422,2022-09-12,2,NA
"32",2082,NA,33,"pd","leaf",0,3.37,2.1267,58.4614661212207,2022-08-18,NA,"has 1 acorn"
"33",2082,NA,33,"pd","leaf",0,3.37,2.1267,58.4614661212207,2022-08-18,NA,NA
"34",2086,"blue oak",17,"pd","leaf",0,2.211,1.097,101.54968094804,2022-04-27,0.852666666666667,NA
