tree,time,rep,date_wc,dry_scan_area,dm_leaf_g,wm_leaf_g,dm_bulk_g,wm_bulk_g
1475,md,NA,2022-05-09,59.424,NA,NA,NA,NA
1478,pd,1,2022-04-04,NA,NA,NA,0.8328,2.285
1478,pd,2,2022-04-04,NA,NA,NA,0.8328,2.285
1478,pd,3,2022-04-04,NA,NA,NA,0.8328,2.285
1478,pd,4,2022-04-04,NA,NA,NA,0.8328,2.285
1478,pd,5,2022-04-04,NA,NA,NA,0.8328,2.285
1478,md,1,2022-04-13,111.688,0.042,0.0853,1.2356,2.6018
1478,md,2,2022-04-13,111.688,0.0699,0.1371,1.2356,2.6018
1478,md,3,2022-04-13,111.688,0.0572,0.1151,1.2356,2.6018
1478,md,4,2022-04-13,111.688,0.0554,0.1077,1.2356,2.6018
1478,md,5,2022-04-13,111.688,0.0786,0.1545,1.2356,2.6018
1478,md,1,2022-04-27,60.343,NA,NA,0.859,1.735
1478,md,2,2022-04-27,60.343,NA,NA,0.859,1.735
1478,md,3,2022-04-27,60.343,NA,NA,0.859,1.735
1478,pd,1,2022-04-27,54.979,NA,NA,0.847,1.759
1478,pd,2,2022-04-27,54.979,NA,NA,0.847,1.759
1478,pd,3,2022-04-27,54.979,NA,NA,0.847,1.759
1478,md,1,2022-05-09,NA,NA,NA,1.0036,1.8414
1478,md,2,2022-05-09,NA,NA,NA,1.0036,1.8414
1478,md,1,2022-05-23,NA,NA,NA,0.584,0.974
1478,md,2,2022-05-23,NA,NA,NA,0.584,0.974
1478,md,3,2022-05-23,NA,NA,NA,0.584,0.974
1478,md,4,2022-05-23,NA,NA,NA,0.584,0.974
1478,pd,1,2022-05-23,NA,NA,NA,0.6283,1.16
1478,pd,2,2022-05-23,NA,NA,NA,0.6283,1.16
1478,pd,3,2022-05-23,NA,NA,NA,0.6283,1.16
1478,md,1,2022-07-19,NA,NA,NA,0.26,0.4123
1478,md,2,2022-07-19,NA,NA,NA,0.26,0.4123
1478,md,3,2022-07-19,NA,NA,NA,0.26,0.4123
1478,md,NA,2022-09-16,NA,NA,NA,0.468,0.7559
1478,pd,NA,2022-09-16,NA,NA,NA,0.5751,0.9926
1478,md,1,NA,NA,0.151,0.3916,NA,NA
1478,md,1,NA,NA,NA,NA,NA,NA
1478,md,2,NA,NA,NA,NA,NA,NA
1478,md,2,NA,NA,0.235,0.5982,NA,NA
1478,md,3,NA,NA,NA,NA,NA,NA
1478,md,3,NA,NA,0.156,0.3972,NA,NA
1478,md,4,NA,NA,NA,NA,NA,NA
1478,md,5,NA,NA,NA,NA,NA,NA
1478,md,NA,NA,NA,NA,NA,NA,NA
1478,pd,1,NA,NA,NA,NA,NA,NA
1478,pd,2,NA,NA,NA,NA,NA,NA
1478,pd,3,NA,NA,NA,NA,NA,NA
1478,pd,4,NA,NA,NA,NA,NA,NA
1478,pd,5,NA,NA,NA,NA,NA,NA
1478,pd,NA,NA,NA,0.8328,2.285,NA,NA
2004,md,1,2022-03-08,NA,0.019,0.0536,0.396,1.0937
2004,md,2,2022-03-08,NA,0.018,0.05,0.396,1.0937
