Site,Plot,plot.number,Species,Tag,Date,pd_md,water_potential_mpa,Notes
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,pd,1.307,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,pd,1.27,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,pd,1.38,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,pd,1.4,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,md,3.51,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,md,3.01,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,md,2.07,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,md,3.117,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-03-11,md,2.87,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.34,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.68,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.29,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.33,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.52,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.49,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.87,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,pd,1.66,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,md,2.12,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,md,2.3,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,md,2.14,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,md,2.302,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-03-11,md,2.52,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-03-11,md,2.6,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-03-11,md,2.16,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-03-11,md,2.01,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-03-11,md,1.7,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-03-11,md,1.85,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-03-11,md,1.5,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-03-11,md,1.52,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-03-11,md,1.81,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-03-11,md,1.55,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-03-11,md,1.85,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-03-11,md,1.35,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-03-11,md,0.85,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-03-11,md,1.1,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-03-11,md,0.91,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-03-11,md,1.92,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-03-11,md,3,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-03-11,md,1.34,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-03-11,md,1.95,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-03-11,md,2.65,
Chamise,Chamise,Chamise,blue oak,2020,2022-03-11,md,2.2,
Chamise,Chamise,Chamise,blue oak,2020,2022-03-11,md,2.02,
Chamise,Chamise,Chamise,blue oak,2020,2022-03-11,md,2.3,
Chamise,Chamise,Chamise,blue oak,2021,2022-03-11,md,1.91,
Chamise,Chamise,Chamise,blue oak,2021,2022-03-11,md,1.81,
Chamise,Chamise,Chamise,blue oak,2021,2022-03-11,md,1.9,
Chamise,Chamise,Chamise,live oak,2022,2022-03-11,md,2.05,
Chamise,Chamise,Chamise,live oak,2022,2022-03-11,md,1.85,
Chamise,Chamise,Chamise,live oak,2022,2022-03-11,md,1.95,
Chamise,Chamise,Chamise,live oak,2022,2022-03-11,md,2.1,
Chamise,Chamise,Chamise,live oak,2022,2022-03-11,md,2.1,
Chamise,Chamise,Chamise,live oak,2023,2022-03-11,md,1.43,
Chamise,Chamise,Chamise,live oak,2023,2022-03-11,md,1.55,
Chamise,Chamise,Chamise,live oak,2023,2022-03-11,md,1.75,
Chamise,Chamise,Chamise,live oak,2023,2022-03-11,md,1.85,
Chamise,Chamise,Chamise,live oak,2023,2022-03-11,md,1.7,
Chamise,Chamise,Chamise,blue oak,2024,2022-03-11,md,1.65,
Chamise,Chamise,Chamise,blue oak,2024,2022-03-11,md,1.72,
Chamise,Chamise,Chamise,blue oak,2025,2022-03-11,md,2.07,
Chamise,Chamise,Chamise,blue oak,2025,2022-03-11,md,1.71,
Chamise,Chamise,Chamise,blue oak,2025,2022-03-11,md,1.64,
Chamise,Chamise,Chamise,blue oak,2025,2022-03-11,md,1.79,
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,2022-03-11,md,1.96,
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,2022-03-11,md,1.93,
LL,MiddleEarth,AT001,live oak,2353,2022-04-06,md,3.51,
LL,MiddleEarth,AT001,live oak,2353,2022-04-06,md,3.35,
LL,MiddleEarth,AT001,live oak,2353,2022-04-06,md,4.1,
LL,MiddleEarth,AT001,live oak,2353,2022-04-06,md,2.4,
LL,MiddleEarth,AT001,live oak,2354,2022-04-06,md,3.55,
LL,MiddleEarth,AT001,live oak,2354,2022-04-06,md,4.3,
LL,MiddleEarth,AT001,live oak,2354,2022-04-06,md,3.75,
LL,MiddleEarth,AT001,blue oak,2360,2022-04-06,md,3,
LL,MiddleEarth,AT001,blue oak,2360,2022-04-06,md,3.25,
LL,MiddleEarth,AT001,blue oak,2360,2022-04-06,md,3.15,
LL,MiddleEarth,AT001,blue oak,2365,2022-04-06,md,2.45,
LL,MiddleEarth,AT001,blue oak,2365,2022-04-06,md,2.35,
LL,MiddleEarth,AT001,blue oak,2365,2022-04-06,md,2.4,
LL,MiddleEarth,AT001,blue oak,2367,2022-04-06,md,2.25,
LL,MiddleEarth,AT001,blue oak,2367,2022-04-06,md,2.25,
LL,MiddleEarth,AT001,blue oak,2369,2022-04-06,md,2.9,
LL,MiddleEarth,AT001,blue oak,2369,2022-04-06,md,2.35,
LL,MiddleEarth,AT001,blue oak,2369,2022-04-06,md,2.65,
LL,MiddleEarth,near AT001,live oak,2376,2022-04-06,md,3.1,
LL,MiddleEarth,near AT001,live oak,2376,2022-04-06,md,2.6,
LL,MiddleEarth,near AT001,live oak,2376,2022-04-06,md,2.7,
LL,MiddleEarth,near AT001,live oak,2377,2022-04-06,md,2.78,
LL,MiddleEarth,near AT001,live oak,2377,2022-04-06,md,2.85,
LL,MiddleEarth,near AT001,blue oak,2378,2022-04-06,md,2.8,
LL,MiddleEarth,near AT001,blue oak,2378,2022-04-06,md,2.95,
LL,MiddleEarth,near AT001,blue oak,2378,2022-04-06,md,2.8,
LL,MiddleEarth,near AT001,blue oak,2379,2022-04-06,md,2.55,
LL,MiddleEarth,near AT001,blue oak,2379,2022-04-06,md,2.55,
LL,MiddleEarth,near AT001,live oak,2380,2022-04-06,md,3.5,
LL,MiddleEarth,near AT001,live oak,2380,2022-04-06,md,3.2,
LL,MiddleEarth,near AT001,live oak,2380,2022-04-06,md,2.9,
LL,Hobbiton,AT002,blue oak,2343,2022-04-06,md,2.7,
LL,Hobbiton,AT002,blue oak,2343,2022-04-06,md,2.6,
LL,Hobbiton,AT002,live oak,2345,2022-04-06,md,3.7,
LL,Hobbiton,AT002,live oak,2345,2022-04-06,md,3.6,
LL,Hobbiton,AT002,blue oak,2346,2022-04-06,md,3.2,
LL,Hobbiton,AT002,blue oak,2346,2022-04-06,md,2.9,
LL,Hobbiton,AT002,blue oak,2346,2022-04-06,md,3,
LL,Hobbiton,AT002,blue oak,2347,2022-04-06,md,2.2,
LL,Hobbiton,AT002,blue oak,2347,2022-04-06,md,2.4,
LL,Hobbiton,AT002,blue oak,2347,2022-04-06,md,2.5,
LL,Hobbiton,near AT002,blue oak,2375,2022-04-06,md,2.8,
LL,Hobbiton,near AT002,blue oak,2375,2022-04-06,md,2.8,
LL,Ridge,AT003,live oak,2331,2022-04-06,md,4.25,
LL,Ridge,AT003,live oak,2331,2022-04-06,md,4.35,
LL,Ridge,AT003,live oak,2331,2022-04-06,md,4.4,
LL,Hobbiton,AT004,live oak,2301,2022-04-06,md,4,
LL,Hobbiton,AT004,live oak,2301,2022-04-06,md,3.7,
LL,Hobbiton,AT004,live oak,2301,2022-04-06,md,3.4,
LL,Hobbiton,AT004,live oak,2301,2022-04-06,md,2.85,
LL,Weathertop,B1,blue oak,2370,2022-04-06,md,3.1,
LL,Weathertop,B2,blue oak,2371,2022-04-06,md,2.7,
LL,Weathertop,B2,blue oak,2371,2022-04-06,md,2.6,
LL,Weathertop,B3,blue oak,2372,2022-04-06,md,3.6,
LL,Weathertop,B3,blue oak,2372,2022-04-06,md,2.8,
LL,Weathertop,B3,blue oak,2372,2022-04-06,md,2.85,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-04-06,md,2.755,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-04-06,md,3.5,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-04-06,md,2.65,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-04-06,md,3.25,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-04-06,md,3.15,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-04-06,md,3.05,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-04-06,md,2.45,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-04-06,md,2.525,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-04-06,md,2.475,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-04-06,md,3.4,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-04-06,md,2.7,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-04-06,md,2.6,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-04-06,md,2.25,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-04-06,md,3.8,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-04-06,md,2.2,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-06,md,1.75,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-06,md,2.05,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-06,md,1.55,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-06,md,1.85,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-06,md,1.775,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-06,md,2.75,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-06,md,2.45,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-06,md,2.75,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-06,md,2.6,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-06,md,2.55,
LL,Weathertop,,blue oak,2011,2022-04-06,md,3.1,
LL,Weathertop,,blue oak,2011,2022-04-06,md,3.2,
LL,Hobbiton,TS,blue oak,2009,2022-04-06,md,2.9,
LL,Hobbiton,TS,blue oak,2009,2022-04-06,md,3,
LL,MiddleEarth,AT001,live oak,2352,2022-05-04,md,2.24,
LL,MiddleEarth,AT001,live oak,2352,2022-05-04,md,1.973,
LL,MiddleEarth,AT001,live oak,2352,2022-05-04,md,1.906,
LL,MiddleEarth,AT001,live oak,2352,2022-05-04,md,2.078,
LL,MiddleEarth,AT001,live oak,2354,2022-05-04,md,2.568,
LL,MiddleEarth,AT001,live oak,2354,2022-05-04,md,2.842,
LL,MiddleEarth,AT001,live oak,2354,2022-05-04,md,2.712,
LL,MiddleEarth,AT001,blue oak,2360,2022-05-04,md,2.843,
LL,MiddleEarth,AT001,blue oak,2360,2022-05-04,md,3.014,
LL,MiddleEarth,AT001,blue oak,2360,2022-05-04,md,3.052,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,pd,1.442,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,pd,1.208,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,pd,1.42,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,md,2.608,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,md,2.621,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,md,2.676,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,md,3.056,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-04,md,3,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,pd,2,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,pd,1.658,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,pd,1.658,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,md,2.587,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,md,2.674,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,md,2.491,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,md,3.6,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-04,md,3.25,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,pd,1.687,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,pd,1.754,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,pd,1.638,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,md,2.584,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,md,2.945,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,md,2.88,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,md,3.18,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-04,md,3.221,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-04,md,2.926,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-04,md,3.034,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-04,md,2.113,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-04,md,1.987,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-04,md,2.158,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-04,md,1.923,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-04,md,2.669,
LL,MiddleEarth,near AT001,blue oak,2378,2022-05-04,md,2.945,
LL,MiddleEarth,near AT001,blue oak,2378,2022-05-04,md,1.987,
LL,MiddleEarth,near AT001,blue oak,2379,2022-05-04,md,3.032,
LL,MiddleEarth,near AT001,blue oak,2379,2022-05-04,md,2.738,
LL,MiddleEarth,near AT001,blue oak,2379,2022-05-04,md,3.063,
LL,MiddleEarth,near AT001,blue oak,2379,2022-05-04,md,2.962,
LL,MiddleEarth,near AT001,live oak,2380,2022-05-04,md,2.422,
LL,MiddleEarth,near AT001,live oak,2380,2022-05-04,md,2.142,
LL,MiddleEarth,near AT001,live oak,2380,2022-05-04,md,2.687,
LL,MiddleEarth,near AT001,live oak,2380,2022-05-04,md,2.326,
LL,MiddleEarth,near AT001,live oak,2380,2022-05-04,md,2.301,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,pd,1.547,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,pd,1.448,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,pd,1.554,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,md,2.034,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,md,2.484,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,md,2.308,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,md,2.671,
LL,Hobbiton,AT002,blue oak,2343,2022-05-04,md,2.667,
LL,Hobbiton,AT002,live oak,2345,2022-05-04,md,1.204,
LL,Hobbiton,AT002,live oak,2345,2022-05-04,md,1.233,
LL,Hobbiton,AT002,live oak,2345,2022-05-04,md,2.064,
LL,Hobbiton,AT002,live oak,2345,2022-05-04,md,1.48,
LL,Hobbiton,AT002,live oak,2345,2022-05-04,md,1.44,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,pd,1.689,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,pd,1.846,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,pd,1.974,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,pd,2.098,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,md,2.222,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,md,2.29,
LL,Hobbiton,AT002,blue oak,2346,2022-05-04,md,2.301,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,pd,1.35,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,pd,1.782,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,pd,1.47,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,pd,1.778,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,pd,1.452,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,md,2.987,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,md,2.781,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,md,2.813,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,md,3.01,
LL,Hobbiton,AT002,blue oak,2347,2022-05-04,md,2.59,
LL,Hobbiton,near AT002,blue oak,2375,2022-05-04,md,3.19,
LL,Hobbiton,near AT002,blue oak,2375,2022-05-04,md,3.014,
LL,Hobbiton,near AT002,blue oak,2375,2022-05-04,md,3.28,
LL,Ridge,AT003,live oak,2331,2022-05-04,md,2.95,
LL,Ridge,AT003,live oak,2331,2022-05-04,md,2.76,
LL,Ridge,AT003,live oak,2331,2022-05-04,md,3.09,
LL,Hobbiton,AT004,live oak,2301,2022-05-04,md,3.21,
LL,Hobbiton,AT004,live oak,2301,2022-05-04,md,3.2,
LL,Hobbiton,AT004,live oak,2301,2022-05-04,md,3.17,
LL,Weathertop,B1,blue oak,2370,2022-05-04,md,2.709,
LL,Weathertop,B1,blue oak,2370,2022-05-04,md,2.774,
LL,Weathertop,B1,blue oak,2370,2022-05-04,md,2.568,
LL,Weathertop,B2,blue oak,2371,2022-05-04,md,3.051,
LL,Weathertop,B2,blue oak,2371,2022-05-04,md,3.067,
LL,Weathertop,B2,blue oak,2371,2022-05-04,md,2.805,
LL,Weathertop,B3,blue oak,2372,2022-05-04,md,3.871,
LL,Weathertop,B3,blue oak,2372,2022-05-04,md,3.382,
LL,Weathertop,B3,blue oak,2372,2022-05-04,md,3.665,
LL,Weathertop,B3,blue oak,2372,2022-05-04,md,3.39,
LL,Weathertop,B3,blue oak,2372,2022-05-04,md,3.239,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-05-04,md,2.4,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-05-04,md,2.5,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-05-04,md,2.62,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-05-04,md,2.9,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-05-04,md,2.8,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-05-04,md,2.339,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-05-04,md,2.245,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-05-04,md,2.553,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-05-04,md,2.25,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-05-04,md,2.29,
LL,Weathertop,ExtraBlueHilltop,blue oak,2383,2022-05-04,md,2.17,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-05-04,md,3.157,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-05-04,md,2.714,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-05-04,md,2.624,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-05-04,md,2.902,
LL,Weathertop,,blue oak,2011,2022-05-04,md,2.95,
LL,Weathertop,,blue oak,2011,2022-05-04,md,3.45,
LL,Weathertop,,blue oak,2011,2022-05-04,md,3.1,
LL,Weathertop,,blue oak,2011,2022-05-04,md,2.92,
LL,Weathertop,RT,blue oak,2010,2022-05-04,md,2.447,
LL,Weathertop,RT,blue oak,2010,2022-05-04,md,2.669,
LL,Weathertop,RT,blue oak,2010,2022-05-04,md,2.124,
LL,Weathertop,RT,blue oak,2010,2022-05-04,md,2.549,
LL,Hobbiton,TS,blue oak,2009,2022-05-04,md,2.785,
LL,Hobbiton,TS,blue oak,2009,2022-05-04,md,2.86,
