Site,Plot,plot.number,Species,Tag,Date,pd_md,water_potential_mpa,Notes
LL,Hobbiton,TS,blue oak,2009,2022-05-04,md,3.134,
LL,Hobbiton,TS,blue oak,2009,2022-05-04,md,3.071,
LL,Hobbiton,TS,blue oak,2009,2022-05-04,md,2.921,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,pd,1.026,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,pd,1.613,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,pd,1.218,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,pd,1.79,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,pd,3.028,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,pd,1.848,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,md,2.128,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,md,2.065,
LL,MiddleEarth,AT001,live oak,2352,2022-05-09,md,2.455,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,pd,1.89,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,pd,2.26,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,pd,1.818,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,md,2.443,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,md,3.074,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,md,2.487,
LL,MiddleEarth,AT001,live oak,2354,2022-05-09,md,3.347,
LL,MiddleEarth,AT001,blue oak,2364,2022-05-09,pd,1.578,
LL,MiddleEarth,AT001,blue oak,2364,2022-05-09,pd,1.458,
LL,MiddleEarth,AT001,blue oak,2364,2022-05-09,pd,1.554,
LL,MiddleEarth,AT001,blue oak,2364,2022-05-09,md,2.787,
LL,MiddleEarth,AT001,blue oak,2364,2022-05-09,md,3,
LL,MiddleEarth,AT001,blue oak,2364,2022-05-09,md,2.799,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-09,pd,1.442,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-09,pd,1.208,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-09,pd,1.42,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-09,md,2.608,
LL,MiddleEarth,AT001,blue oak,2365,2022-05-09,md,2.621,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-09,pd,1.718,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-09,pd,1.658,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-09,pd,1.658,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-09,md,2.587,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-09,md,2.674,
LL,MiddleEarth,AT001,blue oak,2367,2022-05-09,md,2.491,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-09,pd,1.687,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-09,pd,1.754,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-09,pd,1.638,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-09,md,2.584,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-09,md,2.945,
LL,MiddleEarth,AT001,blue oak,2369,2022-05-09,md,2.88,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,pd,0.778,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,pd,0.587,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,pd,0.802,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,pd,0.739,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,md,3.781,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,md,3.295,
LL,MiddleEarth,near AT001,live oak,2376,2022-05-09,md,3.441,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-09,pd,0.608,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-09,pd,0.538,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-09,pd,0.604,
LL,MiddleEarth,near AT001,live oak,2377,2022-05-09,md,2.04,
