tree_id,date,year,branch_number,leaf_wet_mass_g,leaf_dry_mass_g,stem_wet_mass_g,stem_dry_mass_g,length_mm,diameter_mm,area_from_scan,leaf_number,notes,,,
2360,2023-04-14,0,3,2.139,1.0658,0.3014,0.1176,45.82,1.6575,84.02,9,,,,
2331,2023-04-14,0,3,1.7006,0.7648,0.0963,0.0399,31.56,1.08,50.824,9,,,,
2028,2023-04-14,0,2,1.0897,0.5163,0.1428,0.0546,30.27,1.3875,38.906,9,,,,
2347,2023-04-14,0,1,1.8912,0.5737,0.2095,0.0623,35.08,1.0325,73.95,7,,,,
2371,2023-04-14,0,1,0.6452,0.2057,0.1173,0.0324,33.14,1.0375,30.399,6,,,,
2379,2023-04-14,0,1,0.3776,0.1842,0.0114,0.0057,3.98,0.855,13.73,5,Diameter very small and hard to measure,,,
2022,2023-04-14,0,3,3.855,1.9059,0.6113,0.2318,64.33,1.6925,91.533,10,,,,
2377,2023-04-14,0,2,2.9673,1.4859,0.2011,0.0777,45.58,1.835,87.493,8,,,,
2352,2023-04-14,0,1,0.3311,0.1599,0.0315,0.0138,20.59,0.5675,12.047,6,,,,
2352,2023-04-14,1,1,0.4168,0.2552,0.0599,0.0342,27,1.09,16.7,4,,,,
2346,2023-04-14,0,3,0.6647,0.2724,0.0367,0.0136,10.17,0.69,28.635,6,,,,
2028,2023-04-14,0,1,1.7798,0.8343,0.3574,0.1374,56.09,1.7725,59.167,10,,,,
2370,2023-04-14,0,3,0.5353,0.1577,0.0407,0.0127,13.45,0.565,23.614,7,,,,
2382,2023-04-14,0,2,0.366,0.1589,0.0302,0.0125,13.39,0.835,16.534,5,leaves don't look healthy,,,
2343,2023-04-14,0,2,1.0483,0.3033,0.0942,0.0295,24.32,1.0225,47.225,7,,,,
2378,2023-04-14,0,1,2.8428,1.3443,0.3644,0.1478,30.69,1.935,95.879,10,,,,
2013,2023-04-14,0,2,1.1258,0.4281,0.1661,0.0592,30.39,0.8325,41.658,10,,,,
2023,2023-04-14,0,3,4.6914,2.3765,0.3804,0.1742,55.61,1.6325,115.757,7,,,,
2380,2023-04-14,0,2,2.1226,1.017,0.1411,0.0523,25.4,1.62,60.063,10,,,,
2023,2023-04-14,1,3,0.3746,0.2284,0.2427,0.1305,37.13,2.1925,11.441,1,,,,
2012,2023-04-14,0,1,0.2442,0.0805,0.0765,0.0209,30.22,1.0075,11.698,12,,,,
2301,2023-04-14,0,1,0.9875,0.2868,0.0406,0.0115,19.4,0.6325,33.366,7,,,,
2301,2023-04-14,0,2,0.6296,0.1941,0.0235,0.0072,11.9,0.4775,21.456,5,,,,
2016,2023-04-14,0,1,0.8638,0.3224,0.1621,0.0563,39.81,0.915,29.723,11,,,,
2380,2023-04-14,0,3,1.0366,0.5201,0.051,0.0191,15.43,1.0225,30.707,5,,,,
2031,2023-04-14,0,1,0.6408,0.2972,0.0318,0.0142,8.5,0.8775,31.473,6,,,,
2009,2023-04-14,0,3,0.4471,0.1368,0.0313,0.0106,11.49,0.8325,21.472,4,,,,
2372,2023-04-14,0,1,1.0785,0.3277,0.1144,0.0334,19.93,0.83,48.537,9,,,,
2025,2023-04-14,0,1,0.6173,0.2901,0.0448,0.0189,13.85,0.89,25.512,11,,,,
2369,2023-04-14,0,2,0.9248,0.3395,0.0726,0.0243,22.26,1.0125,43.053,8,,,,
2379,2023-04-14,0,3,0.1634,0.085,0.0044,0.0025,2.84,0.4275,6.041,3,Very small branch,,,
2331,2023-04-14,1,3,0.1434,0.0892,0.0539,0.0291,16.21,1.09,4.742,4,,,,
2008,2023-04-14,0,2,2.1321,0.9348,0.2011,0.0783,44.15,1.3875,84.481,14,,,,
2086,2023-04-14,0,2,0.5265,0.1615,0.2913,0.0735,58.22,1.74,22.917,9,,,,
2301,2023-04-14,0,3,1.2525,0.4112,0.0528,0.0169,20.23,0.9025,41.391,9,,,,
2090,2023-04-14,0,2,0.5466,0.2213,0.0387,0.0145,11.14,1.165,25.907,7,,,,
2092,2023-04-14,0,3,2.1575,0.6208,0.1326,0.0413,35.2,1.385,82.368,8,,,,
2011,2023-04-14,0,3,0.5837,0.2732,0.0735,0.0299,17.65,1.095,24.133,7,,,,
2372,2023-04-14,0,2,2.3476,0.0639,2.2043,0.009,11.31,0.86,9.629,5,,,,
2367,2023-04-14,0,1,2.7263,0.2062,2.2868,0.0381,47.67,1.045,23.652,7,,,,
2367,2023-04-14,0,3,0.6153,0.2088,0.1436,0.05,62.79,0.975,29.639,8,,,,
2009,2023-04-14,0,2,1.278,0.3895,0.0927,0.0309,23.54,0.9825,56.743,6,,,,
2384,2023-04-14,0,3,0.7061,0.3172,0.0481,0.0215,15.84,0.9,26.263,6,,,,
2029,2023-04-14,0,1,3.508,1.697,0.0832,0.036,13.55,1.2825,97.831,8,,,,
2370,2023-04-14,0,2,0.2029,0.0675,0.0092,0.0034,3.73,0.7225,9.236,5,Diameter very hard to measure,,,
2343,2023-04-14,0,3,2.0966,0.6339,0.2035,0.0636,37.81,1.4325,91.3,7,,,,
2031,2023-04-14,0,2,0.9832,0.4349,0.0864,0.0355,14.07,1.4175,39.574,7,,,,
2007,2023-04-14,0,2,0.7194,0.3688,0.1334,0.0635,24.17,0.7975,27.44,10,Leaf color very dark green (too dark for year 0?),,,
2347,2023-04-14,0,2,1.0455,0.3118,0.065,0.0199,17.87,1.0325,43.64,6,,,,
2091,2023-04-14,0,1,0.4182,0.1345,0.1245,0.0312,43.54,1.1775,15.503,8,,,,
2010,2023-04-14,0,2,0.7954,0.3473,0.0707,0.0243,14.27,0.9,29.017,6,,,,
2371,2023-04-14,0,2,0.7895,0.2623,0.0897,0.0268,27.13,0.93,35.513,6,,,,
2012,2023-04-14,0,3,0.2363,0.0733,0.0309,0.0079,12.93,0.47,10.712,7,,,,
2022,2023-04-14,1,1,2.3947,1.4118,0.301,0.1449,37.04,2.025,57.45,6,,,,
2382,2023-04-14,0,1,1.0142,0.4613,0.0886,0.0363,18.91,1.125,39.605,8,,,,
2384,2023-04-14,0,1,0.4133,0.1897,0.0292,0.0132,13.12,0.7875,15.444,5,,,,
2384,2023-04-14,0,2,0.7717,0.3451,0.045,0.0187,13.16,0.9275,27.985,5,,,,
2331,2023-04-14,0,1,1.0454,0.4709,0.1018,0.0407,36.13,0.9375,28.647,7,,,,
