Longitude,Latitude,Name,Notes
-120.0507915,34.68749022,Art Chamise stand,
-120.0502095,34.69755548,Art Cucu,
-120.0482508,34.69089877,Art Lisque,
-120.0499562,34.69744325,B2004,
-120.050261,34.69747353,B2005,
-120.0504776,34.69801259,B2006,
-120.0505856,34.69824651,B2007,
-120.0506943,34.69838433,B2008,
-120.0469206,34.69180055,B2009,"Sapflow probe 3 (?)
Previously SapflowNew1 or SapNew1 or New Sapflow 1"
-120.0480475,34.69002127,B2010,previously New Saplfow 2 or SapNew2
-120.0508056,34.68622509,B2020,
-120.0508463,34.68664755,B2021,
-120.0509533,34.68725353,B2024,
-120.0509746,34.6863485,B2025,
-120.0508916,34.68541199,B2026,
-120.0506868,34.68516571,B2027,
-120.0513929,34.68539463,B2028,
-120.0516449,34.68533157,B2031,
-120.0406165,34.71836308,B2086,
-120.0415751,34.7182771,B2086,lots of ants!
-120.040676,34.71791864,B2087,
-120.0410835,34.7178221,B2088,
-120.0468361,34.69150756,B2343,Sapflow probe 4
-120.0468192,34.69169137,B2346,sapflow probe 2
-120.0467576,34.69172811,B2347,sapflow probe 1
-120.0473086,34.69046599,B2360,"Sapflow probe 4
Logger ED02"
-120.0472651,34.69045822,B2365,Sapflow Probe 3?
-120.0472177,34.69044254,B2367,Sapflow probe 2?
-120.0472141,34.69047018,B2369,Sapflow probe 1?
-120.0462245,34.69168214,B2370,
-120.0461084,34.69155297,B2371,
-120.046349,34.69124242,DontSample-B2373,
-120.046099,34.6914376,B2373,
-120.0466586,34.69185321,B2375,
-120.0479833,34.69067129,B2378,
-120.0480331,34.6907883,B2379,
-120.0477788,34.68984168,B2381,
-120.0479946,34.68990912,B2382,
-120.0475707,34.68944418,B2383,
-120.0476976,34.68990877,B2384,
-120.0403598,34.71838906,B2090,could be valley oak
-120.0509704,34.68693571,L2022,
-120.0509801,34.68711761,L2023,
-120.051347,34.68526956,L2029,
-120.0516676,34.68510161,L2030,
-120.0408589,34.71863269,L2089,
-120.0401902,34.71777759,L2091,
-120.0401755,34.71808277,L2092,
-120.0408875,34.71806067,L2093,
-120.046409,34.691034,L2301,
-120.0466056,34.6916462,L2345,
-120.0476881,34.69053515,L2352,
-120.0476073,34.69061423,L2354,
-120.0469789,34.69055008,L2376,
-120.0477609,34.6908126,L2377,
-120.0480513,34.69098984,L2380,
-120.0461704,34.69096339,L2331,
-120.0503553,34.69756096,LE Cucu,
-120.0481765,34.6908014,LE Lisque,
-120.0475188,34.68983361,B2011,
-120.0504805,34.69704372,B2012,
-120.0506925,34.69743488,B2014,
-120.0509525,34.69762802,B2015,
-120.0503743,34.69658354,B2016,
-120.0500471,34.69630118,B1478,
