X,Y,Name,description
-120.050791547352,34.6874902240907,Art Chamise stand,
-120.050209546175,34.6975554844747,Art Cucu,
-120.048250794631,34.6908987668111,Art Lisque,
-120.049956242087,34.6974432545576,B2004,
-120.050261041168,34.697473527913,B2005,
-120.050477585152,34.6980125934304,B2006,
-120.05058563654,34.6982465070108,B2007,
-120.050694306424,34.6983843347938,B2008,
-120.046920589542,34.6918005547079,B2009,"Sapflow probe 3 (?)
Previously SapflowNew1 or SapNew1 or New Sapflow 1"
-120.048047506639,34.690021270183,B2010,previously New Saplfow 2 or SapNew2
-120.050805647308,34.6862250909904,B2020,
-120.050846347958,34.6866475512818,B2021,
-120.050953312718,34.6872535278951,B2024,
-120.050974647165,34.6863485037107,B2025,
-120.050891638369,34.685411988625,B2026,
-120.050686812441,34.6851657131377,B2027,
-120.051392864861,34.6853946256801,B2028,
-120.051644886981,34.6853315651963,B2031,
-120.040616487292,34.7183630815939,B2086,
-120.041575053574,34.7182770976075,B2086,lots of ants!
-120.04067596746,34.7179186354403,B2087,
-120.041083486852,34.7178221011287,B2088,
-120.046836107381,34.6915075565108,B2343,Sapflow probe 4
-120.046819222663,34.6916913716066,B2346,sapflow probe 2
-120.046757645207,34.6917281112039,B2347,sapflow probe 1
-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02"
-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?
-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?
-120.04721414717,34.6904701766938,B2369,Sapflow probe 1?
-120.046224454953,34.6916821361229,B2370,
-120.046108389464,34.6915529718917,B2371,
-120.046348983737,34.6912424239358,DontSample-B2373,
-120.046098962622,34.6914375954751,B2372,
-120.046658622116,34.6918532119107,B2375,
-120.047983347193,34.6906712944872,B2378,
-120.04803309146,34.6907882976132,B2379,
-120.047778804365,34.68984167808,B2381,
-120.047994574136,34.6899091171246,B2382,
-120.047570656531,34.6894441788793,B2383,
-120.04769756268,34.689908770192,B2384,
-120.040359759645,34.7183890595445,B2090,could be valley oak
-120.05097038782,34.686935705305,L2022,
-120.050980112504,34.6871176126745,L2023,
-120.051347000678,34.685269556986,L2029,
-120.05166763362,34.6851016136626,L2030,
-120.040858913081,34.7186326857763,L2089,
-120.04019015534,34.7177775947165,L2091,
-120.040175547274,34.7180827739975,L2092,
-120.040887473074,34.7180606671816,L2093,
-120.04640902641,34.6910339983901,L2301,
-120.046605582862,34.6916462021151,L2345,
-120.047688056843,34.6905351492581,L2352,
-120.047607340709,34.6906142262884,L2354,
-120.046978867477,34.6905500755393,L2376,
-120.04776091098,34.6908125983886,L2377,
-120.048051298946,34.6909898389571,L2380,
-120.046170409824,34.6909633885311,L2331,
-120.050355293235,34.697560957551,LE Cucu,
-120.048176520158,34.6908014030229,LE Lisque,
-120.047518820103,34.6898336059174,B2011,
-120.050480500687,34.6970437159379,B2012,
-120.050692485045,34.6974348801696,B2014,
-120.050952539436,34.6976280152625,B2015,
-120.050374340044,34.6965835399221,B2016,
-120.050047092479,34.6963011819028,B1478,
-120.04679154648,34.6917300736956,B2348,
-120.046835052378,34.6917466832933,B2349,
-120.04724937647,34.6904760802316,B2366,
