0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
100,d_18950901,0,0,0,0,0,0,0,0,0,0,0
53.5,d_18951001,46.5,2,0,0,0,0,0,0,0,0,0
18.3,d_18951101,81.7,0.8,0,0,0,0,0,0,0,0,0
0,d_18951201,100,92.7,0,0,0,0,0,0,0,0,0
100,d_18960101,0,0,0,0,0,0,0,0,0,0,0
0,d_18960201,100,35.2,0,0,0,0,0,0,0,0,0
16.3,d_18960301,83.7,1,0,0,0,0,0,0,0,0,0
74.2,d_18960401,25.8,0,0,0,0,0,0,0,0,0,0
63.7,d_18960501,36.3,0,0,0,0,0,0,0,0,0,0
70.3,d_18960601,29.7,0,0,0,0,0,0,0,0,0,0
73.8,d_18960701,26.2,0,0,0,0,0,0,0,0,0,0
100,d_18960801,0,0,0,0,0,0,0,0,0,0,0
100,d_18960901,0,0,0,0,0,0,0,0,0,0,0
100,d_18961001,0,0,0,0,0,0,0,0,0,0,0
0,d_18961101,0,0,0,0,0,0,100,20.4,0,0,0
0,d_18961201,0,0,0,0,0,0,100,7.5,0,0,0
3.9,d_18970101,0,0,0,0,0,0,96.1,0,0,0,0
8,d_18970201,0,0,0,0,0,0,92,0,0,0,0
52.7,d_18970301,0,0,0,0,0,0,47.3,0,0,0,0
100,d_18970401,0,0,0,0,0,0,0,0,0,0,0
100,d_18970501,0,0,0,0,0,0,0,0,0,0,0
100,d_18970601,0,0,0,0,0,0,0,0,0,0,0
100,d_18970701,0,0,0,0,0,0,0,0,0,0,0
100,d_18970801,0,0,0,0,0,0,0,0,0,0,0
100,d_18970901,0,0,0,0,0,0,0,0,0,0,0
100,d_18971001,0,0,0,0,0,0,0,0,0,0,0
12.9,d_18971101,87.2,27.3,0,0,0,0,0,0,0,0,0
0,d_18971201,100,100,100,100,70.1,0,0,0,0,0,0
0,d_18980101,100,100,100,92.6,0,0,0,0,0,0,0
0,d_18980201,100,100,100,100,20.3,0,0,0,0,0,0
0,d_18980301,100,100,100,100,99,0,0,0,0,0,0
0,d_18980401,100,100,100,100,100,0,0,0,0,0,0
0,d_18980501,100,100,100,100,85.9,0,0,0,0,0,0
0,d_18980601,100,100,100,100,85,0,0,0,0,0,0
0,d_18980701,100,100,100,100,100,0,0,0,0,0,0
0,d_18980801,100,100,100,100,40,0,0,0,0,0,0
0,d_18980901,100,100,0,0,0,0,0,0,0,0,0
0,d_18981001,100,97.3,0,0,0,0,0,0,0,0,0
0,d_18981101,99.9,99.6,67.4,0,0,0,0,0,0,0,0
0,d_18981201,100,98.8,24.3,0,0,0,0,0,0,0,0
97.7,d_18990101,2.3,0,0,0,0,0,0,0,0,0,0
0,d_18990201,100,100,52.8,0,0,0,0,0,0,0,0
0,d_18990301,100,99.4,0,0,0,0,0,0,0,0,0
0,d_18990401,100,92.4,0,0,0,0,0,0,0,0,0
0,d_18990501,100,100,5.7,0,0,0,0,0,0,0,0
0,d_18990601,100,100,22.5,0,0,0,0,0,0,0,0
0,d_18990701,100,100,5.5,0,0,0,0,0,0,0,0
0,d_18990801,100,37,0,0,0,0,0,0,0,0,0
86.1,d_18990901,13.9,0,0,0,0,0,0,0,0,0,0
88.2,d_18991001,11.8,0,0,0,0,0,0,0,0,0,0
45.3,d_18991101,0,0,0,0,0,0,54.8,7.2,0,0,0
83.9,d_18991201,0,0,0,0,0,0,16.1,0,0,0,0
100,d_19000101,0,0,0,0,0,0,0,0,0,0,0
8.3,d_19000201,91.7,0,0,0,0,0,0,0,0,0,0
0,d_19000301,100,39.6,0,0,0,0,0,0,0,0,0
0,d_19000401,100,71.7,0,0,0,0,0,0,0,0,0
2.1,d_19000501,97.9,0,0,0,0,0,0,0,0,0,0
4.8,d_19000601,95.2,0,0,0,0,0,0,0,0,0,0
0,d_19000701,100,90.5,0,0,0,0,0,0,0,0,0
0,d_19000801,100,97.6,0,0,0,0,0,0,0,0,0
0,d_19000901,100,77.2,0,0,0,0,0,0,0,0,0
0,d_19001001,100,90.7,0,0,0,0,0,0,0,0,0
0,d_19001101,0,0,0,0,0,0,100,95,9.2,0,0
1.8,d_19001201,0,0,0,0,0,0,98.1,65.3,0,0,0
0,d_19010101,0,0,0,0,0,0,100,82.7,0.9,0,0
16.6,d_19010201,0,0,0,0,0,0,83.4,49.8,0,0,0
72.5,d_19010301,0,0,0,0,0,0,27.5,0,0,0,0
62.1,d_19010401,0,0,0,0,0,0,37.9,0.4,0,0,0
57.7,d_19010501,0,0,0,0,0,0,42.3,6.6,0,0,0
55.4,d_19010601,0,0,0,0,0,0,44.5,7.7,0,0,0
46.3,d_19010701,0,0,0,0,0,0,53.7,10.2,0,0,0
100,d_19010801,0,0,0,0,0,0,0,0,0,0,0
93.6,d_19010901,0,0,0,0,0,0,6.4,0,0,0,0
100,d_19011001,0,0,0,0,0,0,0,0,0,0,0
100,d_19011101,0,0,0,0,0,0,0,0,0,0,0
100,d_19011201,0,0,0,0,0,0,0,0,0,0,0
1.1,d_19020101,98.8,35.8,0,0,0,0,0,0,0,0,0
95.5,d_19020201,4.5,0,0,0,0,0,0,0,0,0,0
100,d_19020301,0,0,0,0,0,0,0,0,0,0,0
100,d_19020401,0,0,0,0,0,0,0,0,0,0,0
97.4,d_19020501,2.6,0,0,0,0,0,0,0,0,0,0
82.9,d_19020601,17.1,0,0,0,0,0,0,0,0,0,0
0,d_19020701,100,2.1,0,0,0,0,0,0,0,0,0
1.2,d_19020801,98.8,0,0,0,0,0,0,0,0,0,0
100,d_19020901,0,0,0,0,0,0,0,0,0,0,0
96.8,d_19021001,0,0,0,0,0,0,3.2,0,0,0,0
13.8,d_19021101,0,0,0,0,0,0,86.2,0,0,0,0
86.5,d_19021201,0,0,0,0,0,0,13.5,0,0,0,0
100,d_19030101,0,0,0,0,0,0,0,0,0,0,0
88.3,d_19030201,11.7,0,0,0,0,0,0,0,0,0,0
