date,sample,rep,species,obs,fresh.mass.harvest,fresh.mass.saturated,fresh.mass,dry.mass,water.potential,leaf.area
4/5/22,2009,,blue,1,,2.1438,2.1438,0.816,-0.45,57.476
4/5/22,2009,,blue,2,,2.1438,2.1095,0.816,-0.7,57.476
4/5/22,2009,,blue,3,,2.1438,2.0481,0.816,-0.9,57.476
4/5/22,2009,,blue,4,,2.1438,2.0128,0.816,-1.125,57.476
4/5/22,2009,,blue,5,,2.1438,1.9768,0.816,-1.5,57.476
4/5/22,2009,,blue,6,,2.1438,1.9468,0.816,-1.8,57.476
4/5/22,2009,,blue,7,,2.1438,1.9138,0.816,-2.1,57.476
4/5/22,2009,,blue,8,,2.1438,1.8808,0.816,-2.25,57.476
4/5/22,2009,,blue,9,,2.1438,1.8138,0.816,-2.4,57.476
4/5/22,2009,,blue,10,,2.1438,1.7688,0.816,-2.6,57.476
4/5/22,2009,,blue,11,,2.1438,1.7218,0.816,-2.7,57.476
5/3/22,2009,a,blue,1,,3.1475,3.1475,0.4183,-0.305,21.988
5/3/22,2009,a,blue,2,,3.1475,3.1357,0.4183,-0.45,21.988
5/3/22,2009,a,blue,3,,3.1475,3.1276,0.4183,-0.653,21.988
5/3/22,2009,a,blue,4,,3.1475,3.1197,0.4183,-0.791,21.988
5/3/22,2009,a,blue,5,,3.1475,3.1149,0.4183,-0.75,21.988
5/3/22,2009,a,blue,6,,3.1475,3.1109,0.4183,-0.868,21.988
5/3/22,2009,a,blue,7,,3.1475,3.1022,0.4183,-0.925,21.988
5/3/22,2009,a,blue,8,,3.1475,3.0966,0.4183,-1.341,21.988
5/3/22,2009,a,blue,9,,3.1475,3.0875,0.4183,-1.557,21.988
5/3/22,2009,a,blue,10,,3.1475,3.0782,0.4183,-2.404,21.988
5/3/22,2009,a,blue,11,,3.1475,3.0724,0.4183,-2.288,21.988
5/3/22,2009,a,blue,12,,3.1475,3.0636,0.4183,-2.628,21.988
5/3/22,2009,a,blue,13,,3.1475,3.0513,0.4183,-3.137,21.988
5/3/22,2009,a,blue,14,,3.1475,3.0356,0.4183,-3.808,21.988
5/3/22,2009,b,blue,1,,4.1029,4.1029,0.9304,-0.176,51.735
5/3/22,2009,b,blue,2,,4.1029,4.07542,0.9304,-0.201,51.735
5/3/22,2009,b,blue,3,,4.1029,4.0564,0.9304,-0.382,51.735
5/3/22,2009,b,blue,4,,4.1029,4.0422,0.9304,-0.445,51.735
5/3/22,2009,b,blue,5,,4.1029,4.031,0.9304,-0.45,51.735
5/3/22,2009,b,blue,6,,4.1029,4.0159,0.9304,-0.498,51.735
5/3/22,2009,b,blue,7,,4.1029,4.0045,0.9304,-0.713,51.735
5/3/22,2009,b,blue,8,,4.1029,3.9918,0.9304,-0.773,51.735
5/3/22,2009,b,blue,9,,4.1029,3.9786,0.9304,-0.76,51.735
5/3/22,2009,b,blue,10,,4.1029,3.9733,0.9304,-0.925,51.735
5/3/22,2009,b,blue,11,,4.1029,3.9537,0.9304,-1.298,51.735
5/3/22,2009,b,blue,12,,4.1029,3.9321,0.9304,-1.521,51.735
5/3/22,2009,b,blue,13,,4.1029,3.9133,0.9304,-1.871,51.735
5/3/22,2009,b,blue,14,,4.1029,3.8923,0.9304,-2.27,51.735
5/3/22,2009,b,blue,15,,4.1029,3.8869,0.9304,-2.401,51.735
5/3/22,2009,b,blue,16,,4.1029,3.8697,0.9304,-2.58,51.735
5/3/22,2009,b,blue,17,,4.1029,3.8581,0.9304,-2.763,51.735
5/3/22,2009,b,blue,18,,4.1029,3.8438,0.9304,-2.959,51.735
5/3/22,2010,,blue,1,,3.3477,3.3477,0.4751,-0.921,25.405
5/3/22,2010,,blue,2,,3.3477,3.3452,0.4751,-1.008,25.405
5/3/22,2010,,blue,3,,3.3477,3.3399,0.4751,-1.072,25.405
5/3/22,2010,,blue,4,,3.3477,3.3309,0.4751,-1.192,25.405
5/3/22,2010,,blue,5,,3.3477,3.3186,0.4751,-1.752,25.405
5/3/22,2010,,blue,6,,3.3477,3.3107,0.4751,-2.128,25.405
5/3/22,2010,,blue,7,,3.3477,3.3026,0.4751,-2.527,25.405
5/3/22,2010,,blue,8,,3.3477,3.2966,0.4751,-2.912,25.405
5/3/22,2010,,blue,9,,3.3477,3.2864,0.4751,-3.361,25.405
5/3/22,2010,,blue,10,,3.3477,3.2748,0.4751,-3.77,25.405
5/26/22,2301,,live,1,,2.5506,2.5506,1.4771,-1.3,
5/26/22,2301,,live,2,,2.5506,2.536,1.4771,-1.338,
5/26/22,2301,,live,3,,2.5506,2.4944,1.4771,-1.432,
5/26/22,2301,,live,4,,2.5506,2.4808,1.4771,-1.581,
5/26/22,2301,,live,5,,2.5506,2.4687,1.4771,-1.692,
5/26/22,2301,,live,6,,2.5506,2.4548,1.4771,-1.93,
5/26/22,2301,,live,7,,2.5506,2.4433,1.4771,-2.058,
5/26/22,2301,,live,8,,2.5506,2.4269,1.4771,-2.341,
5/26/22,2301,,live,9,,2.5506,2.4151,1.4771,-2.611,
5/26/22,2301,,live,10,,2.5506,2.397,1.4771,-3.09,
5/26/22,2301,,live,11,,2.5506,2.3739,1.4771,-3.645,
5/26/22,2301,,live,12,,2.5506,2.5605,1.4771,-3.862,
5/26/22,2301,,live,13,,2.5506,2.5575,1.4771,-4.075,
5/26/22,2331,,live,1,,3.3044,3.3044,2.098,-1.21,59.816
5/26/22,2331,,live,2,,3.3044,3.3024,2.098,-2.347,59.816
5/26/22,2331,,live,3,,3.3044,3.2765,2.098,-2.45,59.816
5/26/22,2331,,live,4,,3.3044,3.2502,2.098,-2.442,59.816
5/26/22,2331,,live,5,,3.3044,3.2095,2.098,-2.548,59.816
5/26/22,2331,,live,6,,3.3044,3.1797,2.098,-2.78,59.816
5/26/22,2331,,live,7,,3.3044,3.1532,2.098,-3.518,59.816
5/26/22,2331,,live,8,,3.3044,3.13,2.098,-4.091,59.816
5/26/22,2331,,live,9,,3.3044,3.1181,2.098,-4.496,59.816
4/1/22,2343,1,blue,1,,2.1921,2.1921,0.9167,-0.177,47.324
4/1/22,2343,1,blue,2,,2.1921,2.1545,0.9167,-1.18,47.324
4/1/22,2343,1,blue,3,,2.1921,2.142,0.9167,-1.39,47.324
4/1/22,2343,1,blue,4,,2.1921,2.1239,0.9167,-1.57,47.324
4/1/22,2343,1,blue,5,,2.1921,2.0918,0.9167,-1.82,47.324
4/1/22,2343,1,blue,6,,2.1921,2.0746,0.9167,-2.22,47.324
4/1/22,2343,1,blue,7,,2.1921,2.0326,0.9167,-2.57,47.324
4/1/22,2343,1,blue,8,,2.1921,1.8872,0.9167,-3.25,47.324
4/1/22,2343,2,blue,1,,1.8473,1.8473,0.745,-0.33,41.018
4/1/22,2343,2,blue,2,,1.8473,1.8221,0.745,-0.47,41.018
4/1/22,2343,2,blue,3,,1.8473,1.8114,0.745,-0.57,41.018
4/1/22,2343,2,blue,4,,1.8473,1.7922,0.745,-0.73,41.018
4/1/22,2343,2,blue,5,,1.8473,1.7728,0.745,-1.02,41.018
4/1/22,2343,2,blue,6,,1.8473,1.7466,0.745,-1.54,41.018
4/1/22,2343,2,blue,7,,1.8473,1.7166,0.745,-2.04,41.018
4/1/22,2343,2,blue,8,,1.8473,1.69,0.745,-2.31,41.018
4/1/22,2343,2,blue,9,,1.8473,1.6659,0.745,-2.43,41.018
4/1/22,2343,2,blue,10,,1.8473,1.6016,0.745,-2.8,41.018
4/1/22,2343,2,blue,11,,1.8473,1.5736,0.745,-2.87,41.018
4/5/22,2343,,blue,1,,1.175,1.175,0.483,-0.4,36.579
4/5/22,2343,,blue,2,,1.175,1.1696,0.483,-0.45,36.579
4/5/22,2343,,blue,3,,1.175,1.1596,0.483,-0.8,36.579
4/5/22,2343,,blue,4,,1.175,1.1485,0.483,-1.1,36.579
4/5/22,2343,,blue,5,,1.175,1.1415,0.483,-1.5,36.579
4/5/22,2343,,blue,6,,1.175,1.1195,0.483,-2,36.579
4/5/22,2343,,blue,7,,1.175,1.0985,0.483,-2.25,36.579
