wavelength,nm
sample_1,377.195648
sample_2,382.205658
sample_3,387.215637
sample_4,392.225647
sample_5,397.225647
sample_6,402.235657
sample_7,407.245636
sample_8,412.255646
sample_9,417.265656
sample_10,422.275635
sample_11,427.285645
sample_12,432.295654
sample_13,437.295654
sample_14,442.305664
sample_15,447.315643
sample_16,452.325653
sample_17,457.335663
sample_18,462.345642
sample_19,467.355652
sample_20,472.355652
sample_21,477.365662
sample_22,482.375641
sample_23,487.385651
sample_24,492.39566
sample_25,497.40564
sample_26,502.415649
sample_27,507.425659
sample_28,512.425659
sample_29,517.435669
sample_30,522.445679
sample_31,527.455627
sample_32,532.465637
sample_33,537.475647
sample_34,542.485657
sample_35,547.485657
sample_36,552.495667
sample_37,557.505676
sample_38,562.515625
sample_39,567.525635
sample_40,572.535645
sample_41,577.545654
sample_42,582.555664
sample_43,587.555664
sample_44,592.565674
sample_45,597.575623
sample_46,602.585632
sample_47,607.595642
sample_48,612.605652
sample_49,617.615662
sample_50,622.615662
sample_51,627.625671
sample_52,632.63562
sample_53,637.64563
sample_54,642.65564
sample_55,647.665649
sample_56,652.675659
sample_57,657.685669
sample_58,662.685669
sample_59,667.695679
sample_60,672.705627
sample_61,677.715637
sample_62,682.725647
sample_63,687.735657
sample_64,692.745667
sample_65,697.745667
sample_66,702.755676
sample_67,707.765625
sample_68,712.775635
sample_69,717.785645
sample_70,722.795654
sample_71,727.805664
sample_72,732.815674
sample_73,737.815674
sample_74,742.825623
sample_75,747.835632
sample_76,752.845642
sample_77,757.855652
sample_78,762.865662
sample_79,767.875671
sample_80,772.875671
sample_81,777.88562
sample_82,782.89563
sample_83,787.90564
sample_84,792.915649
sample_85,797.925659
sample_86,802.935669
sample_87,807.945679
sample_88,812.945679
sample_89,817.955627
sample_90,822.965637
sample_91,827.975647
sample_92,832.985657
sample_93,837.995667
sample_94,843.005676
sample_95,848.005676
sample_96,853.015625
sample_97,858.025635
sample_98,863.035645
sample_99,868.045654
sample_100,873.055664
sample_101,878.065674
sample_102,883.075623
sample_103,888.075623
sample_104,893.085632
sample_105,898.095642
sample_106,903.105652
sample_107,908.115662
sample_108,913.125671
sample_109,918.13562
sample_110,923.14563
sample_111,928.14563
sample_112,933.15564
sample_113,938.165649
sample_114,943.175659
sample_115,948.185669
sample_116,953.195679
sample_117,958.205627
sample_118,963.205627
sample_119,968.215637
sample_120,973.225647
sample_121,978.235657
sample_122,983.245667
sample_123,988.255676
sample_124,993.265625
sample_125,998.275635
sample_126,1003.275635
sample_127,1008.285645
sample_128,1013.295654
sample_129,1018.305664
sample_130,1023.315674
sample_131,1028.325684
sample_132,1033.335693
sample_133,1038.335693
sample_134,1043.345703
sample_135,1048.355591
sample_136,1053.365601
sample_137,1058.37561
sample_138,1063.38562
sample_139,1068.39563
sample_140,1073.40564
sample_141,1078.40564
sample_142,1083.415649
sample_143,1088.425659
sample_144,1093.435669
sample_145,1098.445679
sample_146,1103.455688
sample_147,1108.465698
sample_148,1113.465698
sample_149,1118.475708
sample_150,1123.485596
sample_151,1128.495605
sample_152,1133.505615
sample_153,1138.515625
sample_154,1143.525635
sample_155,1148.535645
sample_156,1153.535645
sample_157,1158.545654
sample_158,1163.555664
sample_159,1168.565674
sample_160,1173.575684
sample_161,1178.585693
sample_162,1183.595703
sample_163,1188.595703
sample_164,1193.605591
sample_165,1198.615601
sample_166,1203.62561
sample_167,1208.63562
sample_168,1213.64563
sample_169,1218.65564
sample_170,1223.665649
sample_171,1228.665649
sample_172,1233.675659
sample_173,1238.685669
sample_174,1243.695679
sample_175,1248.705688
sample_176,1253.715698
sample_177,1258.725708
sample_178,1263.725708
sample_179,1268.735596
sample_180,1273.745605
sample_181,1278.755615
sample_182,1283.765625
sample_183,1288.775635
sample_184,1293.785645
sample_185,1298.795654
sample_186,1303.795654
sample_187,1308.805664
sample_188,1313.815674
sample_189,1318.825684
sample_190,1323.835693
sample_191,1328.845703
sample_192,1333.855591
sample_193,1338.855591
sample_194,1343.865601
sample_195,1348.87561
sample_196,1353.88562
sample_197,1358.89563
sample_198,1363.90564
sample_199,1368.915649
sample_200,1373.925659
sample_201,1378.925659
sample_202,1383.935669
sample_203,1388.945679
sample_204,1393.955688
sample_205,1398.965698
sample_206,1403.975708
sample_207,1408.985596
sample_208,1413.985596
sample_209,1418.995605
sample_210,1424.005615
sample_211,1429.015625
sample_212,1434.025635
sample_213,1439.035645
sample_214,1444.045654
sample_215,1449.055664
sample_216,1454.055664
sample_217,1459.065674
sample_218,1464.075684
sample_219,1469.085693
sample_220,1474.095703
sample_221,1479.105591
sample_222,1484.115601
sample_223,1489.115601
sample_224,1494.12561
sample_225,1499.13562
sample_226,1504.14563
sample_227,1509.15564
sample_228,1514.165649
sample_229,1519.175659
sample_230,1524.185669
sample_231,1529.185669
sample_232,1534.195679
sample_233,1539.205688
sample_234,1544.215698
sample_235,1549.225708
sample_236,1554.235596
sample_237,1559.245605
sample_238,1564.245605
sample_239,1569.255615
sample_240,1574.265625
sample_241,1579.275635
sample_242,1584.285645
sample_243,1589.295654
sample_244,1594.305664
sample_245,1599.315674
sample_246,1604.315674
sample_247,1609.325684
sample_248,1614.335693
sample_249,1619.345703
sample_250,1624.355591
sample_251,1629.365601
sample_252,1634.37561
sample_253,1639.37561
sample_254,1644.38562
sample_255,1649.39563
sample_256,1654.40564
sample_257,1659.415649
sample_258,1664.425659
sample_259,1669.435669
sample_260,1674.445679
sample_261,1679.445679
sample_262,1684.455688
sample_263,1689.465698
sample_264,1694.475708
sample_265,1699.485596
sample_266,1704.495605
sample_267,1709.505615
sample_268,1714.505615
sample_269,1719.515625
sample_270,1724.525635
sample_271,1729.535645
sample_272,1734.545654
sample_273,1739.555664
sample_274,1744.565674
sample_275,1749.575684
sample_276,1754.575684
sample_277,1759.585693
sample_278,1764.595703
sample_279,1769.605591
sample_280,1774.615601
sample_281,1779.62561
sample_282,1784.63562
sample_283,1789.63562
sample_284,1794.64563
sample_285,1799.65564
sample_286,1804.665649
sample_287,1809.675659
sample_288,1814.685669
sample_289,1819.695679
sample_290,1824.705688
sample_291,1829.705688
sample_292,1834.715698
sample_293,1839.725708
sample_294,1844.735596
sample_295,1849.745605
sample_296,1854.755615
sample_297,1859.765625
sample_298,1864.775635
sample_299,1869.775635
sample_300,1874.785645
sample_301,1879.795654
sample_302,1884.805664
sample_303,1889.815674
sample_304,1894.825684
sample_305,1899.835693
sample_306,1904.835693
sample_307,1909.845703
