,SHIFT_ID,LA_Tree_ID,lat,lon
0,SRC-027,2027,34.69055685,-120.0469638
1,SRL-031,2031,34.68468939,-120.0521937
2,SRL-031,2031,34.68468741,-120.0521366
3,SRL-030,2030,34.68512582,-120.0516877
4,SRL-029,2029,34.68525345,-120.0513531
5,SRL-028,2028,34.68538823,-120.0514013
6,SRL-026,2026,34.68547359,-120.0511304
7,SRL-027,2027,34.68542236,-120.0509127
8,SRL-020,2020,34.68627607,-120.0508274
9,SRL-025,2025,34.68637229,-120.0509857
10,SRL-021,2021,34.68663937,-120.0508627
11,SRL-022,2022,34.68695965,-120.0509703
12,SRL-023,2023,34.6871401,-120.0510167
13,SRL-024,2024,34.68727688,-120.050952
14,SRC-019,2011,34.6898484,-120.0474782
15,SRC-018,2015,34.68989815,-120.0476933
16,SRC-015,1478,34.68985451,-120.0478084
17,SRC-020,2383,34.68944363,-120.04755
18,SRC-016,2382,34.6899526,-120.048024
19,SRC-017,2010,34.69004474,-120.0480724
20,SRL-048,2369,34.69042853,-120.0473504
21,SRL-047,2366,34.69047637,-120.0473498
22,SRL-046,2365,34.69052037,-120.0473471
23,SRL-043,2360,34.69061177,-120.0473456
24,SRC-025,2354,34.6906587,-120.0475616
25,SRC-025,2354,34.69061371,-120.0475623
26,SRC-026,2352,34.69057234,-120.0476733
27,SRC-024,2377,34.6907996,-120.0477743
28,SRC-021,2378,34.6906715,-120.0479429
29,SRC-022,2379,34.69080624,-120.0480482
30,SRC-023,2380,34.69099024,-120.0480944
31,SRL-035,2331,34.69103296,-120.0461828
32,SRC-031,2301,34.69107971,-120.0462351
33,SRL-061,2373,34.69112904,-120.0464524
34,SRL-049,2370,34.69166444,-120.0462138
35,SRLX050,2371,34.6915672,-120.0461118
36,SRLX050,2371,34.69156963,-120.0460555
37,SRL-051,2372,34.69147963,-120.0461149
38,SRA-077,2375,34.69185633,-120.0466441
39,SRA-066,2345,34.69162601,-120.0465439
40,SRC-029,2009,34.69181659,-120.0469197
41,SRL-039,2347,34.69167859,-120.0468168
42,SRL-038,2346,34.69163159,-120.0468718
43,SRC-028,2343,34.69149954,-120.0468186
44,SRL-015,1478,34.69630772,-120.0500321
45,SRL-016,2016,34.6965447,-120.0504075
46,SRL-016,2016,34.69654092,-120.0503491
47,SRL-011,2005,34.6974386,-120.050265
48,SRL-010,2004,34.69742968,-120.049936
49,SRL-017,2012,34.69703925,-120.0504432
50,SRL-018,2015,34.69763579,-120.0508557
51,SRL-014,2006,34.69798442,-120.0504613
52,SRL-013,2007,34.69821664,-120.0506206
53,SRL-013,2007,34.69821333,-120.0505622
54,SRL-012,2008,34.69839719,-120.0507197
55,SRL-001,2087,34.71827854,-120.0415579
56,SRL-001,2087,34.71827474,-120.041499
57,SRL-002,2088,34.71781201,-120.0410277
58,SRL-007,2086,34.71793625,-120.0406423
59,SRL-009,2085,34.71807882,-120.0408553
60,SRL-004,2092,34.71802199,-120.040369
61,SRL-004,2092,34.71801916,-120.0403111
62,SRL-005,2091,34.71783806,-120.0401506
63,SRL-005,2091,34.71783246,-120.0400957
64,SRL-005,2091,34.7177906,-120.0401472
65,SRL-005,2091,34.71778937,-120.0400967
66,SRL-006,2090,34.71838255,-120.0403498
67,SRL-006,2090,34.71838124,-120.0402959
68,SRL-003,2093,34.71834151,-120.0405716
69,SRL-008,2089,34.71861933,-120.0408911
70,SRL-008,2089,34.71861986,-120.0408348
71,SRL-008,2089,34.71857286,-120.0408893
72,SRL-008,2089,34.71857628,-120.0408352
73,SRP-040,2040,34.74213639,-120.0404871
74,SRP-041,2041,34.74218807,-120.0407028
75,SRP-042,2042,34.74300514,-120.040948
76,SRP-044,2044,34.74300496,-120.0409991
77,SRP-043,2043,34.74300719,-120.0410518
78,SRP-049,2049,34.74332646,-120.0412637
79,SRP-048,2048,34.74337018,-120.0412105
80,SRP-047,2047,34.7434575,-120.0410409
81,SRP-046,2046,34.74341024,-120.0409875
82,SRP-045,2045,34.74336799,-120.0410424
83,SRP-050,2050,34.74254041,-120.0329917
84,SRP-051,2051,34.74240771,-120.0331067
85,SRP-052,2052,34.74231377,-120.0329459
