 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	3.859	7.875	7.943	7.875	7.943	9.828	6.017	7.084	3.513	1.723	3.203	1.534	176.492	0.502	3.519	716	938	176.577	1.652	2.088	0.479	0.901
2	4.821	14.666	8.493	14.666	8.493	11.501	12.983	7.387	3.765	2.084	3.629	1.692	159.116	0.458	4.071	1547	925	157.034	1.916	2.145	0.466	0.891
3	2.808	7.827	11.197	7.827	11.197	7.835	6.403	10.521	3.017	1.378	2.757	1.297	4.136	0.575	3.034	762	1355	6.042	1.330	2.126	0.470	0.929
4	1.543	14.491	11.927	14.491	11.927	6.246	13.059	11.387	2.479	1.067	2.306	0.852	12.579	0.497	2.536	1554	1478	15.372	0.936	2.707	0.369	0.915
5	3.877	7.973	14.018	7.973	14.018	9.765	6.286	13.160	3.899	1.597	3.487	1.416	172.433	0.511	3.931	748	1639	172.753	1.597	2.463	0.406	0.921
6	4.723	14.646	15.430	14.646	15.430	11.625	12.798	14.445	4.387	1.866	3.973	1.514	168.796	0.439	4.479	1523	1773	168.311	1.741	2.625	0.381	0.883
7	4.608	7.892	17.215	7.892	17.215	11.258	5.756	16.244	3.882	2.067	3.456	1.698	169.484	0.457	3.924	685	2004	171.627	1.985	2.036	0.491	0.884
8	4.795	14.124	18.830	14.124	18.830	11.276	11.672	17.992	4.345	1.731	3.949	1.546	0.368	0.474	4.348	1389	2256	2.437	1.731	2.554	0.392	0.919
