 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.528	255	255	255	2.531	3.389	2.531	3.389	11.507	1.277	1.605	2.445	3.244	2.906	1.984	113.825	0.430	3.450	224	192	111.879	2.101	1.465	0.683	0.847
2	1.663	255	255	255	8.791	3.031	8.791	3.031	8.183	7.765	2.017	1.941	1.916	2.246	0.943	140.078	0.312	2.526	930	241	130.953	1.038	2.381	0.420	0.807
3	1.026	255	255	255	11.646	3.382	11.646	3.382	5.476	11.151	2.319	0.891	2.042	1.722	0.759	96.162	0.430	2.042	1398	276	91.179	0.875	2.270	0.441	0.844
4	1.602	255	255	255	6.040	3.927	6.040	3.927	6.300	5.361	2.773	1.378	2.000	1.779	1.146	114.799	0.507	2.028	723	330	99.540	1.264	1.551	0.645	0.841
5	0.129	255	255	255	5.519	4.620	5.519	4.620	1.587	5.235	4.412	0.546	0.429	0.555	0.297	141.355	0.646	0.602	623	530	155.225	0.312	1.867	0.536	0.913
6	0.218	255	255	255	9.300	5.274	9.300	5.274	2.263	8.916	5.034	0.807	0.454	0.709	0.391	3.045	0.534	0.810	1061	645	5.356	0.434	1.815	0.551	0.841
7	0.586	255	255	255	12.342	6.841	12.342	6.841	4.204	12.017	6.244	0.639	1.529	1.394	0.535	84.577	0.416	1.574	1445	925	73.887	0.610	2.607	0.384	0.843
8	2.713	255	255	255	6.781	8.037	6.781	8.037	8.903	6.059	6.420	1.462	2.824	2.402	1.438	95.707	0.430	2.895	780	764	107.225	1.462	1.670	0.599	0.858
9	5.597	255	255	255	3.472	8.462	3.472	8.462	13.349	1.958	6.891	2.731	3.370	3.376	2.111	108.860	0.395	3.772	239	822	122.168	2.377	1.599	0.625	0.856
10	0.890	255	255	255	9.353	8.108	9.353	8.108	4.576	8.815	7.471	1.008	1.412	1.187	0.955	97.161	0.534	1.483	1100	890	108.846	1.004	1.243	0.804	0.877
11	0.446	255	255	255	12.198	9.781	12.198	9.781	3.300	11.782	9.370	0.790	1.050	0.919	0.618	58.958	0.515	1.212	1404	1239	56.310	0.710	1.486	0.673	0.797
12	0.769	255	255	255	9.315	10.832	9.315	10.832	4.672	8.504	10.328	1.504	1.319	1.630	0.600	38.125	0.442	1.906	1012	1382	39.094	0.661	2.716	0.368	0.877
