 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.252	15.760	3.579	15.760	3.579	12.950	14.546	2.134	2.294	3.714	2.883	1.878	109.379	0.319	3.847	1797	255	105.584	2.162	1.535	0.651	0.786
2	9.904	3.580	4.744	3.580	4.744	17.860	1.538	2.588	3.866	5.067	3.913	3.223	68.821	0.390	5.141	393	313	102.173	3.652	1.214	0.824	0.789
3	3.746	7.937	4.368	7.937	4.368	10.538	6.782	2.672	2.218	3.025	2.407	1.981	81.236	0.424	3.029	918	318	92.862	2.122	1.215	0.823	0.836
4	8.513	12.557	7.035	12.557	7.035	16.723	10.731	3.975	3.210	5.235	4.126	2.627	85.355	0.383	5.298	1436	1088	76.890	3.020	1.570	0.637	0.808
5	2.985	8.567	9.425	8.567	9.425	9.163	7.807	8.059	1.639	3.420	2.729	1.393	82.270	0.447	3.429	969	1366	85.924	1.590	1.960	0.510	0.841
6	9.245	16.785	10.771	16.785	10.771	20.600	14.622	8.269	3.630	5.697	4.369	2.694	107.254	0.274	6.028	1910	986	109.546	3.405	1.622	0.617	0.752
7	3.731	4.032	11.044	4.032	11.044	10.391	3.050	8.941	1.975	3.496	2.673	1.777	86.545	0.434	3.517	483	1479	82.586	1.945	1.504	0.665	0.802
8	8.763	13.438	13.827	13.438	13.827	17.383	12.008	10.655	2.824	5.479	4.357	2.561	87.432	0.364	5.480	1591	1268	91.318	2.746	1.701	0.588	0.855
9	10.501	8.770	17.106	8.770	17.106	22.032	7.059	14.084	3.706	5.311	4.088	3.271	78.296	0.272	5.423	916	1676	102.529	3.702	1.250	0.800	0.798
10	6.916	4.343	17.739	4.343	17.739	14.821	2.933	15.555	3.546	4.471	4.332	2.033	118.955	0.396	5.142	456	1851	119.791	2.191	2.131	0.469	0.850
11	13.367	13.941	21.063	13.941	21.063	21.109	12.160	17.454	3.697	6.462	5.199	3.274	85.389	0.377	6.486	1631	2077	94.905	3.455	1.588	0.630	0.863
