 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	0.375	8.592	10.883	8.592	10.883	3.411	7.890	10.633	1.300	0.608	1.227	0.389	17.984	0.404	1.407	935	1327	22.567	0.409	3.157	0.317	0.864
2	0.402	12.868	11.671	12.868	11.671	3.523	12.422	11.215	1.122	0.802	1.023	0.500	34.956	0.407	1.314	1472	1414	31.342	0.577	2.044	0.489	0.787
3	0.489	4.521	12.245	4.521	12.245	4.557	4.025	11.451	0.810	1.730	1.501	0.414	70.387	0.296	1.852	478	1562	68.344	0.507	3.624	0.276	0.771
4	0.370	6.029	12.435	6.029	12.435	3.035	5.646	12.025	0.684	1.089	0.837	0.563	98.463	0.505	1.091	712	1554	86.009	0.639	1.486	0.673	0.807
5	0.594	7.821	14.031	7.821	14.031	4.546	7.173	13.654	1.730	0.700	1.358	0.557	173.608	0.361	1.743	850	1659	173.047	0.699	2.439	0.410	0.781
6	1.115	15.681	15.169	15.681	15.169	6.869	15.198	14.186	0.970	2.405	1.861	0.763	74.467	0.297	2.460	1842	1966	77.919	0.820	2.440	0.410	0.781
7	0.646	10.084	16.288	10.084	16.288	4.947	9.215	16.025	2.025	0.506	1.770	0.465	179.323	0.332	2.028	1092	1946	3.100	0.506	3.809	0.263	0.811
8	0.707	5.280	18.009	5.280	18.009	5.487	4.987	17.080	0.574	2.236	1.835	0.491	93.700	0.295	2.241	602	2024	93.886	0.529	3.738	0.268	0.821
9	0.253	6.958	17.691	6.958	17.691	2.858	6.591	17.350	0.835	0.684	0.916	0.352	138.960	0.390	0.998	783	2059	144.293	0.412	2.600	0.385	0.785
10	0.672	10.400	18.341	10.400	18.341	5.604	9.511	17.764	1.536	1.342	1.417	0.604	30.854	0.269	2.012	1127	2261	40.236	0.801	2.347	0.426	0.652
11	0.973	13.488	19.564	13.488	19.564	5.638	12.641	18.498	1.629	1.764	1.776	0.697	134.583	0.384	2.192	1500	2194	137.340	0.812	2.547	0.393	0.828
