 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1.160	10.255	5.747	10.255	5.747	6.511	9.671	4.751	1.089	2.203	1.857	0.795	88.614	0.344	2.244	1192	824	78.944	1.030	2.335	0.428	0.715
2	2.911	3.247	12.098	3.247	12.098	10.030	2.523	10.515	1.485	3.586	2.920	1.269	98.531	0.364	3.703	332	1246	104.923	1.474	2.301	0.435	0.810
3	1.282	8.229	11.833	8.229	11.833	6.635	7.595	10.869	1.241	2.160	1.835	0.890	98.550	0.366	2.171	956	1288	95.799	1.108	2.063	0.485	0.800
4	1.413	16.827	12.018	16.827	12.018	6.528	16.194	10.928	1.232	2.270	1.915	0.940	83.594	0.417	2.272	1996	1295	92.342	1.076	2.038	0.491	0.846
5	1.050	11.930	11.914	11.930	11.914	5.599	11.536	11.013	0.793	1.941	1.796	0.744	90.779	0.421	1.943	1415	1305	92.738	0.776	2.415	0.414	0.897
6	1.963	12.978	18.246	12.978	18.246	8.679	12.346	17.013	1.384	2.819	2.441	1.024	96.975	0.328	2.844	1474	2016	97.673	1.186	2.384	0.420	0.785
7	2.060	3.399	18.426	3.399	18.426	9.401	2.557	17.114	1.451	2.844	2.350	1.116	99.714	0.293	2.908	384	2028	102.060	1.321	2.105	0.475	0.793
8	2.068	7.407	18.461	7.407	18.461	8.387	6.734	17.131	1.300	2.700	2.272	1.159	97.648	0.369	2.740	869	2030	99.752	1.300	1.960	0.510	0.836
9	1.733	17.370	18.233	17.370	18.233	8.472	16.751	17.173	1.283	2.506	2.176	1.014	74.368	0.303	2.581	2014	2332	75.419	1.240	2.146	0.466	0.831
