 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.888	6.567	3.499	6.567	3.499	9.279	5.619	2.263	1.831	2.941	2.353	1.563	71.447	0.421	2.995	746	614	79.072	1.669	1.505	0.664	0.863
2	3.254	2.144	3.752	2.144	3.752	9.016	1.322	2.305	1.636	3.305	2.905	1.426	97.801	0.503	3.322	232	272	95.856	1.547	2.037	0.491	0.885
3	2.645	9.630	4.697	9.630	4.697	7.573	8.839	3.322	1.576	2.746	2.574	1.309	105.627	0.580	2.806	1098	392	101.853	1.391	1.967	0.508	0.926
4	3.020	13.498	6.145	13.498	6.145	8.761	12.602	4.500	1.695	3.102	2.632	1.461	83.505	0.494	3.111	1558	897	85.625	1.693	1.802	0.555	0.865
5	4.283	6.538	9.494	6.538	9.494	11.002	5.653	7.288	1.831	3.890	3.260	1.673	91.008	0.445	3.908	740	860	95.599	1.789	1.949	0.513	0.872
6	2.783	2.453	9.394	2.453	9.394	7.961	1.661	8.059	1.593	2.890	2.498	1.418	97.853	0.552	2.993	261	951	105.099	1.542	1.762	0.568	0.890
7	1.604	10.774	9.017	10.774	9.017	5.899	10.186	8.085	1.186	2.186	1.852	1.103	87.965	0.579	2.194	1265	1212	85.126	1.181	1.679	0.595	0.903
8	1.263	9.849	12.916	9.849	12.916	5.617	9.322	12.068	1.102	1.890	1.616	0.995	82.004	0.503	1.922	1151	1647	79.582	1.071	1.625	0.615	0.893
9	2.930	2.477	13.850	2.477	13.850	9.501	1.703	12.432	1.610	3.373	2.784	1.340	85.120	0.408	3.432	244	1865	79.328	1.532	2.079	0.481	0.820
10	2.104	6.309	14.686	6.309	14.686	7.078	5.644	13.339	1.297	2.585	2.352	1.139	77.104	0.528	2.648	728	1879	77.431	1.255	2.065	0.484	0.926
