 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.304	2.680	2.893	2.680	2.893	9.956	1.831	1.246	1.720	3.483	3.300	1.661	95.415	0.546	3.537	281	148	100.771	1.715	1.987	0.503	0.942
2	6.369	6.107	3.727	6.107	3.727	12.602	4.975	1.271	2.297	4.500	3.945	2.056	90.180	0.504	4.512	719	681	85.907	2.221	1.919	0.521	0.921
3	3.225	10.210	4.266	10.210	4.266	8.751	9.407	2.780	1.576	3.415	2.947	1.393	96.071	0.529	3.418	1185	328	92.274	1.463	2.115	0.473	0.920
4	6.105	14.557	6.010	14.557	6.010	13.066	13.500	3.797	2.169	4.432	3.972	1.957	95.801	0.449	4.447	1684	448	94.700	2.169	2.029	0.493	0.920
5	4.982	2.922	9.600	2.922	9.600	11.149	1.941	7.483	1.941	4.127	3.671	1.728	81.998	0.504	4.155	328	1370	83.324	1.908	2.124	0.471	0.898
6	5.790	6.436	10.127	6.436	10.127	11.825	5.322	7.839	2.271	4.381	3.839	1.920	76.357	0.520	4.443	730	1442	80.448	2.042	1.999	0.500	0.920
7	4.566	9.693	9.888	9.693	9.888	10.128	8.602	7.915	1.992	3.627	3.159	1.840	90.840	0.559	3.630	1148	1362	87.859	1.970	1.716	0.583	0.924
8	4.589	13.615	12.378	13.615	12.378	11.056	12.729	10.068	1.737	4.178	3.589	1.628	96.119	0.472	4.199	1587	1188	95.791	1.737	2.205	0.454	0.910
9	3.708	10.096	14.816	10.096	14.816	9.360	9.136	13.263	1.847	3.449	3.099	1.524	110.473	0.532	3.621	1125	1565	107.714	1.655	2.034	0.492	0.916
10	5.568	2.721	15.626	2.721	15.626	11.204	1.780	13.415	1.992	4.364	3.939	1.800	81.647	0.557	4.407	294	2098	82.041	1.961	2.189	0.457	0.930
11	6.853	6.424	15.540	6.424	15.540	12.473	5.119	13.432	2.593	4.203	4.165	2.095	113.504	0.553	4.704	620	1587	117.350	2.269	1.988	0.503	0.913
