 	Area	Mean	Min	Max
1	0.746	255	255	255
2	0.747	255	255	255
3	0.256	255	255	255
4	0.406	255	255	255
5	1.057	255	255	255
6	1.924	255	255	255
7	0.550	255	255	255
8	0.960	255	255	255
9	3.202	255	255	255
10	1.031	255	255	255
11	3.631	255	255	255
12	0.366	255	255	255
13	0.568	255	255	255
14	5.774	255	255	255
15	2.913	255	255	255
