 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.746	255	255	255	7.744	2.908	7.744	2.908	11.213	6.636	1.021	2.126	3.582	3.387	1.784	108.079	0.474	3.793	835	123	109.594	2.054	1.898	0.527	0.872
2	5.993	255	255	255	12.652	3.220	12.652	3.220	12.249	11.531	1.063	2.243	4.184	3.804	2.006	85.100	0.502	4.194	1489	627	85.996	2.179	1.896	0.527	0.882
3	4.427	255	255	255	2.604	3.679	2.604	3.679	10.761	1.556	1.808	2.000	3.749	3.389	1.664	76.616	0.480	3.852	254	664	76.688	1.840	2.037	0.491	0.870
4	1.704	255	255	255	5.839	6.832	5.839	6.832	6.540	5.180	5.707	1.464	2.159	1.786	1.215	104.637	0.501	2.175	672	682	96.852	1.373	1.469	0.681	0.858
5	2.207	255	255	255	2.409	8.543	2.409	8.543	7.374	1.682	7.289	1.481	2.628	2.238	1.255	80.249	0.510	2.646	251	1185	83.280	1.410	1.783	0.561	0.877
6	3.293	255	255	255	12.866	9.173	12.866	9.173	9.046	12.025	7.389	1.682	3.230	2.929	1.431	80.166	0.506	3.270	1510	1269	81.020	1.588	2.046	0.489	0.867
7	4.593	255	255	255	9.584	10.768	9.584	10.768	10.991	8.686	8.837	1.883	3.866	3.549	1.648	89.001	0.478	3.885	1092	1056	95.686	1.873	2.153	0.464	0.866
8	5.093	255	255	255	5.583	10.948	5.583	10.948	11.741	4.611	9.155	2.050	3.950	3.548	1.828	96.427	0.464	3.976	612	1094	96.646	1.997	1.942	0.515	0.868
