Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
B_2378_9.12.22_b1_y0_a.jpg,39,18.105,0.464,3.047,1.688,0.548,0.312,90.731,0.610,0.825,0.623,826.718,1674.590,101.579,0.340
B_2378_9.12.22_b1_y0_b.jpg,33,14.693,0.445,2.473,1.709,0.540,0.309,95.127,0.606,0.827,0.621,766.091,1770.242,100.614,0.340
