 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.006	5.672	9.232	5.672	9.232	7.083	5.013	7.830	1.430	2.426	1.969	1.298	99.206	0.503	2.433	677	920	94.614	1.389	1.517	0.659	0.874
2	0.520	8.714	9.197	8.714	9.197	4.035	8.340	8.494	0.774	1.285	1.113	0.595	63.404	0.401	1.310	1001	1149	78.763	0.668	1.870	0.535	0.816
3	5.587	8.720	12.934	8.720	12.934	10.647	7.702	10.715	2.085	4.051	3.621	1.965	86.852	0.619	4.051	1006	1735	89.639	2.052	1.843	0.543	0.951
4	3.995	11.373	13.166	11.373	13.166	9.455	10.383	11.311	2.008	3.149	2.669	1.906	89.174	0.562	3.241	1233	1699	76.329	2.008	1.400	0.714	0.893
5	3.185	5.281	13.359	5.281	13.359	8.146	4.485	11.506	1.583	3.191	2.836	1.430	96.491	0.603	3.211	619	1352	96.390	1.520	1.982	0.504	0.951
6	0.548	13.552	13.757	13.552	13.757	3.244	13.234	13.115	0.681	1.149	1.060	0.658	96.632	0.655	1.171	1572	1541	107.776	0.677	1.610	0.621	0.935
7	4.054	8.687	18.173	8.687	18.173	9.157	7.813	16.204	1.651	3.643	3.368	1.532	83.530	0.608	3.671	1009	2332	82.809	1.597	2.198	0.455	0.960
8	4.017	13.569	18.709	13.569	18.709	9.180	12.604	16.723	1.821	3.438	3.033	1.687	90.170	0.599	3.439	1606	2369	89.007	1.803	1.798	0.556	0.936
9	2.190	10.976	18.368	10.976	18.368	6.820	10.408	16.885	1.174	2.800	2.621	1.064	99.466	0.592	2.805	1270	1984	93.305	1.089	2.464	0.406	0.964
10	1.856	16.521	18.478	16.521	18.478	7.389	16.034	16.970	0.996	2.953	2.684	0.881	98.250	0.427	3.018	1893	1994	101.880	0.946	3.048	0.328	0.909
11	2.392	5.706	18.668	5.706	18.668	6.870	5.021	17.208	1.396	2.638	2.318	1.314	89.926	0.637	2.641	647	2022	92.401	1.395	1.765	0.567	0.937
