 	Area	Mean	Min	Max
1	1.050	255	255	255
2	1.618	255	255	255
3	2.268	255	255	255
4	2.047	255	255	255
5	3.000	255	255	255
6	0.834	255	255	255
7	1.848	255	255	255
8	2.808	255	255	255
9	2.607	255	255	255
10	2.597	255	255	255
11	2.414	255	255	255
12	0.655	255	255	255
13	1.721	255	255	255
14	2.344	255	255	255
15	2.771	255	255	255
16	1.106	255	255	255
17	0.107	255	255	255
