 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	7.069	3.933	4.796	3.933	4.796	12.590	2.664	2.076	2.496	4.765	3.980	2.261	90.344	0.560	4.803	417	247	97.237	2.444	1.760	0.568	0.888
2	4.945	12.827	4.668	12.827	4.668	9.800	11.773	2.664	2.025	3.731	3.243	1.942	90.303	0.647	3.740	1521	761	86.006	2.025	1.670	0.599	0.934
3	1.974	7.870	4.319	7.870	4.319	5.913	7.176	3.185	1.437	2.143	1.979	1.271	109.614	0.710	2.246	894	379	107.418	1.295	1.557	0.642	0.954
4	5.034	16.079	8.334	16.079	8.334	10.632	15.008	6.437	2.244	3.840	3.561	1.800	106.291	0.560	4.002	1883	766	106.342	1.926	1.979	0.505	0.889
5	2.742	7.612	8.499	7.612	8.499	7.309	6.857	7.008	1.479	2.807	2.485	1.405	89.733	0.645	2.808	901	1168	88.285	1.431	1.769	0.565	0.930
6	7.621	11.827	10.559	11.827	10.559	12.421	10.521	8.647	2.672	4.496	3.895	2.491	83.568	0.621	4.545	1359	1563	80.851	2.644	1.563	0.640	0.916
7	8.548	3.239	11.801	3.239	11.801	13.310	1.975	9.025	2.563	5.017	4.608	2.362	81.600	0.606	5.086	317	1668	78.950	2.483	1.951	0.513	0.941
8	8.541	7.766	13.941	7.766	13.941	13.546	6.370	11.328	2.756	4.933	4.268	2.548	98.477	0.585	4.951	907	1348	94.966	2.685	1.675	0.597	0.927
9	8.370	15.770	14.034	15.770	14.034	12.975	14.412	11.899	2.756	4.773	4.151	2.567	81.719	0.625	4.796	1830	1984	84.369	2.717	1.617	0.618	0.918
