 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.605	255	255	255	7.374	3.933	7.374	3.933	10.386	6.377	2.084	2.008	3.674	3.267	1.795	93.365	0.536	3.702	852	249	97.141	1.975	1.821	0.549	0.906
2	4.203	255	255	255	3.158	3.712	3.158	3.712	9.706	2.326	2.100	1.732	3.682	3.415	1.567	78.347	0.561	3.777	312	691	76.025	1.620	2.180	0.459	0.934
3	4.953	255	255	255	10.793	4.221	10.793	4.221	11.356	9.807	2.276	2.033	4.134	3.792	1.663	80.393	0.483	4.190	1251	766	80.575	1.904	2.280	0.439	0.872
4	5.354	255	255	255	15.158	4.761	15.158	4.761	13.361	14.092	2.644	2.033	4.427	3.947	1.727	90.076	0.377	4.428	1822	845	88.484	1.922	2.286	0.437	0.880
5	5.546	255	255	255	2.197	9.716	2.197	9.716	11.560	1.146	7.473	2.259	4.109	4.006	1.763	110.983	0.522	4.324	153	894	108.505	1.863	2.272	0.440	0.930
6	3.703	255	255	255	4.810	9.767	4.810	9.767	9.109	4.025	7.841	1.607	3.548	3.216	1.466	79.614	0.561	3.599	533	1361	80.362	1.579	2.195	0.456	0.925
7	3.687	255	255	255	10.989	9.692	10.989	9.692	8.776	10.067	7.966	1.950	3.138	2.749	1.708	98.885	0.602	3.143	1330	952	93.358	1.869	1.609	0.621	0.893
8	2.920	255	255	255	8.392	9.792	8.392	9.792	7.752	7.682	8.402	1.464	3.029	2.784	1.336	79.882	0.611	3.071	964	1365	79.639	1.464	2.084	0.480	0.936
9	5.254	255	255	255	15.535	10.744	15.535	10.744	11.315	14.460	8.720	2.100	3.950	3.715	1.801	100.780	0.516	4.037	1789	1043	103.547	2.019	2.063	0.485	0.899
