 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	3.375	11.793	9.861	11.793	9.861	8.634	11.089	8.400	1.489	3.421	3.016	1.425	88.935	0.569	3.423	1372	1389	88.290	1.483	2.117	0.472	0.949
2	1.819	5.494	9.822	5.494	9.822	6.236	4.894	8.494	1.191	2.366	2.174	1.065	95.458	0.588	2.367	654	998	91.648	1.122	2.041	0.490	0.921
3	1.370	8.503	9.666	8.503	9.666	5.275	7.983	8.689	1.055	2.026	1.865	0.935	93.599	0.619	2.026	992	1259	88.796	1.013	1.995	0.501	0.932
4	4.072	5.646	13.962	5.646	13.962	9.494	4.757	12.306	1.770	3.540	3.272	1.585	89.693	0.568	3.541	649	1862	88.623	1.739	2.064	0.484	0.933
5	3.596	11.648	14.564	11.648	14.564	8.624	10.859	13.055	1.566	3.294	3.087	1.483	92.552	0.608	3.302	1351	1534	93.991	1.534	2.081	0.480	0.947
6	0.197	8.789	13.598	8.789	13.598	1.973	8.587	13.285	0.417	0.681	0.627	0.401	91.939	0.636	0.691	1026	1641	80.074	0.417	1.565	0.639	0.916
7	4.222	5.683	18.845	5.683	18.845	9.513	4.843	16.791	1.626	3.762	3.470	1.549	97.076	0.586	3.823	631	1973	100.259	1.623	2.240	0.446	0.947
8	3.835	8.849	19.146	8.849	19.146	9.243	7.983	17.259	1.728	3.438	3.194	1.529	82.078	0.564	3.441	989	2432	87.874	1.648	2.089	0.479	0.916
9	3.101	11.442	18.787	11.442	18.787	8.158	10.655	17.310	1.515	3.123	2.913	1.355	90.489	0.585	3.125	1338	2034	91.717	1.489	2.150	0.465	0.927
10	3.286	8.597	24.061	8.597	24.061	8.488	7.915	22.144	1.336	3.515	3.220	1.299	87.608	0.573	3.516	1008	3015	88.336	1.336	2.478	0.404	0.955
