 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.477	6.416	3.071	6.416	3.071	8.597	5.824	1.697	1.303	3.336	3.007	1.049	81.644	0.421	3.374	737	599	81.406	1.289	2.867	0.349	0.874
2	2.629	2.947	4.002	2.947	4.002	8.165	2.286	2.555	1.294	3.185	2.946	1.136	81.791	0.496	3.248	315	683	78.661	1.261	2.594	0.386	0.895
3	2.594	11.222	4.272	11.222	4.272	8.342	10.672	2.739	1.160	3.429	3.124	1.058	91.261	0.469	3.430	1329	326	91.404	1.158	2.954	0.339	0.904
4	1.009	8.391	6.023	8.391	6.023	4.471	7.941	5.235	0.891	1.756	1.540	0.834	96.888	0.634	1.773	984	623	97.900	0.890	1.848	0.541	0.934
5	2.406	5.489	7.482	5.489	7.482	7.922	4.933	6.109	1.235	3.235	2.766	1.107	85.639	0.482	3.243	636	1112	85.988	1.235	2.498	0.400	0.872
6	2.489	2.316	9.857	2.316	9.857	8.243	1.580	8.529	1.538	3.059	2.850	1.112	77.686	0.460	3.167	194	1378	73.825	1.343	2.564	0.390	0.841
7	1.543	7.857	10.394	7.857	10.394	6.435	7.319	8.899	1.067	2.580	2.204	0.892	79.576	0.468	2.612	908	1366	80.932	1.000	2.471	0.405	0.874
8	2.478	4.750	12.760	4.750	12.760	7.936	4.109	11.092	1.319	3.118	2.875	1.097	98.688	0.494	3.158	524	1320	99.187	1.251	2.620	0.382	0.903
